ID;SIC93;Destination;Periods;SalesDevelopment_1;Share_2
1938;2100a Paper prod., publ., print., repro.;Destination total;2001 September;-4;96
1939;2100a Paper prod., publ., print., repro.;Destination total;2001 3rd quarter;1;96
1940;2100a Paper prod., publ., print., repro.;Destination total;2001 October;3;96
1941;2100a Paper prod., publ., print., repro.;Destination total;2001 November;-3;97
1942;2100a Paper prod., publ., print., repro.;Destination total;2001 December;-5;97
1943;2100a Paper prod., publ., print., repro.;Destination total;2001 4th quarter;-1;96
1944;2100a Paper prod., publ., print., repro.;Destination total;2001;2;95
1945;2100a Paper prod., publ., print., repro.;Destination total;2002 January;-4;96
1946;2100a Paper prod., publ., print., repro.;Destination total;2002 February;-3;98
1947;2100a Paper prod., publ., print., repro.;Destination total;2002 March;-5;97
1948;2100a Paper prod., publ., print., repro.;Destination total;2002 1st quarter;-3;97
1949;2100a Paper prod., publ., print., repro.;Destination total;2002 April;-2;96
1950;2100a Paper prod., publ., print., repro.;Destination total;2002 May;-6;96
1951;2100a Paper prod., publ., print., repro.;Destination total;2002 June;-2;96
1952;2100a Paper prod., publ., print., repro.;Destination total;2002 2nd quarter;-3;96
1953;2100a Paper prod., publ., print., repro.;Destination total;2002 July;-4;96
1954;2100a Paper prod., publ., print., repro.;Destination total;2002 August;-7;96
1955;2100a Paper prod., publ., print., repro.;Destination total;2002 September;-2;96
1956;2100a Paper prod., publ., print., repro.;Destination total;2002 3rd quarter;-4;96
1957;2100a Paper prod., publ., print., repro.;Destination total;2002 October;-6;94
1958;2100a Paper prod., publ., print., repro.;Destination total;2002 November;-6;94
1959;2100a Paper prod., publ., print., repro.;Destination total;2002 December;-4;93
1960;2100a Paper prod., publ., print., repro.;Destination total;2002 4th quarter;-5;94
1961;2100a Paper prod., publ., print., repro.;Destination total;2002;-4;94
1962;2100a Paper prod., publ., print., repro.;Destination total;2003 January;-4;95
1963;2100a Paper prod., publ., print., repro.;Destination total;2003 February;-4;95
1964;2100a Paper prod., publ., print., repro.;Destination total;2003 March;-5;94
1965;2100a Paper prod., publ., print., repro.;Destination total;2003 1st quarter;-4;95
1966;2100a Paper prod., publ., print., repro.;Destination total;2003 April;0;96
1967;2100a Paper prod., publ., print., repro.;Destination total;2003 May;-4;91
1968;2100a Paper prod., publ., print., repro.;Destination total;2003 June;-5;91
1969;2100a Paper prod., publ., print., repro.;Destination total;2003 2nd quarter;-3;91
1970;2100a Paper prod., publ., print., repro.;Destination total;2003 July;-1;93
1971;2100a Paper prod., publ., print., repro.;Destination total;2003 August;-3;92
1972;2100a Paper prod., publ., print., repro.;Destination total;2003 September;2;90
1973;2100a Paper prod., publ., print., repro.;Destination total;2003 3rd quarter;0;90
1974;2100a Paper prod., publ., print., repro.;Destination total;2003 October;3;90
1975;2100a Paper prod., publ., print., repro.;Destination total;2003 November;-2;90
1976;2100a Paper prod., publ., print., repro.;Destination total;2003 December;8;90
1977;2100a Paper prod., publ., print., repro.;Destination total;2003 4th quarter;3;90
1978;2100a Paper prod., publ., print., repro.;Destination total;2003;-2;88
1979;2100a Paper prod., publ., print., repro.;Destination total;2004 January;5;89
1980;2100a Paper prod., publ., print., repro.;Destination total;2004 February;2;89
1981;2100a Paper prod., publ., print., repro.;Destination total;2004 March;7;83
1982;2100a Paper prod., publ., print., repro.;Destination total;2004 1st quarter;5;83
1983;2100a Paper prod., publ., print., repro.;Destination total;2004 April;1;85
1984;2100a Paper prod., publ., print., repro.;Destination total;2004 May;-3;86
1985;2100a Paper prod., publ., print., repro.;Destination total;2004 June;7;89
1986;2100a Paper prod., publ., print., repro.;Destination total;2004 2nd quarter;2;86
1987;2100a Paper prod., publ., print., repro.;Destination total;2004 July;-2;87
1988;2100a Paper prod., publ., print., repro.;Destination total;2004 August;1;87
1989;2100a Paper prod., publ., print., repro.;Destination total;2004 September;2;88
1990;2100a Paper prod., publ., print., repro.;Destination total;2004 3rd quarter;0;86
1991;2100a Paper prod., publ., print., repro.;Destination total;2004 October;-7;89
1992;2100a Paper prod., publ., print., repro.;Destination total;2004 November;6;88
1993;2100a Paper prod., publ., print., repro.;Destination total;2004 December;9;88
1994;2100a Paper prod., publ., print., repro.;Destination total;2004 4th quarter;2;88
1995;2100a Paper prod., publ., print., repro.;Destination total;2004;2;82
1996;2100a Paper prod., publ., print., repro.;Destination total;2005 January;-9;90
1997;2100a Paper prod., publ., print., repro.;Destination total;2005 February;1;90
1998;2100a Paper prod., publ., print., repro.;Destination total;2005 March;2;94
1999;2100a Paper prod., publ., print., repro.;Destination total;2005 1st quarter;-2;89
2000;2100a Paper prod., publ., print., repro.;Destination total;2005 April;1;95
2001;2100a Paper prod., publ., print., repro.;Destination total;2005 May;5;95
2002;2100a Paper prod., publ., print., repro.;Destination total;2005 June;3;94
2003;2100a Paper prod., publ., print., repro.;Destination total;2005 2nd quarter;3;94
2004;2100a Paper prod., publ., print., repro.;Destination total;2005 July;-1;94
2005;2100a Paper prod., publ., print., repro.;Destination total;2005 August;5;95
2006;2100a Paper prod., publ., print., repro.;Destination total;2005 September;3;94
2007;2100a Paper prod., publ., print., repro.;Destination total;2005 3rd quarter;2;94
2008;2100a Paper prod., publ., print., repro.;Destination total;2005 October;0;95
2009;2100a Paper prod., publ., print., repro.;Destination total;2005 November;-3;95
2010;2100a Paper prod., publ., print., repro.;Destination total;2005 December;-8;93
2011;2100a Paper prod., publ., print., repro.;Destination total;2005 4th quarter;-3;93
2012;2100a Paper prod., publ., print., repro.;Destination total;2005;1;88
2013;2100a Paper prod., publ., print., repro.;Destination total;2006 January;3;93
2014;2100a Paper prod., publ., print., repro.;Destination total;2006 February;0;94
2015;2100a Paper prod., publ., print., repro.;Netherlands;1997 January;1;95
2016;2100a Paper prod., publ., print., repro.;Netherlands;1997 February;-3;94
2017;2100a Paper prod., publ., print., repro.;Netherlands;1997 March;-4;94
2018;2100a Paper prod., publ., print., repro.;Netherlands;1997 1st quarter;-2;94
2019;2100a Paper prod., publ., print., repro.;Netherlands;1997 April;4;93
2020;2100a Paper prod., publ., print., repro.;Netherlands;1997 May;-3;94
2021;2100a Paper prod., publ., print., repro.;Netherlands;1997 June;1;94
2022;2100a Paper prod., publ., print., repro.;Netherlands;1997 2nd quarter;1;94
2023;2100a Paper prod., publ., print., repro.;Netherlands;1997 July;2;93
2024;2100a Paper prod., publ., print., repro.;Netherlands;1997 August;-4;93
2025;2100a Paper prod., publ., print., repro.;Netherlands;1997 September;3;94
2026;2100a Paper prod., publ., print., repro.;Netherlands;1997 3rd quarter;1;94
2027;2100a Paper prod., publ., print., repro.;Netherlands;1997 October;-4;94
2028;2100a Paper prod., publ., print., repro.;Netherlands;1997 November;5;95
2029;2100a Paper prod., publ., print., repro.;Netherlands;1997 December;9;95
2030;2100a Paper prod., publ., print., repro.;Netherlands;1997 4th quarter;3;94
2031;2100a Paper prod., publ., print., repro.;Netherlands;1997;1;93
2032;2100a Paper prod., publ., print., repro.;Netherlands;1998 January;-1;91
2033;2100a Paper prod., publ., print., repro.;Netherlands;1998 February;5;91
2034;2100a Paper prod., publ., print., repro.;Netherlands;1998 March;11;91
2035;2100a Paper prod., publ., print., repro.;Netherlands;1998 1st quarter;5;90
2036;2100a Paper prod., publ., print., repro.;Netherlands;1998 April;5;91
2037;2100a Paper prod., publ., print., repro.;Netherlands;1998 May;4;91
2038;2100a Paper prod., publ., print., repro.;Netherlands;1998 June;10;90
2039;2100a Paper prod., publ., print., repro.;Netherlands;1998 2nd quarter;6;91
2040;2100a Paper prod., publ., print., repro.;Netherlands;1998 July;6;92
2041;2100a Paper prod., publ., print., repro.;Netherlands;1998 August;6;91
2042;2100a Paper prod., publ., print., repro.;Netherlands;1998 September;6;91
2043;2100a Paper prod., publ., print., repro.;Netherlands;1998 3rd quarter;7;91
2044;2100a Paper prod., publ., print., repro.;Netherlands;1998 October;8;90
2045;2100a Paper prod., publ., print., repro.;Netherlands;1998 November;6;90
2046;2100a Paper prod., publ., print., repro.;Netherlands;1998 December;8;89
2047;2100a Paper prod., publ., print., repro.;Netherlands;1998 4th quarter;7;89
2048;2100a Paper prod., publ., print., repro.;Netherlands;1998;7;87
2049;2100a Paper prod., publ., print., repro.;Netherlands;1999 January;-2;97
2050;2100a Paper prod., publ., print., repro.;Netherlands;1999 February;1;96
2051;2100a Paper prod., publ., print., repro.;Netherlands;1999 March;6;96
2052;2100a Paper prod., publ., print., repro.;Netherlands;1999 1st quarter;2;96
2053;2100a Paper prod., publ., print., repro.;Netherlands;1999 April;-2;97
2054;2100a Paper prod., publ., print., repro.;Netherlands;1999 May;-1;96
2055;2100a Paper prod., publ., print., repro.;Netherlands;1999 June;6;97
2056;2100a Paper prod., publ., print., repro.;Netherlands;1999 2nd quarter;1;97
2057;2100a Paper prod., publ., print., repro.;Netherlands;1999 July;2;97
2058;2100a Paper prod., publ., print., repro.;Netherlands;1999 August;6;96
2059;2100a Paper prod., publ., print., repro.;Netherlands;1999 September;4;96
2060;2100a Paper prod., publ., print., repro.;Netherlands;1999 3rd quarter;4;96
2061;2100a Paper prod., publ., print., repro.;Netherlands;1999 October;-2;97
2062;2100a Paper prod., publ., print., repro.;Netherlands;1999 November;8;97
2063;2100a Paper prod., publ., print., repro.;Netherlands;1999 December;14;97
2064;2100a Paper prod., publ., print., repro.;Netherlands;1999 4th quarter;6;97
2065;2100a Paper prod., publ., print., repro.;Netherlands;1999;4;96
2066;2100a Paper prod., publ., print., repro.;Netherlands;2000 January;5;99
2067;2100a Paper prod., publ., print., repro.;Netherlands;2000 February;7;98
2068;2100a Paper prod., publ., print., repro.;Netherlands;2000 March;6;98
2069;2100a Paper prod., publ., print., repro.;Netherlands;2000 1st quarter;6;98
2070;2100a Paper prod., publ., print., repro.;Netherlands;2000 April;6;98
2071;2100a Paper prod., publ., print., repro.;Netherlands;2000 May;21;98
2072;2100a Paper prod., publ., print., repro.;Netherlands;2000 June;1;98
2073;2100a Paper prod., publ., print., repro.;Netherlands;2000 2nd quarter;9;98
2074;2100a Paper prod., publ., print., repro.;Netherlands;2000 July;1;98
2075;2100a Paper prod., publ., print., repro.;Netherlands;2000 August;10;98
2076;2100a Paper prod., publ., print., repro.;Netherlands;2000 September;4;98
2077;2100a Paper prod., publ., print., repro.;Netherlands;2000 3rd quarter;5;98
2078;2100a Paper prod., publ., print., repro.;Netherlands;2000 October;9;98
2079;2100a Paper prod., publ., print., repro.;Netherlands;2000 November;6;98
2080;2100a Paper prod., publ., print., repro.;Netherlands;2000 December;-6;98
2081;2100a Paper prod., publ., print., repro.;Netherlands;2000 4th quarter;2;98
2082;2100a Paper prod., publ., print., repro.;Netherlands;2000;6;97
2083;2100a Paper prod., publ., print., repro.;Netherlands;2001 January;9;98
2084;2100a Paper prod., publ., print., repro.;Netherlands;2001 February;1;96
2085;2100a Paper prod., publ., print., repro.;Netherlands;2001 March;-2;96
2086;2100a Paper prod., publ., print., repro.;Netherlands;2001 1st quarter;3;96
2087;2100a Paper prod., publ., print., repro.;Netherlands;2001 April;1;96
2088;2100a Paper prod., publ., print., repro.;Netherlands;2001 May;-1;95
2089;2100a Paper prod., publ., print., repro.;Netherlands;2001 June;1;96
2090;2100a Paper prod., publ., print., repro.;Netherlands;2001 2nd quarter;1;96
2091;2100a Paper prod., publ., print., repro.;Netherlands;2001 July;7;95
2092;2100a Paper prod., publ., print., repro.;Netherlands;2001 August;0;95
2093;2100a Paper prod., publ., print., repro.;Netherlands;2001 September;-5;95
2094;2100a Paper prod., publ., print., repro.;Netherlands;2001 3rd quarter;1;94
2095;2100a Paper prod., publ., print., repro.;Netherlands;2001 October;2;95
2096;2100a Paper prod., publ., print., repro.;Netherlands;2001 November;-2;96
2097;2100a Paper prod., publ., print., repro.;Netherlands;2001 December;-5;96
2098;2100a Paper prod., publ., print., repro.;Netherlands;2001 4th quarter;-1;95
2099;2100a Paper prod., publ., print., repro.;Netherlands;2001;1;94
2100;2100a Paper prod., publ., print., repro.;Netherlands;2002 January;-5;95
2101;2100a Paper prod., publ., print., repro.;Netherlands;2002 February;-5;98
2102;2100a Paper prod., publ., print., repro.;Netherlands;2002 March;-6;97
