ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
5368;10 or more employed persons;41 Construction buildings, development;2019 January;63.3;10.5
5369;10 or more employed persons;41 Construction buildings, development;2019 February;85.2;18.0
5370;10 or more employed persons;41 Construction buildings, development;2019 March;94.8;13.8
5371;10 or more employed persons;41 Construction buildings, development;2019 1st quarter;81.1;14.3
5372;10 or more employed persons;41 Construction buildings, development;2019 April;95.6;10.5
5373;10 or more employed persons;41 Construction buildings, development;2019 May;101.7;15.6
5374;10 or more employed persons;41 Construction buildings, development;2019 June;95.6;-2.3
5375;10 or more employed persons;41 Construction buildings, development;2019 2nd quarter;97.6;7.6
5376;10 or more employed persons;41 Construction buildings, development;2019 July;96.7;11.2
5377;10 or more employed persons;41 Construction buildings, development;2019 August;61.0;10.0
5378;10 or more employed persons;41 Construction buildings, development;2019 September;101.1;16.3
5379;10 or more employed persons;41 Construction buildings, development;2019 3rd quarter;86.3;12.8
5380;10 or more employed persons;41 Construction buildings, development;2019 October;104.7;4.0
5381;10 or more employed persons;41 Construction buildings, development;2019 November;108.5;-2.4
5382;10 or more employed persons;41 Construction buildings, development;2019 December;110.6;-2.3
5383;10 or more employed persons;41 Construction buildings, development;2019 4th quarter;107.9;-0.4
5384;10 or more employed persons;41 Construction buildings, development;2019;93.2;7.6
5385;10 or more employed persons;41 Construction buildings, development;2020 January;73.9;16.8
5386;10 or more employed persons;41 Construction buildings, development;2020 February;82.2;-3.6
5387;10 or more employed persons;41 Construction buildings, development;2020 March;102.9;8.5
5388;10 or more employed persons;41 Construction buildings, development;2020 1st quarter;86.3;6.4
5389;10 or more employed persons;41 Construction buildings, development;2020 April;95.6;0.0
5390;10 or more employed persons;41 Construction buildings, development;2020 May;87.8;-13.7
5391;10 or more employed persons;41 Construction buildings, development;2020 June;98.7;3.3
5392;10 or more employed persons;41 Construction buildings, development;2020 2nd quarter;94.0;-3.7
5393;10 or more employed persons;41 Construction buildings, development;2020 July;96.5;-0.3
5394;10 or more employed persons;41 Construction buildings, development;2020 August;56.0;-8.2
5395;10 or more employed persons;41 Construction buildings, development;2020 September;101.0;-0.1
5396;10 or more employed persons;41 Construction buildings, development;2020 3rd quarter;84.5;-2.1
5397;10 or more employed persons;41 Construction buildings, development;2020 October;105.2;0.5
5398;10 or more employed persons;41 Construction buildings, development;2020 November;107.3;-1.1
5399;10 or more employed persons;41 Construction buildings, development;2020 December;113.8;2.8
5400;10 or more employed persons;41 Construction buildings, development;2020 4th quarter;108.8;0.8
5401;10 or more employed persons;41 Construction buildings, development;2020;93.4;0.2
5402;10 or more employed persons;41 Construction buildings, development;2021 January;72.7;-1.7
5403;10 or more employed persons;41 Construction buildings, development;2021 February;82.3;0.1
5404;10 or more employed persons;41 Construction buildings, development;2021 March;106.3;3.3
5405;10 or more employed persons;41 Construction buildings, development;2021 1st quarter;87.1;0.9
5406;10 or more employed persons;41 Construction buildings, development;2021 April;103.3;8.1
5407;10 or more employed persons;41 Construction buildings, development;2021 May;96.3;9.7
5408;10 or more employed persons;41 Construction buildings, development;2021 June;116.2;17.7
5409;10 or more employed persons;41 Construction buildings, development;2021 2nd quarter;105.3;11.9
5410;10 or more employed persons;41 Construction buildings, development;2021 July;109.1;13.1
5411;10 or more employed persons;41 Construction buildings, development;2021 August;51.1;-8.8
5412;10 or more employed persons;41 Construction buildings, development;2021 September;106.1;5.0
5413;10 or more employed persons;41 Construction buildings, development;2021 3rd quarter;88.7;5.0
5414;10 or more employed persons;41 Construction buildings, development;2021 October;105.5;0.3
5415;10 or more employed persons;41 Construction buildings, development;2021 November;122.7;14.3
5416;10 or more employed persons;41 Construction buildings, development;2021 December;128.5;13.0
5417;10 or more employed persons;41 Construction buildings, development;2021 4th quarter;118.9;9.3
5418;10 or more employed persons;41 Construction buildings, development;2021;100.0;7.1
5419;10 or more employed persons;41 Construction buildings, development;2022 January;71.0;-2.4
5420;10 or more employed persons;41 Construction buildings, development;2022 February;92.4;12.3
5421;10 or more employed persons;41 Construction buildings, development;2022 March;116.6;9.7
5422;10 or more employed persons;41 Construction buildings, development;2022 1st quarter;93.3;7.2
5423;10 or more employed persons;41 Construction buildings, development;2022 April;105.1;1.8
5424;10 or more employed persons;41 Construction buildings, development;2022 May;108.9;13.1
5425;10 or more employed persons;41 Construction buildings, development;2022 June;117.6;1.2
5426;10 or more employed persons;41 Construction buildings, development;2022 2nd quarter;110.5;5.0
5427;10 or more employed persons;41 Construction buildings, development;2022 July;114.7;5.2
5428;10 or more employed persons;41 Construction buildings, development;2022 August;60.8;19.1
5429;10 or more employed persons;41 Construction buildings, development;2022 September;108.1;1.9
5430;10 or more employed persons;41 Construction buildings, development;2022 3rd quarter;94.5;6.5
5431;10 or more employed persons;41 Construction buildings, development;2022 October;113.4;7.5
5432;10 or more employed persons;41 Construction buildings, development;2022 November;125.6;2.4
5433;10 or more employed persons;41 Construction buildings, development;2022 December;132.5;3.1
5434;10 or more employed persons;41 Construction buildings, development;2022 4th quarter;123.9;4.2
5435;10 or more employed persons;41 Construction buildings, development;2022;105.6;5.6
5436;10 or more employed persons;41 Construction buildings, development;2023 January;73.3;3.2
5437;10 or more employed persons;41 Construction buildings, development;2023 February;94.4;2.2
5438;10 or more employed persons;41 Construction buildings, development;2023 March;121.3;4.0
5439;10 or more employed persons;41 Construction buildings, development;2023 1st quarter;96.3;3.2
5440;10 or more employed persons;41 Construction buildings, development;2023 April;99.0;-5.8
5441;10 or more employed persons;41 Construction buildings, development;2023 May;112.8;3.5
5442;10 or more employed persons;41 Construction buildings, development;2023 June;120.9;2.8
5443;10 or more employed persons;41 Construction buildings, development;2023 2nd quarter;110.9;0.3
5444;10 or more employed persons;41 Construction buildings, development;2023 July;111.8;-2.5
5445;10 or more employed persons;41 Construction buildings, development;2023 August;64.1;5.4
5446;10 or more employed persons;41 Construction buildings, development;2023 September;109.4;1.2
5447;10 or more employed persons;41 Construction buildings, development;2023 3rd quarter;95.1;0.6
5448;10 or more employed persons;41 Construction buildings, development;2023 October;116.5;2.7
5449;10 or more employed persons;41 Construction buildings, development;2023 November;124.0;-1.3
5450;10 or more employed persons;41 Construction buildings, development;2023 December;133.4;0.6
5451;10 or more employed persons;41 Construction buildings, development;2023 4th quarter;124.6;0.6
5452;10 or more employed persons;41 Construction buildings, development;2023;106.7;1.1
5453;10 or more employed persons;41 Construction buildings, development;2024 January;72.4;-1.2
5454;10 or more employed persons;41 Construction buildings, development;2024 February;95.8;1.5
5455;10 or more employed persons;41 Construction buildings, development;2024 March;109.8;-9.5
5456;10 or more employed persons;41 Construction buildings, development;2024 1st quarter;92.6;-3.8
5457;10 or more employed persons;41 Construction buildings, development;2024 April;108.4;9.5
5458;10 or more employed persons;41 Construction buildings, development;2024 May;111.1;-1.5
5459;10 or more employed persons;41 Construction buildings, development;2024 June;113.1;-6.4
5460;10 or more employed persons;41 Construction buildings, development;2024 2nd quarter;110.9;0.0
5461;10 or more employed persons;41 Construction buildings, development;2024 July;117.2;4.8
5462;10 or more employed persons;41 Construction buildings, development;2024 August;66.9;4.3
5463;10 or more employed persons;41 Construction buildings, development;2024 September;108.2;-1.1
5464;10 or more employed persons;41 Construction buildings, development;2024 3rd quarter;97.4;2.4
5465;10 or more employed persons;41 Construction buildings, development;2024 October;127.3;9.2
5466;10 or more employed persons;41 Construction buildings, development;2024 November;126.9;2.3
5467;10 or more employed persons;41 Construction buildings, development;2024 December;132.0;-1.1
5468;10 or more employed persons;41 Construction buildings, development;2024 4th quarter;128.7;3.3
5469;10 or more employed persons;41 Construction buildings, development;2024;107.4;0.6
5470;10 or more employed persons;41 Construction buildings, development;2025 January;87.2;20.6
5471;10 or more employed persons;41 Construction buildings, development;2025 February;100.9;5.4
5472;10 or more employed persons;411 Development of building projects;2005 January;;
5473;10 or more employed persons;411 Development of building projects;2005 February;;
5474;10 or more employed persons;411 Development of building projects;2005 March;;
5475;10 or more employed persons;411 Development of building projects;2005 1st quarter;;
5476;10 or more employed persons;411 Development of building projects;2005 April;;
5477;10 or more employed persons;411 Development of building projects;2005 May;;
5478;10 or more employed persons;411 Development of building projects;2005 June;;
5479;10 or more employed persons;411 Development of building projects;2005 2nd quarter;;
5480;10 or more employed persons;411 Development of building projects;2005 July;;
5481;10 or more employed persons;411 Development of building projects;2005 August;;
5482;10 or more employed persons;411 Development of building projects;2005 September;;
5483;10 or more employed persons;411 Development of building projects;2005 3rd quarter;;
5484;10 or more employed persons;411 Development of building projects;2005 October;;
5485;10 or more employed persons;411 Development of building projects;2005 November;;
