ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
8098;Total sales;10515 Other dairy products;2022;151.2;;16.3
8099;Total sales;10515 Other dairy products;2023 January;145.7;-1.7;-0.3
8100;Total sales;10515 Other dairy products;2023 February;142.3;-2.4;-2.7
8101;Total sales;10515 Other dairy products;2023 March;138.7;-2.6;-8.0
8102;Total sales;10515 Other dairy products;2023 April;137.0;-1.2;-11.7
8103;Total sales;10515 Other dairy products;2023 May;134.3;-2.0;-13.8
8104;Total sales;10515 Other dairy products;2023 June;134.3;0.1;-9.9
8105;Total sales;10515 Other dairy products;2023 July;128.2;-4.6;-17.3
8106;Total sales;10515 Other dairy products;2023 August;127.9;-0.2;-16.3
8107;Total sales;10515 Other dairy products;2023 September;126.0;-1.5;-17.9
8108;Total sales;10515 Other dairy products;2023 October;134.1;6.5;-11.8
8109;Total sales;10515 Other dairy products;2023 November;136.7;1.9;-9.0
8110;Total sales;10515 Other dairy products;2023 December;137.8;0.8;-7.1
8111;Total sales;10515 Other dairy products;2023;135.2;;-10.6
8112;Total sales;105151 Milk and cream, concentrated...;2012 January;;;
8113;Total sales;105151 Milk and cream, concentrated...;2012 February;;;
8114;Total sales;105151 Milk and cream, concentrated...;2012 March;;;
8115;Total sales;105151 Milk and cream, concentrated...;2012 April;;;
8116;Total sales;105151 Milk and cream, concentrated...;2012 May;;;
8117;Total sales;105151 Milk and cream, concentrated...;2012 June;;;
8118;Total sales;105151 Milk and cream, concentrated...;2012 July;;;
8119;Total sales;105151 Milk and cream, concentrated...;2012 August;;;
8120;Total sales;105151 Milk and cream, concentrated...;2012 September;;;
8121;Total sales;105151 Milk and cream, concentrated...;2012 October;;;
8122;Total sales;105151 Milk and cream, concentrated...;2012 November;;;
8123;Total sales;105151 Milk and cream, concentrated...;2012 December;;;
8124;Total sales;105151 Milk and cream, concentrated...;2012;;;
8125;Total sales;105151 Milk and cream, concentrated...;2013 January;101.2;;
8126;Total sales;105151 Milk and cream, concentrated...;2013 February;98.2;-2.9;
8127;Total sales;105151 Milk and cream, concentrated...;2013 March;103.1;5.0;
8128;Total sales;105151 Milk and cream, concentrated...;2013 April;103.5;0.4;
8129;Total sales;105151 Milk and cream, concentrated...;2013 May;103.4;-0.1;
8130;Total sales;105151 Milk and cream, concentrated...;2013 June;103.4;0.0;
8131;Total sales;105151 Milk and cream, concentrated...;2013 July;104.5;1.0;
8132;Total sales;105151 Milk and cream, concentrated...;2013 August;104.5;0.0;
8133;Total sales;105151 Milk and cream, concentrated...;2013 September;104.5;0.0;
8134;Total sales;105151 Milk and cream, concentrated...;2013 October;104.3;-0.2;
8135;Total sales;105151 Milk and cream, concentrated...;2013 November;104.4;0.1;
8136;Total sales;105151 Milk and cream, concentrated...;2013 December;104.4;0.0;
8137;Total sales;105151 Milk and cream, concentrated...;2013;103.3;;
8138;Total sales;105151 Milk and cream, concentrated...;2014 January;107.1;2.6;5.9
8139;Total sales;105151 Milk and cream, concentrated...;2014 February;107.0;-0.1;9.0
8140;Total sales;105151 Milk and cream, concentrated...;2014 March;106.9;-0.1;3.7
8141;Total sales;105151 Milk and cream, concentrated...;2014 April;106.5;-0.4;2.9
8142;Total sales;105151 Milk and cream, concentrated...;2014 May;106.4;-0.1;2.9
8143;Total sales;105151 Milk and cream, concentrated...;2014 June;106.4;0.0;2.9
8144;Total sales;105151 Milk and cream, concentrated...;2014 July;106.4;0.0;1.8
8145;Total sales;105151 Milk and cream, concentrated...;2014 August;106.3;-0.1;1.7
8146;Total sales;105151 Milk and cream, concentrated...;2014 September;106.0;-0.3;1.4
8147;Total sales;105151 Milk and cream, concentrated...;2014 October;106.0;-0.1;1.6
8148;Total sales;105151 Milk and cream, concentrated...;2014 November;106.0;0.0;1.5
8149;Total sales;105151 Milk and cream, concentrated...;2014 December;106.0;0.0;1.5
8150;Total sales;105151 Milk and cream, concentrated...;2014;106.4;;3.1
8151;Total sales;105151 Milk and cream, concentrated...;2015 January;101.8;-4.0;-5.0
8152;Total sales;105151 Milk and cream, concentrated...;2015 February;102.0;0.3;-4.6
8153;Total sales;105151 Milk and cream, concentrated...;2015 March;102.3;0.3;-4.3
8154;Total sales;105151 Milk and cream, concentrated...;2015 April;102.8;0.5;-3.5
8155;Total sales;105151 Milk and cream, concentrated...;2015 May;102.5;-0.3;-3.7
8156;Total sales;105151 Milk and cream, concentrated...;2015 June;102.3;-0.2;-3.8
8157;Total sales;105151 Milk and cream, concentrated...;2015 July;98.2;-4.1;-7.7
8158;Total sales;105151 Milk and cream, concentrated...;2015 August;97.0;-1.2;-8.7
8159;Total sales;105151 Milk and cream, concentrated...;2015 September;97.0;0.0;-8.5
8160;Total sales;105151 Milk and cream, concentrated...;2015 October;;;
8161;Total sales;105151 Milk and cream, concentrated...;2015 November;;;
8162;Total sales;105151 Milk and cream, concentrated...;2015 December;;;
8163;Total sales;105151 Milk and cream, concentrated...;2015;100.0;;-6.0
8164;Total sales;105151 Milk and cream, concentrated...;2016 January;;;
8165;Total sales;105151 Milk and cream, concentrated...;2016 February;;;
8166;Total sales;105151 Milk and cream, concentrated...;2016 March;;;
8167;Total sales;105151 Milk and cream, concentrated...;2016 April;;;
8168;Total sales;105151 Milk and cream, concentrated...;2016 May;;;
8169;Total sales;105151 Milk and cream, concentrated...;2016 June;;;
8170;Total sales;105151 Milk and cream, concentrated...;2016 July;;;
8171;Total sales;105151 Milk and cream, concentrated...;2016 August;;;
8172;Total sales;105151 Milk and cream, concentrated...;2016 September;;;
8173;Total sales;105151 Milk and cream, concentrated...;2016 October;;;
8174;Total sales;105151 Milk and cream, concentrated...;2016 November;;;
8175;Total sales;105151 Milk and cream, concentrated...;2016 December;;;
8176;Total sales;105151 Milk and cream, concentrated...;2016;;;
8177;Total sales;105151 Milk and cream, concentrated...;2017 January;;;
8178;Total sales;105151 Milk and cream, concentrated...;2017 February;;;
8179;Total sales;105151 Milk and cream, concentrated...;2017 March;;;
8180;Total sales;105151 Milk and cream, concentrated...;2017 April;;;
8181;Total sales;105151 Milk and cream, concentrated...;2017 May;;;
8182;Total sales;105151 Milk and cream, concentrated...;2017 June;;;
8183;Total sales;105151 Milk and cream, concentrated...;2017 July;;;
8184;Total sales;105151 Milk and cream, concentrated...;2017 August;;;
8185;Total sales;105151 Milk and cream, concentrated...;2017 September;;;
8186;Total sales;105151 Milk and cream, concentrated...;2017 October;;;
8187;Total sales;105151 Milk and cream, concentrated...;2017 November;;;
8188;Total sales;105151 Milk and cream, concentrated...;2017 December;;;
8189;Total sales;105151 Milk and cream, concentrated...;2017;;;
8190;Total sales;105151 Milk and cream, concentrated...;2018 January;;;
8191;Total sales;105151 Milk and cream, concentrated...;2018 February;;;
8192;Total sales;105151 Milk and cream, concentrated...;2018 March;;;
8193;Total sales;105151 Milk and cream, concentrated...;2018 April;;;
8194;Total sales;105151 Milk and cream, concentrated...;2018 May;;;
8195;Total sales;105151 Milk and cream, concentrated...;2018 June;;;
8196;Total sales;105151 Milk and cream, concentrated...;2018 July;;;
8197;Total sales;105151 Milk and cream, concentrated...;2018 August;;;
8198;Total sales;105151 Milk and cream, concentrated...;2018 September;;;
8199;Total sales;105151 Milk and cream, concentrated...;2018 October;;;
8200;Total sales;105151 Milk and cream, concentrated...;2018 November;;;
8201;Total sales;105151 Milk and cream, concentrated...;2018 December;;;
8202;Total sales;105151 Milk and cream, concentrated...;2018;;;
8203;Total sales;105151 Milk and cream, concentrated...;2019 January;;;
8204;Total sales;105151 Milk and cream, concentrated...;2019 February;;;
8205;Total sales;105151 Milk and cream, concentrated...;2019 March;;;
8206;Total sales;105151 Milk and cream, concentrated...;2019 April;;;
8207;Total sales;105151 Milk and cream, concentrated...;2019 May;;;
8208;Total sales;105151 Milk and cream, concentrated...;2019 June;;;
8209;Total sales;105151 Milk and cream, concentrated...;2019 July;;;
8210;Total sales;105151 Milk and cream, concentrated...;2019 August;;;
8211;Total sales;105151 Milk and cream, concentrated...;2019 September;;;
8212;Total sales;105151 Milk and cream, concentrated...;2019 October;;;
8213;Total sales;105151 Milk and cream, concentrated...;2019 November;;;
8214;Total sales;105151 Milk and cream, concentrated...;2019 December;;;
8215;Total sales;105151 Milk and cream, concentrated...;2019;117.0;;
8216;Total sales;105151 Milk and cream, concentrated...;2020 January;;;
8217;Total sales;105151 Milk and cream, concentrated...;2020 February;;;
8218;Total sales;105151 Milk and cream, concentrated...;2020 March;;;
8219;Total sales;105151 Milk and cream, concentrated...;2020 April;;;
8220;Total sales;105151 Milk and cream, concentrated...;2020 May;;;
8221;Total sales;105151 Milk and cream, concentrated...;2020 June;;;
8222;Total sales;105151 Milk and cream, concentrated...;2020 July;;;
8223;Total sales;105151 Milk and cream, concentrated...;2020 August;;;
8224;Total sales;105151 Milk and cream, concentrated...;2020 September;;;
8225;Total sales;105151 Milk and cream, concentrated...;2020 October;;;
8226;Total sales;105151 Milk and cream, concentrated...;2020 November;;;
8227;Total sales;105151 Milk and cream, concentrated...;2020 December;;;
8228;Total sales;105151 Milk and cream, concentrated...;2020;114.7;;-2.0
8229;Total sales;105151 Milk and cream, concentrated...;2021 January;;;
8230;Total sales;105151 Milk and cream, concentrated...;2021 February;;;
8231;Total sales;105151 Milk and cream, concentrated...;2021 March;;;
8232;Total sales;105151 Milk and cream, concentrated...;2021 April;;;
8233;Total sales;105151 Milk and cream, concentrated...;2021 May;;;
8234;Total sales;105151 Milk and cream, concentrated...;2021 June;;;
8235;Total sales;105151 Milk and cream, concentrated...;2021 July;;;
8236;Total sales;105151 Milk and cream, concentrated...;2021 August;;;
8237;Total sales;105151 Milk and cream, concentrated...;2021 September;;;
8238;Total sales;105151 Milk and cream, concentrated...;2021 October;;;
8239;Total sales;105151 Milk and cream, concentrated...;2021 November;;;
8240;Total sales;105151 Milk and cream, concentrated...;2021 December;;;
8241;Total sales;105151 Milk and cream, concentrated...;2021;119.4;;4.1
8242;Total sales;105151 Milk and cream, concentrated...;2022 January;;;
8243;Total sales;105151 Milk and cream, concentrated...;2022 February;;;
8244;Total sales;105151 Milk and cream, concentrated...;2022 March;;;
8245;Total sales;105151 Milk and cream, concentrated...;2022 April;;;
8246;Total sales;105151 Milk and cream, concentrated...;2022 May;;;
8247;Total sales;105151 Milk and cream, concentrated...;2022 June;;;
8248;Total sales;105151 Milk and cream, concentrated...;2022 July;;;
8249;Total sales;105151 Milk and cream, concentrated...;2022 August;;;
8250;Total sales;105151 Milk and cream, concentrated...;2022 September;;;
8251;Total sales;105151 Milk and cream, concentrated...;2022 October;;;
8252;Total sales;105151 Milk and cream, concentrated...;2022 November;;;
8253;Total sales;105151 Milk and cream, concentrated...;2022 December;;;
8254;Total sales;105151 Milk and cream, concentrated...;2022;143.8;;20.4
8255;Total sales;105151 Milk and cream, concentrated...;2023 January;;;
8256;Total sales;105151 Milk and cream, concentrated...;2023 February;;;
8257;Total sales;105151 Milk and cream, concentrated...;2023 March;;;
8258;Total sales;105151 Milk and cream, concentrated...;2023 April;;;
8259;Total sales;105151 Milk and cream, concentrated...;2023 May;;;
8260;Total sales;105151 Milk and cream, concentrated...;2023 June;;;
8261;Total sales;105151 Milk and cream, concentrated...;2023 July;;;
8262;Total sales;105151 Milk and cream, concentrated...;2023 August;;;
8263;Total sales;105151 Milk and cream, concentrated...;2023 September;;;
8264;Total sales;105151 Milk and cream, concentrated...;2023 October;;;
8265;Total sales;105151 Milk and cream, concentrated...;2023 November;;;
8266;Total sales;105151 Milk and cream, concentrated...;2023 December;;;
8267;Total sales;105151 Milk and cream, concentrated...;2023;156.7;;9.0
8268;Total sales;105152 Yoghurt and other fermented ...;2012 January;93.5;;
8269;Total sales;105152 Yoghurt and other fermented ...;2012 February;93.8;0.4;
8270;Total sales;105152 Yoghurt and other fermented ...;2012 March;93.3;-0.6;
8271;Total sales;105152 Yoghurt and other fermented ...;2012 April;94.4;1.3;
8272;Total sales;105152 Yoghurt and other fermented ...;2012 May;94.7;0.3;
8273;Total sales;105152 Yoghurt and other fermented ...;2012 June;94.6;-0.1;
8274;Total sales;105152 Yoghurt and other fermented ...;2012 July;94.5;-0.1;
8275;Total sales;105152 Yoghurt and other fermented ...;2012 August;94.5;0.0;
8276;Total sales;105152 Yoghurt and other fermented ...;2012 September;94.3;-0.3;
8277;Total sales;105152 Yoghurt and other fermented ...;2012 October;94.5;0.3;
8278;Total sales;105152 Yoghurt and other fermented ...;2012 November;94.1;-0.5;
8279;Total sales;105152 Yoghurt and other fermented ...;2012 December;94.3;0.2;
8280;Total sales;105152 Yoghurt and other fermented ...;2012;94.2;;
8281;Total sales;105152 Yoghurt and other fermented ...;2013 January;95.0;0.7;1.6
8282;Total sales;105152 Yoghurt and other fermented ...;2013 February;95.1;0.1;1.3
8283;Total sales;105152 Yoghurt and other fermented ...;2013 March;94.4;-0.7;1.2
8284;Total sales;105152 Yoghurt and other fermented ...;2013 April;96.2;1.9;1.9
8285;Total sales;105152 Yoghurt and other fermented ...;2013 May;96.0;-0.2;1.4
8286;Total sales;105152 Yoghurt and other fermented ...;2013 June;96.3;0.3;1.7
8287;Total sales;105152 Yoghurt and other fermented ...;2013 July;98.0;1.7;3.6
8288;Total sales;105152 Yoghurt and other fermented ...;2013 August;97.9;-0.1;3.6
8289;Total sales;105152 Yoghurt and other fermented ...;2013 September;97.8;-0.1;3.8
8290;Total sales;105152 Yoghurt and other fermented ...;2013 October;98.1;0.3;3.8
8291;Total sales;105152 Yoghurt and other fermented ...;2013 November;97.9;-0.2;4.1
8292;Total sales;105152 Yoghurt and other fermented ...;2013 December;97.5;-0.4;3.5
8293;Total sales;105152 Yoghurt and other fermented ...;2013;96.7;;2.6
8294;Total sales;105152 Yoghurt and other fermented ...;2014 January;101.7;4.3;7.1
8295;Total sales;105152 Yoghurt and other fermented ...;2014 February;101.9;0.3;7.2
8296;Total sales;105152 Yoghurt and other fermented ...;2014 March;102.0;0.0;8.0
8297;Total sales;105152 Yoghurt and other fermented ...;2014 April;102.4;0.4;6.4
8298;Total sales;105152 Yoghurt and other fermented ...;2014 May;102.4;0.0;6.7
8299;Total sales;105152 Yoghurt and other fermented ...;2014 June;102.2;-0.2;6.2
8300;Total sales;105152 Yoghurt and other fermented ...;2014 July;102.9;0.7;5.0
8301;Total sales;105152 Yoghurt and other fermented ...;2014 August;103.0;0.1;5.2
8302;Total sales;105152 Yoghurt and other fermented ...;2014 September;102.3;-0.7;4.6
8303;Total sales;105152 Yoghurt and other fermented ...;2014 October;99.5;-2.7;1.4
8304;Total sales;105152 Yoghurt and other fermented ...;2014 November;99.4;-0.2;1.5
8305;Total sales;105152 Yoghurt and other fermented ...;2014 December;99.4;0.0;1.9
8306;Total sales;105152 Yoghurt and other fermented ...;2014;101.6;;5.1
8307;Total sales;105152 Yoghurt and other fermented ...;2015 January;100.2;0.8;-1.5
8308;Total sales;105152 Yoghurt and other fermented ...;2015 February;100.3;0.1;-1.6
8309;Total sales;105152 Yoghurt and other fermented ...;2015 March;100.6;0.3;-1.4
8310;Total sales;105152 Yoghurt and other fermented ...;2015 April;100.4;-0.1;-1.9
8311;Total sales;105152 Yoghurt and other fermented ...;2015 May;100.3;-0.1;-2.0
8312;Total sales;105152 Yoghurt and other fermented ...;2015 June;100.3;-0.1;-1.9
8313;Total sales;105152 Yoghurt and other fermented ...;2015 July;100.1;-0.2;-2.8
8314;Total sales;105152 Yoghurt and other fermented ...;2015 August;99.7;-0.4;-3.2
8315;Total sales;105152 Yoghurt and other fermented ...;2015 September;99.8;0.1;-2.5
8316;Total sales;105152 Yoghurt and other fermented ...;2015 October;99.5;-0.3;-0.1
8317;Total sales;105152 Yoghurt and other fermented ...;2015 November;99.5;0.0;0.1
8318;Total sales;105152 Yoghurt and other fermented ...;2015 December;99.5;0.0;0.1
8319;Total sales;105152 Yoghurt and other fermented ...;2015;100.0;;-1.6
8320;Total sales;105152 Yoghurt and other fermented ...;2016 January;99.7;0.2;-0.5
8321;Total sales;105152 Yoghurt and other fermented ...;2016 February;99.7;0.1;-0.5
8322;Total sales;105152 Yoghurt and other fermented ...;2016 March;99.7;0.0;-0.8
8323;Total sales;105152 Yoghurt and other fermented ...;2016 April;99.2;-0.6;-1.3
8324;Total sales;105152 Yoghurt and other fermented ...;2016 May;99.1;0.0;-1.2
8325;Total sales;105152 Yoghurt and other fermented ...;2016 June;99.0;-0.1;-1.3
8326;Total sales;105152 Yoghurt and other fermented ...;2016 July;100.2;1.2;0.2
8327;Total sales;105152 Yoghurt and other fermented ...;2016 August;100.1;-0.1;0.4
8328;Total sales;105152 Yoghurt and other fermented ...;2016 September;100.4;0.3;0.7
8329;Total sales;105152 Yoghurt and other fermented ...;2016 October;101.0;0.6;1.6
8330;Total sales;105152 Yoghurt and other fermented ...;2016 November;100.9;-0.1;1.4
8331;Total sales;105152 Yoghurt and other fermented ...;2016 December;100.5;-0.4;1.0
8332;Total sales;105152 Yoghurt and other fermented ...;2016;100.0;;0.0
8333;Total sales;105152 Yoghurt and other fermented ...;2017 January;104.9;4.4;5.2
8334;Total sales;105152 Yoghurt and other fermented ...;2017 February;104.9;0.0;5.1
8335;Total sales;105152 Yoghurt and other fermented ...;2017 March;104.9;0.0;5.1
8336;Total sales;105152 Yoghurt and other fermented ...;2017 April;104.9;0.1;5.8
