ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
7945;Other road transport equipment;22-23 Man. plastics and constructionprod;1998;15.0;86.1;13.0;0.0;6.0;4.0;0.0;0.0;15.0
7946;Other road transport equipment;22-23 Man. plastics and constructionprod;1999;17.0;97.5;15.0;0.0;6.0;4.0;0.0;0.0;17.0
7947;Other road transport equipment;22-23 Man. plastics and constructionprod;2000;19.0;106.9;17.0;0.0;7.0;5.0;0.0;0.0;19.0
7948;Other road transport equipment;22-23 Man. plastics and constructionprod;2001;20.0;110.5;19.0;0.0;5.0;5.0;0.0;0.0;20.0
7949;Other road transport equipment;22-23 Man. plastics and constructionprod;2002;18.0;99.5;20.0;0.0;3.0;5.0;0.0;0.0;18.0
7950;Other road transport equipment;22-23 Man. plastics and constructionprod;2003;18.0;99.5;18.0;0.0;5.0;5.0;0.0;0.0;18.0
7951;Other road transport equipment;22-23 Man. plastics and constructionprod;2004;18.0;99.5;18.0;0.0;4.0;5.0;0.0;0.0;18.0
7952;Other road transport equipment;22-23 Man. plastics and constructionprod;2005;18.0;99.5;18.0;0.0;5.0;5.0;0.0;0.0;18.0
7953;Other road transport equipment;22-23 Man. plastics and constructionprod;2006;20.0;110.5;18.0;0.0;6.0;5.0;0.0;0.0;20.0
7954;Other road transport equipment;22-23 Man. plastics and constructionprod;2007;19.0;105.0;20.0;0.0;4.0;5.0;0.0;0.0;19.0
7955;Other road transport equipment;22-23 Man. plastics and constructionprod;2008;21.0;110.3;19.0;1.0;6.0;5.0;0.0;0.0;21.0
7956;Other road transport equipment;22-23 Man. plastics and constructionprod;2009;20.0;105.0;21.0;0.0;4.0;5.0;0.0;0.0;20.0
7957;Other road transport equipment;22-23 Man. plastics and constructionprod;2010;20.0;100.0;20.0;1.0;4.0;5.0;0.0;0.0;20.0
7958;Other road transport equipment;22-23 Man. plastics and constructionprod;2011;21.0;105.0;20.0;0.0;5.0;5.0;0.0;0.0;21.0
7959;Other road transport equipment;22-23 Man. plastics and constructionprod;2012;21.0;105.0;21.0;0.0;5.0;5.0;0.0;0.0;21.0
7960;Other road transport equipment;22-23 Man. plastics and constructionprod;2013;21.0;105.0;21.0;0.0;4.0;5.0;0.0;0.0;21.0
7961;Other road transport equipment;22-23 Man. plastics and constructionprod;2014;21.0;105.0;21.0;0.0;5.0;5.0;0.0;0.0;21.0
7962;Other road transport equipment;22-23 Man. plastics and constructionprod;2015;21.0;105.0;21.0;0.0;5.0;5.0;0.0;0.0;21.0
7963;Other road transport equipment;22-23 Man. plastics and constructionprod;2016;22.0;110.0;21.0;;;;;;22.0
7964;Other road transport equipment;24-25 Man. of basic metals and -products;1995;22.0;64.9;22.0;0.0;6.0;6.0;0.0;0.0;22.0
7965;Other road transport equipment;24-25 Man. of basic metals and -products;1996;24.0;70.3;22.0;0.0;8.0;6.0;0.0;0.0;24.0
7966;Other road transport equipment;24-25 Man. of basic metals and -products;1997;26.0;76.2;24.0;0.0;9.0;7.0;0.0;0.0;26.0
7967;Other road transport equipment;24-25 Man. of basic metals and -products;1998;29.0;85.4;26.0;0.0;10.0;7.0;0.0;0.0;29.0
7968;Other road transport equipment;24-25 Man. of basic metals and -products;1999;31.0;91.2;29.0;0.0;10.0;8.0;0.0;0.0;31.0
7969;Other road transport equipment;24-25 Man. of basic metals and -products;2000;33.0;95.2;31.0;1.0;10.0;8.0;0.0;0.0;33.0
7970;Other road transport equipment;24-25 Man. of basic metals and -products;2001;34.0;94.4;33.0;0.0;9.0;9.0;0.0;0.0;34.0
7971;Other road transport equipment;24-25 Man. of basic metals and -products;2002;34.0;94.4;34.0;0.0;8.0;9.0;0.0;0.0;34.0
7972;Other road transport equipment;24-25 Man. of basic metals and -products;2003;31.0;86.1;34.0;0.0;6.0;8.0;0.0;0.0;31.0
7973;Other road transport equipment;24-25 Man. of basic metals and -products;2004;32.0;88.9;31.0;0.0;8.0;8.0;0.0;0.0;32.0
7974;Other road transport equipment;24-25 Man. of basic metals and -products;2005;32.0;88.9;32.0;0.0;8.0;8.0;0.0;0.0;32.0
7975;Other road transport equipment;24-25 Man. of basic metals and -products;2006;33.0;91.7;32.0;0.0;9.0;8.0;0.0;0.0;33.0
7976;Other road transport equipment;24-25 Man. of basic metals and -products;2007;38.0;102.4;33.0;1.0;13.0;9.0;0.0;0.0;38.0
7977;Other road transport equipment;24-25 Man. of basic metals and -products;2008;42.0;110.3;38.0;1.0;12.0;9.0;0.0;0.0;42.0
7978;Other road transport equipment;24-25 Man. of basic metals and -products;2009;41.0;107.7;42.0;0.0;9.0;9.0;0.0;0.0;41.0
7979;Other road transport equipment;24-25 Man. of basic metals and -products;2010;39.0;100.0;41.0;1.0;6.0;9.0;0.0;0.0;39.0
7980;Other road transport equipment;24-25 Man. of basic metals and -products;2011;39.0;100.0;39.0;0.0;8.0;9.0;0.0;0.0;39.0
7981;Other road transport equipment;24-25 Man. of basic metals and -products;2012;37.0;94.9;39.0;0.0;7.0;9.0;0.0;0.0;37.0
7982;Other road transport equipment;24-25 Man. of basic metals and -products;2013;38.0;97.4;37.0;0.0;9.0;9.0;0.0;0.0;38.0
7983;Other road transport equipment;24-25 Man. of basic metals and -products;2014;36.0;92.3;38.0;0.0;7.0;8.0;0.0;0.0;36.0
7984;Other road transport equipment;24-25 Man. of basic metals and -products;2015;36.0;92.3;36.0;0.0;8.0;8.0;0.0;0.0;36.0
7985;Other road transport equipment;24-25 Man. of basic metals and -products;2016;37.0;94.9;36.0;;;;;;37.0
7986;Other road transport equipment;26 Manufacture of electronic products;1995;2.0;100.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0
7987;Other road transport equipment;26 Manufacture of electronic products;1996;2.0;100.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
7988;Other road transport equipment;26 Manufacture of electronic products;1997;2.0;100.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0
7989;Other road transport equipment;26 Manufacture of electronic products;1998;3.0;100.0;2.0;0.0;1.0;1.0;0.0;0.0;3.0
7990;Other road transport equipment;26 Manufacture of electronic products;1999;3.0;100.0;3.0;0.0;1.0;1.0;0.0;0.0;3.0
7991;Other road transport equipment;26 Manufacture of electronic products;2000;3.0;100.0;3.0;0.0;1.0;1.0;0.0;0.0;3.0
7992;Other road transport equipment;26 Manufacture of electronic products;2001;3.0;;3.0;0.0;0.0;1.0;0.0;0.0;3.0
7993;Other road transport equipment;26 Manufacture of electronic products;2002;2.0;;3.0;0.0;0.0;1.0;0.0;0.0;2.0
7994;Other road transport equipment;26 Manufacture of electronic products;2003;2.0;;2.0;0.0;0.0;0.0;0.0;0.0;2.0
7995;Other road transport equipment;26 Manufacture of electronic products;2004;1.0;;2.0;0.0;0.0;0.0;0.0;0.0;1.0
7996;Other road transport equipment;26 Manufacture of electronic products;2005;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
7997;Other road transport equipment;26 Manufacture of electronic products;2006;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
7998;Other road transport equipment;26 Manufacture of electronic products;2007;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
7999;Other road transport equipment;26 Manufacture of electronic products;2008;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
8000;Other road transport equipment;26 Manufacture of electronic products;2009;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8001;Other road transport equipment;26 Manufacture of electronic products;2010;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8002;Other road transport equipment;26 Manufacture of electronic products;2011;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8003;Other road transport equipment;26 Manufacture of electronic products;2012;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8004;Other road transport equipment;26 Manufacture of electronic products;2013;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8005;Other road transport equipment;26 Manufacture of electronic products;2014;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8006;Other road transport equipment;26 Manufacture of electronic products;2015;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8007;Other road transport equipment;26 Manufacture of electronic products;2016;0.0;;0.0;;;;;;0.0
8008;Other road transport equipment;27 Manufacture of electric equipment;1995;3.0;69.0;2.0;0.0;1.0;1.0;0.0;0.0;3.0
8009;Other road transport equipment;27 Manufacture of electric equipment;1996;3.0;68.5;3.0;0.0;1.0;1.0;0.0;0.0;3.0
8010;Other road transport equipment;27 Manufacture of electric equipment;1997;4.0;91.4;3.0;0.0;2.0;1.0;0.0;0.0;4.0
8011;Other road transport equipment;27 Manufacture of electric equipment;1998;4.0;91.9;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8012;Other road transport equipment;27 Manufacture of electric equipment;1999;4.0;91.8;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8013;Other road transport equipment;27 Manufacture of electric equipment;2000;4.0;90.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8014;Other road transport equipment;27 Manufacture of electric equipment;2001;4.0;80.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8015;Other road transport equipment;27 Manufacture of electric equipment;2002;4.0;80.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8016;Other road transport equipment;27 Manufacture of electric equipment;2003;4.0;80.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8017;Other road transport equipment;27 Manufacture of electric equipment;2004;4.0;80.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8018;Other road transport equipment;27 Manufacture of electric equipment;2005;4.0;80.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8019;Other road transport equipment;27 Manufacture of electric equipment;2006;4.0;80.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8020;Other road transport equipment;27 Manufacture of electric equipment;2007;4.0;80.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8021;Other road transport equipment;27 Manufacture of electric equipment;2008;4.0;80.0;4.0;0.0;1.0;1.0;0.0;0.0;4.0
8022;Other road transport equipment;27 Manufacture of electric equipment;2009;5.0;100.0;4.0;0.0;2.0;1.0;0.0;0.0;5.0
8023;Other road transport equipment;27 Manufacture of electric equipment;2010;5.0;100.0;5.0;0.0;1.0;1.0;0.0;0.0;5.0
8024;Other road transport equipment;27 Manufacture of electric equipment;2011;5.0;100.0;5.0;0.0;1.0;1.0;0.0;0.0;5.0
8025;Other road transport equipment;27 Manufacture of electric equipment;2012;5.0;100.0;5.0;0.0;1.0;1.0;0.0;0.0;5.0
8026;Other road transport equipment;27 Manufacture of electric equipment;2013;5.0;100.0;5.0;0.0;1.0;1.0;0.0;0.0;5.0
8027;Other road transport equipment;27 Manufacture of electric equipment;2014;5.0;100.0;5.0;0.0;1.0;1.0;0.0;0.0;5.0
8028;Other road transport equipment;27 Manufacture of electric equipment;2015;5.0;100.0;5.0;0.0;1.0;1.0;0.0;0.0;5.0
8029;Other road transport equipment;27 Manufacture of electric equipment;2016;5.0;100.0;5.0;;;;;;5.0
8030;Other road transport equipment;28 Manufacture of machinery n.e.c.;1995;10.0;63.9;10.0;0.0;3.0;3.0;0.0;0.0;10.0
8031;Other road transport equipment;28 Manufacture of machinery n.e.c.;1996;11.0;69.8;10.0;0.0;4.0;3.0;0.0;0.0;11.0
8032;Other road transport equipment;28 Manufacture of machinery n.e.c.;1997;13.0;82.5;11.0;0.0;6.0;4.0;0.0;0.0;13.0
8033;Other road transport equipment;28 Manufacture of machinery n.e.c.;1998;14.0;89.3;13.0;0.0;5.0;4.0;0.0;0.0;14.0
8034;Other road transport equipment;28 Manufacture of machinery n.e.c.;1999;15.0;95.6;14.0;0.0;5.0;4.0;0.0;0.0;15.0
8035;Other road transport equipment;28 Manufacture of machinery n.e.c.;2000;15.0;93.8;15.0;0.0;4.0;4.0;0.0;0.0;15.0
8036;Other road transport equipment;28 Manufacture of machinery n.e.c.;2001;16.0;93.8;15.0;0.0;5.0;4.0;0.0;0.0;16.0
8037;Other road transport equipment;28 Manufacture of machinery n.e.c.;2002;15.0;88.0;16.0;0.0;3.0;4.0;0.0;0.0;15.0
8038;Other road transport equipment;28 Manufacture of machinery n.e.c.;2003;14.0;82.1;15.0;0.0;3.0;4.0;0.0;0.0;14.0
8039;Other road transport equipment;28 Manufacture of machinery n.e.c.;2004;14.0;82.1;14.0;0.0;4.0;4.0;0.0;0.0;14.0
8040;Other road transport equipment;28 Manufacture of machinery n.e.c.;2005;13.0;76.2;14.0;0.0;3.0;4.0;0.0;0.0;13.0
8041;Other road transport equipment;28 Manufacture of machinery n.e.c.;2006;16.0;93.8;13.0;0.0;7.0;4.0;0.0;0.0;16.0
8042;Other road transport equipment;28 Manufacture of machinery n.e.c.;2007;16.0;93.8;16.0;0.0;4.0;4.0;0.0;0.0;16.0
8043;Other road transport equipment;28 Manufacture of machinery n.e.c.;2008;17.0;99.7;16.0;0.0;5.0;4.0;0.0;0.0;17.0
8044;Other road transport equipment;28 Manufacture of machinery n.e.c.;2009;18.0;105.6;17.0;0.0;5.0;4.0;0.0;0.0;18.0
8045;Other road transport equipment;28 Manufacture of machinery n.e.c.;2010;18.0;100.0;18.0;1.0;4.0;5.0;0.0;0.0;18.0
8046;Other road transport equipment;28 Manufacture of machinery n.e.c.;2011;19.0;105.6;18.0;0.0;5.0;5.0;0.0;0.0;19.0
8047;Other road transport equipment;28 Manufacture of machinery n.e.c.;2012;18.0;100.0;19.0;0.0;4.0;5.0;0.0;0.0;18.0
8048;Other road transport equipment;28 Manufacture of machinery n.e.c.;2013;18.0;100.0;18.0;0.0;4.0;5.0;0.0;0.0;18.0
8049;Other road transport equipment;28 Manufacture of machinery n.e.c.;2014;17.0;94.4;18.0;0.0;4.0;4.0;0.0;0.0;17.0
8050;Other road transport equipment;28 Manufacture of machinery n.e.c.;2015;17.0;94.4;17.0;0.0;4.0;4.0;0.0;0.0;17.0
8051;Other road transport equipment;28 Manufacture of machinery n.e.c.;2016;18.0;100.0;17.0;;;;;;18.0
8052;Other road transport equipment;29-30 Transport equipment;1995;13.0;149.5;14.0;0.0;3.0;4.0;0.0;0.0;13.0
8053;Other road transport equipment;29-30 Transport equipment;1996;12.0;137.0;13.0;0.0;2.0;4.0;0.0;0.0;12.0
8054;Other road transport equipment;29-30 Transport equipment;1997;11.0;125.7;12.0;0.0;3.0;3.0;0.0;0.0;11.0
8055;Other road transport equipment;29-30 Transport equipment;1998;10.0;114.8;11.0;0.0;2.0;3.0;0.0;0.0;10.0
8056;Other road transport equipment;29-30 Transport equipment;1999;11.0;126.2;10.0;0.0;4.0;3.0;0.0;0.0;11.0
8057;Other road transport equipment;29-30 Transport equipment;2000;10.0;112.5;11.0;0.0;1.0;3.0;0.0;0.0;10.0
8058;Other road transport equipment;29-30 Transport equipment;2001;10.0;100.0;10.0;0.0;3.0;3.0;0.0;0.0;10.0
8059;Other road transport equipment;29-30 Transport equipment;2002;10.0;100.0;10.0;0.0;2.0;3.0;0.0;0.0;10.0
8060;Other road transport equipment;29-30 Transport equipment;2003;9.0;90.0;10.0;0.0;1.0;2.0;0.0;1.0;9.0
8061;Other road transport equipment;29-30 Transport equipment;2004;9.0;90.0;9.0;0.0;2.0;2.0;0.0;0.0;9.0
8062;Other road transport equipment;29-30 Transport equipment;2005;10.0;100.0;9.0;0.0;3.0;2.0;0.0;0.0;10.0
8063;Other road transport equipment;29-30 Transport equipment;2006;10.0;100.0;10.0;0.0;3.0;2.0;0.0;0.0;10.0
8064;Other road transport equipment;29-30 Transport equipment;2007;10.0;100.0;10.0;0.0;2.0;2.0;0.0;0.0;10.0
8065;Other road transport equipment;29-30 Transport equipment;2008;10.0;100.0;10.0;0.0;2.0;2.0;0.0;0.0;10.0
8066;Other road transport equipment;29-30 Transport equipment;2009;10.0;100.0;10.0;0.0;3.0;2.0;0.0;0.0;10.0
8067;Other road transport equipment;29-30 Transport equipment;2010;10.0;100.0;10.0;0.0;2.0;2.0;0.0;0.0;10.0
8068;Other road transport equipment;29-30 Transport equipment;2011;13.0;130.0;10.0;0.0;5.0;3.0;0.0;0.0;13.0
8069;Other road transport equipment;29-30 Transport equipment;2012;12.0;120.0;13.0;0.0;2.0;3.0;0.0;0.0;12.0
8070;Other road transport equipment;29-30 Transport equipment;2013;19.0;190.0;12.0;0.0;10.0;3.0;0.0;0.0;19.0
8071;Other road transport equipment;29-30 Transport equipment;2014;23.0;230.0;19.0;0.0;9.0;5.0;0.0;0.0;23.0
8072;Other road transport equipment;29-30 Transport equipment;2015;53.0;530.0;23.0;0.0;38.0;8.0;0.0;0.0;53.0
8073;Other road transport equipment;29-30 Transport equipment;2016;84.0;840.0;53.0;;;;;;84.0
8074;Other road transport equipment;31-33 Other manufacturing and repair;1995;35.0;35.6;32.0;0.0;7.0;7.0;3.0;0.0;35.0
8075;Other road transport equipment;31-33 Other manufacturing and repair;1996;35.0;35.4;35.0;0.0;7.0;8.0;0.0;0.0;35.0
8076;Other road transport equipment;31-33 Other manufacturing and repair;1997;36.0;36.4;35.0;0.0;9.0;8.0;0.0;0.0;36.0
8077;Other road transport equipment;31-33 Other manufacturing and repair;1998;40.0;40.6;36.0;0.0;12.0;8.0;0.0;0.0;40.0
8078;Other road transport equipment;31-33 Other manufacturing and repair;1999;41.0;41.6;40.0;0.0;10.0;8.0;0.0;-1.0;41.0
8079;Other road transport equipment;31-33 Other manufacturing and repair;2000;43.0;42.8;41.0;1.0;10.0;9.0;0.0;0.0;43.0
8080;Other road transport equipment;31-33 Other manufacturing and repair;2001;45.0;43.8;43.0;0.0;10.0;9.0;0.0;0.0;45.0
8081;Other road transport equipment;31-33 Other manufacturing and repair;2002;47.0;45.7;45.0;0.0;11.0;9.0;0.0;0.0;47.0
8082;Other road transport equipment;31-33 Other manufacturing and repair;2003;49.0;47.7;47.0;0.0;11.0;9.0;0.0;0.0;49.0
8083;Other road transport equipment;31-33 Other manufacturing and repair;2004;51.0;49.6;49.0;0.0;12.0;10.0;0.0;0.0;51.0
8084;Other road transport equipment;31-33 Other manufacturing and repair;2005;56.0;53.5;51.0;1.0;14.0;10.0;0.0;0.0;56.0
8085;Other road transport equipment;31-33 Other manufacturing and repair;2006;59.0;56.3;56.0;0.0;14.0;11.0;0.0;0.0;59.0
8086;Other road transport equipment;31-33 Other manufacturing and repair;2007;68.0;63.8;59.0;1.0;19.0;12.0;0.0;0.0;68.0
8087;Other road transport equipment;31-33 Other manufacturing and repair;2008;88.0;80.2;68.0;2.0;32.0;14.0;0.0;0.0;88.0
8088;Other road transport equipment;31-33 Other manufacturing and repair;2009;99.0;90.3;88.0;0.0;27.0;16.0;0.0;0.0;99.0
8089;Other road transport equipment;31-33 Other manufacturing and repair;2010;113.0;100.0;99.0;3.0;29.0;18.0;0.0;0.0;113.0
8090;Other road transport equipment;31-33 Other manufacturing and repair;2011;129.0;113.2;113.0;1.0;40.0;21.0;-4.0;0.0;129.0
8091;Other road transport equipment;31-33 Other manufacturing and repair;2012;153.0;133.2;129.0;1.0;49.0;24.0;-2.0;0.0;153.0
8092;Other road transport equipment;31-33 Other manufacturing and repair;2013;176.0;151.2;153.0;2.0;49.0;28.0;0.0;0.0;176.0
8093;Other road transport equipment;31-33 Other manufacturing and repair;2014;177.0;153.8;176.0;-2.0;32.0;29.0;0.0;0.0;177.0
8094;Other road transport equipment;31-33 Other manufacturing and repair;2015;181.0;158.2;177.0;-1.0;35.0;30.0;0.0;0.0;181.0
8095;Other road transport equipment;31-33 Other manufacturing and repair;2016;193.0;167.8;181.0;;;;;;193.0
8096;Other road transport equipment;D Electricity and gas supply;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8097;Other road transport equipment;D Electricity and gas supply;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8098;Other road transport equipment;D Electricity and gas supply;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8099;Other road transport equipment;D Electricity and gas supply;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8100;Other road transport equipment;D Electricity and gas supply;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8101;Other road transport equipment;D Electricity and gas supply;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8102;Other road transport equipment;D Electricity and gas supply;2001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8103;Other road transport equipment;D Electricity and gas supply;2002;1.0;;0.0;0.0;1.0;0.0;0.0;0.0;1.0
8104;Other road transport equipment;D Electricity and gas supply;2003;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
8105;Other road transport equipment;D Electricity and gas supply;2004;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
8106;Other road transport equipment;D Electricity and gas supply;2005;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0
8107;Other road transport equipment;D Electricity and gas supply;2006;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8108;Other road transport equipment;D Electricity and gas supply;2007;5.0;35.7;0.0;0.0;5.0;0.0;0.0;0.0;5.0
8109;Other road transport equipment;D Electricity and gas supply;2008;10.0;71.4;5.0;0.0;6.0;1.0;0.0;0.0;10.0
8110;Other road transport equipment;D Electricity and gas supply;2009;12.0;85.7;10.0;0.0;4.0;2.0;0.0;0.0;12.0
8111;Other road transport equipment;D Electricity and gas supply;2010;14.0;100.0;12.0;0.0;3.0;2.0;0.0;0.0;14.0
8112;Other road transport equipment;D Electricity and gas supply;2011;12.0;85.7;14.0;0.0;0.0;2.0;0.0;0.0;12.0
8113;Other road transport equipment;D Electricity and gas supply;2012;10.0;71.4;12.0;0.0;0.0;2.0;0.0;0.0;10.0
8114;Other road transport equipment;D Electricity and gas supply;2013;9.0;64.3;10.0;0.0;0.0;2.0;0.0;0.0;9.0
8115;Other road transport equipment;D Electricity and gas supply;2014;7.0;50.0;9.0;0.0;0.0;1.0;0.0;0.0;7.0
8116;Other road transport equipment;D Electricity and gas supply;2015;6.0;42.9;7.0;0.0;0.0;1.0;0.0;0.0;6.0
8117;Other road transport equipment;D Electricity and gas supply;2016;5.0;;6.0;;;;;;5.0
8118;Other road transport equipment;E Water supply and waste management;1995;119.0;51.8;117.0;1.0;23.0;27.0;0.0;5.0;119.0
8119;Other road transport equipment;E Water supply and waste management;1996;130.0;56.2;119.0;1.0;33.0;28.0;0.0;6.0;130.0
8120;Other road transport equipment;E Water supply and waste management;1997;140.0;60.6;130.0;0.0;35.0;30.0;0.0;5.0;140.0
8121;Other road transport equipment;E Water supply and waste management;1998;150.0;65.2;140.0;-1.0;42.0;31.0;0.0;0.0;150.0
8122;Other road transport equipment;E Water supply and waste management;1999;169.0;73.5;150.0;0.0;48.0;34.0;0.0;5.0;169.0
8123;Other road transport equipment;E Water supply and waste management;2000;196.0;83.5;169.0;3.0;62.0;39.0;0.0;0.0;196.0
