ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
8229;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 January;6295;;;;6295;;;
8230;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 February;6295;;;;6295;;;
8231;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 March;6295;;;;6295;;;
8232;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 April;6295;;;;6295;;;
8233;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 May;6295;;;;6295;;;
8234;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 June;6295;;;;6295;;;
8235;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 July;6295;;;;6295;;;
8236;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 August;6295;;;;6295;;;
8237;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 September;6295;;;;6295;;;
8238;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 October;6295;;;;6295;;;
8239;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 November;6295;;;;6295;;;
8240;Domestic sales intermediary goods;C MINING AND QUARRYING;2003 December;6295;;;;6295;;;
8241;Domestic sales intermediary goods;C MINING AND QUARRYING;2003;6295;;;;6295;;;
8242;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 January;6295;;;;6295;;;
8243;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 February;6295;;;;6295;;;
8244;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 March;6295;;;;6295;;;
8245;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 April;6295;;;;6295;;;
8246;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 May;6295;;;;6295;;;
8247;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 June;6295;;;;6295;;;
8248;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 July;6295;;;;6295;;;
8249;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 August;6295;;;;6295;;;
8250;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 September;6295;;;;6295;;;
8251;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 October;6295;;;;6295;;;
8252;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 November;6295;;;;6295;;;
8253;Domestic sales intermediary goods;C MINING AND QUARRYING;2004 December;6295;;;;6295;;;
8254;Domestic sales intermediary goods;C MINING AND QUARRYING;2004;6295;;;;6295;;;
8255;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 January;6295;;;;6295;;;
8256;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 February;6295;;;;6295;;;
8257;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 March;6295;;;;6295;;;
8258;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 April;6295;;;;6295;;;
8259;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 May;6295;;;;6295;;;
8260;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 June;6295;;;;6295;;;
8261;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 July;6295;;;;6295;;;
8262;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 August;6295;;;;6295;;;
8263;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 September;6295;;;;6295;;;
8264;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 October;6295;;;;6295;;;
8265;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 November;6295;;;;6295;;;
8266;Domestic sales intermediary goods;C MINING AND QUARRYING;2005 December;6295;;;;6295;;;
8267;Domestic sales intermediary goods;C MINING AND QUARRYING;2005;6295;;;;6295;;;
8268;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 January;6295;;;;6295;;;
8269;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 February;6295;;;;6295;;;
8270;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 March;6295;;;;6295;;;
8271;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 April;6295;;;;6295;;;
8272;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 May;6295;;;;6295;;;
8273;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 June;6295;;;;6295;;;
8274;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 July;6295;;;;6295;;;
8275;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 August;6295;;;;6295;;;
8276;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 September;6295;;;;6295;;;
8277;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 October;6295;;;;6295;;;
8278;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 November;6295;;;;6295;;;
8279;Domestic sales intermediary goods;C MINING AND QUARRYING;2006 December;6295;;;;6295;;;
8280;Domestic sales intermediary goods;C MINING AND QUARRYING;2006;6295;;;;6295;;;
8281;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 January;6295;;;;6295;;;
8282;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 February;6295;;;;6295;;;
8283;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 March;6295;;;;6295;;;
8284;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 April;6295;;;;6295;;;
8285;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 May;6295;;;;6295;;;
8286;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 June;6295;;;;6295;;;
8287;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 July;6295;;;;6295;;;
8288;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 August;6295;;;;6295;;;
8289;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 September;6295;;;;6295;;;
8290;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 October;6295;;;;6295;;;
8291;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 November;6295;;;;6295;;;
8292;Domestic sales intermediary goods;C MINING AND QUARRYING;2007 December;6295;;;;6295;;;
8293;Domestic sales intermediary goods;C MINING AND QUARRYING;2007;6295;;;;6295;;;
8294;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 January;6295;;;;6295;;;
8295;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 February;6295;;;;6295;;;
8296;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 March;6295;;;;6295;;;
8297;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 April;6295;;;;6295;;;
8298;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 May;6295;;;;6295;;;
8299;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 June;6295;;;;6295;;;
8300;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 July;6295;;;;6295;;;
8301;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 August;6295;;;;6295;;;
8302;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 September;6295;;;;6295;;;
8303;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 October;6295;;;;6295;;;
8304;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 November;6295;;;;6295;;;
8305;Domestic sales intermediary goods;C MINING AND QUARRYING;2008 December;6295;;;;6295;;;
8306;Domestic sales intermediary goods;C MINING AND QUARRYING;2008;6295;;;;6295;;;
8307;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 January;5788;;;;5788;;;
8308;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 February;5788;;;;5788;;;
8309;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 March;5788;;;;5788;;;
8310;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 April;5788;;;;5788;;;
8311;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 May;5788;;;;5788;;;
8312;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 June;5788;;;;5788;;;
8313;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 July;5788;;;;5788;;;
8314;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 August;5788;;;;5788;;;
8315;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 September;5788;;;;5788;;;
8316;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 October;5788;;;;5788;;;
8317;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 November;5788;;;;5788;;;
8318;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000 December;5788;;;;5788;;;
8319;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2000;5788;100.0;;;5788;100.0;;
8320;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 January;5788;;;;5788;;;
8321;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 February;5788;;;;5788;;;
8322;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 March;5788;;;;5788;;;
8323;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 April;5788;;;;5788;;;
8324;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 May;5788;;;;5788;;;
8325;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 June;5788;;;;5788;;;
8326;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 July;5788;;;;5788;;;
8327;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 August;5788;;;;5788;;;
8328;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 September;5788;;;;5788;;;
8329;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 October;5788;;;;5788;;;
8330;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 November;5788;;;;5788;;;
8331;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001 December;5788;;;;5788;;;
8332;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2001;5788;;;;5788;;;
8333;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 January;5788;;;;5788;;;
8334;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 February;5788;;;;5788;;;
8335;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 March;5788;;;;5788;;;
8336;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 April;5788;;;;5788;;;
8337;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 May;5788;;;;5788;;;
8338;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 June;5788;;;;5788;;;
8339;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 July;5788;;;;5788;;;
8340;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 August;5788;;;;5788;;;
8341;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 September;5788;;;;5788;;;
8342;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 October;5788;;;;5788;;;
8343;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 November;5788;;;;5788;;;
8344;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002 December;5788;;;;5788;;;
8345;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2002;5788;;;;5788;;;
8346;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 January;5788;;;;5788;;;
8347;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 February;5788;;;;5788;;;
8348;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 March;5788;;;;5788;;;
8349;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 April;5788;;;;5788;;;
8350;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 May;5788;;;;5788;;;
8351;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 June;5788;;;;5788;;;
8352;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 July;5788;;;;5788;;;
8353;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 August;5788;;;;5788;;;
8354;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 September;5788;;;;5788;;;
8355;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 October;5788;;;;5788;;;
8356;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 November;5788;;;;5788;;;
8357;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003 December;5788;;;;5788;;;
8358;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2003;5788;;;;5788;;;
8359;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 January;5788;;;;5788;;;
8360;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 February;5788;;;;5788;;;
8361;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 March;5788;;;;5788;;;
8362;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 April;5788;;;;5788;;;
8363;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 May;5788;;;;5788;;;
8364;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 June;5788;;;;5788;;;
8365;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 July;5788;;;;5788;;;
8366;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 August;5788;;;;5788;;;
8367;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 September;5788;;;;5788;;;
8368;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 October;5788;;;;5788;;;
8369;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 November;5788;;;;5788;;;
8370;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004 December;5788;;;;5788;;;
8371;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2004;5788;;;;5788;;;
8372;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 January;5788;;;;5788;;;
8373;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 February;5788;;;;5788;;;
8374;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 March;5788;;;;5788;;;
8375;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 April;5788;;;;5788;;;
8376;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 May;5788;;;;5788;;;
8377;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 June;5788;;;;5788;;;
8378;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 July;5788;;;;5788;;;
8379;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 August;5788;;;;5788;;;
8380;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 September;5788;;;;5788;;;
8381;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 October;5788;;;;5788;;;
8382;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 November;5788;;;;5788;;;
8383;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005 December;5788;;;;5788;;;
8384;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2005;5788;;;;5788;;;
8385;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 January;5788;;;;5788;;;
8386;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 February;5788;;;;5788;;;
8387;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 March;5788;;;;5788;;;
8388;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 April;5788;;;;5788;;;
8389;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 May;5788;;;;5788;;;
8390;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 June;5788;;;;5788;;;
8391;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 July;5788;;;;5788;;;
8392;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 August;5788;;;;5788;;;
8393;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 September;5788;;;;5788;;;
8394;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 October;5788;;;;5788;;;
8395;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 November;5788;;;;5788;;;
8396;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006 December;5788;;;;5788;;;
8397;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2006;5788;;;;5788;;;
8398;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 January;5788;;;;5788;;;
8399;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 February;5788;;;;5788;;;
8400;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 March;5788;;;;5788;;;
8401;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 April;5788;;;;5788;;;
8402;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 May;5788;;;;5788;;;
8403;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 June;5788;;;;5788;;;
8404;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 July;5788;;;;5788;;;
8405;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 August;5788;;;;5788;;;
8406;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 September;5788;;;;5788;;;
8407;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 October;5788;;;;5788;;;
8408;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 November;5788;;;;5788;;;
8409;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007 December;5788;;;;5788;;;
8410;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2007;5788;;;;5788;;;
8411;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 January;5788;;;;5788;;;
8412;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 February;5788;;;;5788;;;
8413;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 March;5788;;;;5788;;;
8414;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 April;5788;;;;5788;;;
8415;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 May;5788;;;;5788;;;
8416;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 June;5788;;;;5788;;;
8417;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 July;5788;;;;5788;;;
8418;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 August;5788;;;;5788;;;
8419;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 September;5788;;;;5788;;;
8420;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 October;5788;;;;5788;;;
8421;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 November;5788;;;;5788;;;
8422;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008 December;5788;;;;5788;;;
8423;Domestic sales intermediary goods;CA MINING AND QUARRYING OF ENERGY-PRODUC;2008;5788;;;;5788;;;
