ID;TypeOfBankruptcy;SectorBranchesSIC2008;Periods;PronouncedBankruptcies_1
9242;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 4th quarter;0
9243;Total entities with/without legal pers.;105 Manufacture of dairy products;2016;0
9244;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 January;0
9245;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 February;0
9246;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 March;0
9247;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 1st quarter;0
9248;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 April;0
9249;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 May;0
9250;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 June;0
9251;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 2nd quarter;0
9252;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 July;0
9253;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 August;0
9254;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 September;0
9255;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 3rd quarter;0
9256;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 October;0
9257;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 November;1
9258;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 December;0
9259;Total entities with/without legal pers.;105 Manufacture of dairy products;2017 4th quarter;1
9260;Total entities with/without legal pers.;105 Manufacture of dairy products;2017;1
9261;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 January;0
9262;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 February;0
9263;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 March;0
9264;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 1st quarter;0
9265;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 April;0
9266;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 May;0
9267;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 June;0
9268;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 2nd quarter;0
9269;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 July;0
9270;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 August;0
9271;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 September;0
9272;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 3rd quarter;0
9273;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 October;0
9274;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 November;1
9275;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 December;0
9276;Total entities with/without legal pers.;105 Manufacture of dairy products;2018 4th quarter;1
9277;Total entities with/without legal pers.;105 Manufacture of dairy products;2018;1
9278;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 January;0
9279;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 February;0
9280;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 March;1
9281;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 1st quarter;1
9282;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 April;0
9283;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 May;0
9284;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 June;1
9285;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 2nd quarter;1
9286;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 July;0
9287;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 August;0
9288;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 September;0
9289;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 3rd quarter;0
9290;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 October;0
9291;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 November;2
9292;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 December;0
9293;Total entities with/without legal pers.;105 Manufacture of dairy products;2019 4th quarter;2
9294;Total entities with/without legal pers.;105 Manufacture of dairy products;2019;4
9295;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 January;0
9296;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 February;0
9297;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 March;0
9298;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 1st quarter;0
9299;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 April;1
9300;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 May;0
9301;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 June;0
9302;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 2nd quarter;1
9303;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 July;0
9304;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 August;0
9305;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 September;0
9306;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 3rd quarter;0
9307;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 October;0
9308;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 November;0
9309;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 December;0
9310;Total entities with/without legal pers.;105 Manufacture of dairy products;2020 4th quarter;0
9311;Total entities with/without legal pers.;105 Manufacture of dairy products;2020;1
9312;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 January;0
9313;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 February;0
9314;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 March;0
9315;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 1st quarter;0
9316;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 April;0
9317;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 May;1
9318;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 June;0
9319;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 2nd quarter;1
9320;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 July;0
9321;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 August;0
9322;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 September;0
9323;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 3rd quarter;0
9324;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 October;0
9325;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 November;0
9326;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 December;0
9327;Total entities with/without legal pers.;105 Manufacture of dairy products;2021 4th quarter;0
9328;Total entities with/without legal pers.;105 Manufacture of dairy products;2021;1
9329;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 January;0
9330;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 February;0
9331;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 March;0
9332;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 1st quarter;0
9333;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 April;0
9334;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 May;0
9335;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 June;0
9336;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 2nd quarter;0
9337;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 July;0
9338;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 August;0
9339;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 September;0
9340;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 3rd quarter;0
9341;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 October;0
9342;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 November;0
9343;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 December;1
9344;Total entities with/without legal pers.;105 Manufacture of dairy products;2022 4th quarter;1
9345;Total entities with/without legal pers.;105 Manufacture of dairy products;2022;1
9346;Total entities with/without legal pers.;105 Manufacture of dairy products;2023 January;0
9347;Total entities with/without legal pers.;105 Manufacture of dairy products;2023 February;0
