ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
7486;Listed monuments total;Druten;1971;20
7487;Listed monuments total;Druten;1972;20
7488;Listed monuments total;Druten;1973;20
7489;Listed monuments total;Druten;1974;21
7490;Listed monuments total;Druten;1975;23
7491;Listed monuments total;Druten;1976;23
7492;Listed monuments total;Druten;1977;23
7493;Listed monuments total;Druten;1978;25
7494;Listed monuments total;Druten;1979;25
7495;Listed monuments total;Druten;1980;25
7496;Listed monuments total;Druten;1981;25
7497;Listed monuments total;Druten;1982;25
7498;Listed monuments total;Druten;1983;25
7499;Listed monuments total;Druten;1984;25
7500;Listed monuments total;Druten;1985;25
7501;Listed monuments total;Druten;1986;25
7502;Listed monuments total;Druten;1987;25
7503;Listed monuments total;Druten;1988;25
7504;Listed monuments total;Druten;1989;25
7505;Listed monuments total;Druten;1990;25
7506;Listed monuments total;Druten;1991;26
7507;Listed monuments total;Druten;1992;26
7508;Listed monuments total;Druten;1993;27
7509;Listed monuments total;Druten;1994;27
7510;Listed monuments total;Druten;1995;27
7511;Listed monuments total;Druten;1996;27
7512;Listed monuments total;Druten;1997;27
7513;Listed monuments total;Druten;1998;27
7514;Listed monuments total;Druten;1999;27
7515;Listed monuments total;Druten;2000;27
7516;Listed monuments total;Druten;2001;27
7517;Listed monuments total;Druten;2002;45
7518;Listed monuments total;Druten;2003;45
7519;Listed monuments total;Druten;2004;45
7520;Listed monuments total;Druten;2005;45
7521;Listed monuments total;Druten;2006;45
7522;Listed monuments total;Druten;2007;45
7523;Listed monuments total;Druten;2008;45
7524;Listed monuments total;Druten;2009;45
7525;Listed monuments total;Druten;2010;45
7526;Listed monuments total;Druten;2011;45
7527;Listed monuments total;Druten;2012;45
7528;Listed monuments total;Druten;2013;45
7529;Listed monuments total;Druten;2014;45
7530;Listed monuments total;Druten;2015;45
7531;Listed monuments total;Druten;2016;46
7532;Listed monuments total;Druten;2017;46
7533;Listed monuments total;Druten;2018;46
7534;Listed monuments total;Druten;2019;46
7535;Listed monuments total;Duiven;1965;0
7536;Listed monuments total;Duiven;1966;10
7537;Listed monuments total;Duiven;1967;10
7538;Listed monuments total;Duiven;1968;10
7539;Listed monuments total;Duiven;1969;10
7540;Listed monuments total;Duiven;1970;10
7541;Listed monuments total;Duiven;1971;10
7542;Listed monuments total;Duiven;1972;10
7543;Listed monuments total;Duiven;1973;10
7544;Listed monuments total;Duiven;1974;10
7545;Listed monuments total;Duiven;1975;10
7546;Listed monuments total;Duiven;1976;11
7547;Listed monuments total;Duiven;1977;11
7548;Listed monuments total;Duiven;1978;11
7549;Listed monuments total;Duiven;1979;11
7550;Listed monuments total;Duiven;1980;11
7551;Listed monuments total;Duiven;1981;11
7552;Listed monuments total;Duiven;1982;11
7553;Listed monuments total;Duiven;1983;11
7554;Listed monuments total;Duiven;1984;11
7555;Listed monuments total;Duiven;1985;11
7556;Listed monuments total;Duiven;1986;11
7557;Listed monuments total;Duiven;1987;11
7558;Listed monuments total;Duiven;1988;11
7559;Listed monuments total;Duiven;1989;11
7560;Listed monuments total;Duiven;1990;11
7561;Listed monuments total;Duiven;1991;11
7562;Listed monuments total;Duiven;1992;11
7563;Listed monuments total;Duiven;1993;11
7564;Listed monuments total;Duiven;1994;11
7565;Listed monuments total;Duiven;1995;11
7566;Listed monuments total;Duiven;1996;11
7567;Listed monuments total;Duiven;1997;11
7568;Listed monuments total;Duiven;1998;11
7569;Listed monuments total;Duiven;1999;12
7570;Listed monuments total;Duiven;2000;12
7571;Listed monuments total;Duiven;2001;12
7572;Listed monuments total;Duiven;2002;12
7573;Listed monuments total;Duiven;2003;12
7574;Listed monuments total;Duiven;2004;12
7575;Listed monuments total;Duiven;2005;12
7576;Listed monuments total;Duiven;2006;12
7577;Listed monuments total;Duiven;2007;12
7578;Listed monuments total;Duiven;2008;12
7579;Listed monuments total;Duiven;2009;12
7580;Listed monuments total;Duiven;2010;12
7581;Listed monuments total;Duiven;2011;12
7582;Listed monuments total;Duiven;2012;12
7583;Listed monuments total;Duiven;2013;12
7584;Listed monuments total;Duiven;2014;12
7585;Listed monuments total;Duiven;2015;12
7586;Listed monuments total;Duiven;2016;12
7587;Listed monuments total;Duiven;2017;12
7588;Listed monuments total;Duiven;2018;12
7589;Listed monuments total;Duiven;2019;12
7590;Listed monuments total;Echt-Susteren;1965;0
7591;Listed monuments total;Echt-Susteren;1966;0
7592;Listed monuments total;Echt-Susteren;1967;0
7593;Listed monuments total;Echt-Susteren;1968;9
7594;Listed monuments total;Echt-Susteren;1969;12
7595;Listed monuments total;Echt-Susteren;1970;12
7596;Listed monuments total;Echt-Susteren;1971;12
7597;Listed monuments total;Echt-Susteren;1972;26
7598;Listed monuments total;Echt-Susteren;1973;26
7599;Listed monuments total;Echt-Susteren;1974;28
7600;Listed monuments total;Echt-Susteren;1975;30
7601;Listed monuments total;Echt-Susteren;1976;30
7602;Listed monuments total;Echt-Susteren;1977;30
7603;Listed monuments total;Echt-Susteren;1978;31
7604;Listed monuments total;Echt-Susteren;1979;31
7605;Listed monuments total;Echt-Susteren;1980;31
7606;Listed monuments total;Echt-Susteren;1981;32
7607;Listed monuments total;Echt-Susteren;1982;32
7608;Listed monuments total;Echt-Susteren;1983;32
7609;Listed monuments total;Echt-Susteren;1984;32
7610;Listed monuments total;Echt-Susteren;1985;32
7611;Listed monuments total;Echt-Susteren;1986;33
7612;Listed monuments total;Echt-Susteren;1987;33
7613;Listed monuments total;Echt-Susteren;1988;33
7614;Listed monuments total;Echt-Susteren;1989;33
7615;Listed monuments total;Echt-Susteren;1990;33
7616;Listed monuments total;Echt-Susteren;1991;33
7617;Listed monuments total;Echt-Susteren;1992;33
7618;Listed monuments total;Echt-Susteren;1993;33
7619;Listed monuments total;Echt-Susteren;1994;33
7620;Listed monuments total;Echt-Susteren;1995;33
7621;Listed monuments total;Echt-Susteren;1996;33
7622;Listed monuments total;Echt-Susteren;1997;33
7623;Listed monuments total;Echt-Susteren;1998;33
7624;Listed monuments total;Echt-Susteren;1999;33
7625;Listed monuments total;Echt-Susteren;2000;39
7626;Listed monuments total;Echt-Susteren;2001;45
7627;Listed monuments total;Echt-Susteren;2002;61
7628;Listed monuments total;Echt-Susteren;2003;61
7629;Listed monuments total;Echt-Susteren;2004;61
7630;Listed monuments total;Echt-Susteren;2005;61
7631;Listed monuments total;Echt-Susteren;2006;61
7632;Listed monuments total;Echt-Susteren;2007;61
7633;Listed monuments total;Echt-Susteren;2008;61
7634;Listed monuments total;Echt-Susteren;2009;61
7635;Listed monuments total;Echt-Susteren;2010;61
7636;Listed monuments total;Echt-Susteren;2011;61
7637;Listed monuments total;Echt-Susteren;2012;61
7638;Listed monuments total;Echt-Susteren;2013;61
7639;Listed monuments total;Echt-Susteren;2014;61
7640;Listed monuments total;Echt-Susteren;2015;61
7641;Listed monuments total;Echt-Susteren;2016;61
7642;Listed monuments total;Echt-Susteren;2017;61
7643;Listed monuments total;Echt-Susteren;2018;61
7644;Listed monuments total;Echt-Susteren;2019;61
7645;Listed monuments total;Edam-Volendam;1965;0
7646;Listed monuments total;Edam-Volendam;1966;0
7647;Listed monuments total;Edam-Volendam;1967;168
7648;Listed monuments total;Edam-Volendam;1968;174
7649;Listed monuments total;Edam-Volendam;1969;174
7650;Listed monuments total;Edam-Volendam;1970;174
7651;Listed monuments total;Edam-Volendam;1971;182
7652;Listed monuments total;Edam-Volendam;1972;184
7653;Listed monuments total;Edam-Volendam;1973;184
7654;Listed monuments total;Edam-Volendam;1974;184
7655;Listed monuments total;Edam-Volendam;1975;185
7656;Listed monuments total;Edam-Volendam;1976;185
7657;Listed monuments total;Edam-Volendam;1977;185
7658;Listed monuments total;Edam-Volendam;1978;185
7659;Listed monuments total;Edam-Volendam;1979;185
7660;Listed monuments total;Edam-Volendam;1980;185
7661;Listed monuments total;Edam-Volendam;1981;185
7662;Listed monuments total;Edam-Volendam;1982;185
7663;Listed monuments total;Edam-Volendam;1983;185
7664;Listed monuments total;Edam-Volendam;1984;185
7665;Listed monuments total;Edam-Volendam;1985;185
7666;Listed monuments total;Edam-Volendam;1986;185
7667;Listed monuments total;Edam-Volendam;1987;185
7668;Listed monuments total;Edam-Volendam;1988;185
7669;Listed monuments total;Edam-Volendam;1989;185
7670;Listed monuments total;Edam-Volendam;1990;185
7671;Listed monuments total;Edam-Volendam;1991;185
7672;Listed monuments total;Edam-Volendam;1992;185
7673;Listed monuments total;Edam-Volendam;1993;185
7674;Listed monuments total;Edam-Volendam;1994;185
7675;Listed monuments total;Edam-Volendam;1995;185
7676;Listed monuments total;Edam-Volendam;1996;185
7677;Listed monuments total;Edam-Volendam;1997;188
7678;Listed monuments total;Edam-Volendam;1998;188
7679;Listed monuments total;Edam-Volendam;1999;200
7680;Listed monuments total;Edam-Volendam;2000;201
7681;Listed monuments total;Edam-Volendam;2001;201
7682;Listed monuments total;Edam-Volendam;2002;201
7683;Listed monuments total;Edam-Volendam;2003;201
7684;Listed monuments total;Edam-Volendam;2004;201
7685;Listed monuments total;Edam-Volendam;2005;201
7686;Listed monuments total;Edam-Volendam;2006;201
7687;Listed monuments total;Edam-Volendam;2007;201
7688;Listed monuments total;Edam-Volendam;2008;201
7689;Listed monuments total;Edam-Volendam;2009;201
7690;Listed monuments total;Edam-Volendam;2010;201
7691;Listed monuments total;Edam-Volendam;2011;201
7692;Listed monuments total;Edam-Volendam;2012;201
7693;Listed monuments total;Edam-Volendam;2013;201
7694;Listed monuments total;Edam-Volendam;2014;201
7695;Listed monuments total;Edam-Volendam;2015;201
7696;Listed monuments total;Edam-Volendam;2016;201
7697;Listed monuments total;Edam-Volendam;2017;201
7698;Listed monuments total;Edam-Volendam;2018;201
7699;Listed monuments total;Edam-Volendam;2019;201
7700;Listed monuments total;Ede;1965;1
7701;Listed monuments total;Ede;1966;1
7702;Listed monuments total;Ede;1967;20
7703;Listed monuments total;Ede;1968;20
7704;Listed monuments total;Ede;1969;20
7705;Listed monuments total;Ede;1970;41
7706;Listed monuments total;Ede;1971;41
7707;Listed monuments total;Ede;1972;41
7708;Listed monuments total;Ede;1973;41
7709;Listed monuments total;Ede;1974;41
7710;Listed monuments total;Ede;1975;45
7711;Listed monuments total;Ede;1976;45
7712;Listed monuments total;Ede;1977;45
7713;Listed monuments total;Ede;1978;45
7714;Listed monuments total;Ede;1979;46
7715;Listed monuments total;Ede;1980;46
7716;Listed monuments total;Ede;1981;46
7717;Listed monuments total;Ede;1982;46
7718;Listed monuments total;Ede;1983;56
7719;Listed monuments total;Ede;1984;56
7720;Listed monuments total;Ede;1985;57
7721;Listed monuments total;Ede;1986;57
7722;Listed monuments total;Ede;1987;57
7723;Listed monuments total;Ede;1988;57
7724;Listed monuments total;Ede;1989;57
7725;Listed monuments total;Ede;1990;57
7726;Listed monuments total;Ede;1991;57
7727;Listed monuments total;Ede;1992;57
7728;Listed monuments total;Ede;1993;57
7729;Listed monuments total;Ede;1994;57
7730;Listed monuments total;Ede;1995;57
7731;Listed monuments total;Ede;1996;57
7732;Listed monuments total;Ede;1997;57
7733;Listed monuments total;Ede;1998;60
7734;Listed monuments total;Ede;1999;60
7735;Listed monuments total;Ede;2000;60
7736;Listed monuments total;Ede;2001;60
7737;Listed monuments total;Ede;2002;90
7738;Listed monuments total;Ede;2003;117
7739;Listed monuments total;Ede;2004;125
7740;Listed monuments total;Ede;2005;141
7741;Listed monuments total;Ede;2006;172
7742;Listed monuments total;Ede;2007;183
7743;Listed monuments total;Ede;2008;183
7744;Listed monuments total;Ede;2009;183
7745;Listed monuments total;Ede;2010;186
7746;Listed monuments total;Ede;2011;189
7747;Listed monuments total;Ede;2012;216
7748;Listed monuments total;Ede;2013;217
7749;Listed monuments total;Ede;2014;220
7750;Listed monuments total;Ede;2015;220
7751;Listed monuments total;Ede;2016;220
7752;Listed monuments total;Ede;2017;222
7753;Listed monuments total;Ede;2018;223
7754;Listed monuments total;Ede;2019;223
7755;Listed monuments total;Eemnes;1965;0
7756;Listed monuments total;Eemnes;1966;0
7757;Listed monuments total;Eemnes;1967;0
7758;Listed monuments total;Eemnes;1968;0
7759;Listed monuments total;Eemnes;1969;0
7760;Listed monuments total;Eemnes;1970;38
7761;Listed monuments total;Eemnes;1971;38
7762;Listed monuments total;Eemnes;1972;38
7763;Listed monuments total;Eemnes;1973;38
7764;Listed monuments total;Eemnes;1974;38
7765;Listed monuments total;Eemnes;1975;39
7766;Listed monuments total;Eemnes;1976;41
7767;Listed monuments total;Eemnes;1977;41
7768;Listed monuments total;Eemnes;1978;41
7769;Listed monuments total;Eemnes;1979;41
7770;Listed monuments total;Eemnes;1980;41
7771;Listed monuments total;Eemnes;1981;41
7772;Listed monuments total;Eemnes;1982;41
7773;Listed monuments total;Eemnes;1983;41
7774;Listed monuments total;Eemnes;1984;41
7775;Listed monuments total;Eemnes;1985;41
7776;Listed monuments total;Eemnes;1986;41
7777;Listed monuments total;Eemnes;1987;41
7778;Listed monuments total;Eemnes;1988;41
7779;Listed monuments total;Eemnes;1989;41
7780;Listed monuments total;Eemnes;1990;41
7781;Listed monuments total;Eemnes;1991;41
7782;Listed monuments total;Eemnes;1992;41
7783;Listed monuments total;Eemnes;1993;41
7784;Listed monuments total;Eemnes;1994;41
7785;Listed monuments total;Eemnes;1995;41
7786;Listed monuments total;Eemnes;1996;41
7787;Listed monuments total;Eemnes;1997;41
7788;Listed monuments total;Eemnes;1998;41
7789;Listed monuments total;Eemnes;1999;41
7790;Listed monuments total;Eemnes;2000;43
7791;Listed monuments total;Eemnes;2001;43
7792;Listed monuments total;Eemnes;2002;43
7793;Listed monuments total;Eemnes;2003;43
7794;Listed monuments total;Eemnes;2004;43
7795;Listed monuments total;Eemnes;2005;43
7796;Listed monuments total;Eemnes;2006;43
7797;Listed monuments total;Eemnes;2007;43
7798;Listed monuments total;Eemnes;2008;43
7799;Listed monuments total;Eemnes;2009;43
7800;Listed monuments total;Eemnes;2010;43
7801;Listed monuments total;Eemnes;2011;43
7802;Listed monuments total;Eemnes;2012;43
7803;Listed monuments total;Eemnes;2013;43
7804;Listed monuments total;Eemnes;2014;43
7805;Listed monuments total;Eemnes;2015;43
7806;Listed monuments total;Eemnes;2016;43
7807;Listed monuments total;Eemnes;2017;43
7808;Listed monuments total;Eemnes;2018;43
7809;Listed monuments total;Eemnes;2019;43
7810;Listed monuments total;Eersel;1965;0
7811;Listed monuments total;Eersel;1966;0
7812;Listed monuments total;Eersel;1967;16
7813;Listed monuments total;Eersel;1968;19
7814;Listed monuments total;Eersel;1969;19
7815;Listed monuments total;Eersel;1970;20
7816;Listed monuments total;Eersel;1971;23
7817;Listed monuments total;Eersel;1972;23
7818;Listed monuments total;Eersel;1973;31
7819;Listed monuments total;Eersel;1974;31
7820;Listed monuments total;Eersel;1975;31
7821;Listed monuments total;Eersel;1976;33
7822;Listed monuments total;Eersel;1977;33
7823;Listed monuments total;Eersel;1978;33
7824;Listed monuments total;Eersel;1979;35
7825;Listed monuments total;Eersel;1980;35
7826;Listed monuments total;Eersel;1981;36
7827;Listed monuments total;Eersel;1982;36
7828;Listed monuments total;Eersel;1983;36
7829;Listed monuments total;Eersel;1984;36
7830;Listed monuments total;Eersel;1985;36
7831;Listed monuments total;Eersel;1986;36
7832;Listed monuments total;Eersel;1987;36
7833;Listed monuments total;Eersel;1988;36
7834;Listed monuments total;Eersel;1989;36
7835;Listed monuments total;Eersel;1990;36
7836;Listed monuments total;Eersel;1991;36
7837;Listed monuments total;Eersel;1992;36
7838;Listed monuments total;Eersel;1993;36
7839;Listed monuments total;Eersel;1994;37
7840;Listed monuments total;Eersel;1995;38
7841;Listed monuments total;Eersel;1996;38
7842;Listed monuments total;Eersel;1997;38
7843;Listed monuments total;Eersel;1998;38
7844;Listed monuments total;Eersel;1999;38
7845;Listed monuments total;Eersel;2000;38
7846;Listed monuments total;Eersel;2001;47
