ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
7725;Special schools;Total;501 to 1 001 pupils/students;2015/16;13;9370
7726;Special schools;Total;501 to 1 001 pupils/students;2016/17;12;8573
7727;Special schools;Total;501 to 1 001 pupils/students;2017/18;15;10300
7728;Special schools;Total;501 to 1 001 pupils/students;2018/19;16;10719
7729;Special schools;Total;501 to 1 001 pupils/students;2019/20;16;11044
7730;Special schools;Total;501 to 1 001 pupils/students;2020/21;14;9763
7731;Special schools;Total;501 to 1 001 pupils/students;2021/22;16;10440
7732;Special schools;Total;501 to 1 001 pupils/students;2022/23;16;11315
7733;Special schools;Total;501 to 1 001 pupils/students;2023/24;19;12604
7734;Special schools;Total;501 to 1 001 pupils/students;2024/25;19;13126
7735;Special schools;Total;1 001 to 2 001 pupils/students;1990/91;0;0
7736;Special schools;Total;1 001 to 2 001 pupils/students;1991/92;0;0
7737;Special schools;Total;1 001 to 2 001 pupils/students;1992/93;0;0
7738;Special schools;Total;1 001 to 2 001 pupils/students;1993/94;0;0
7739;Special schools;Total;1 001 to 2 001 pupils/students;1994/95;0;0
7740;Special schools;Total;1 001 to 2 001 pupils/students;1995/96;0;0
7741;Special schools;Total;1 001 to 2 001 pupils/students;1996/97;0;0
7742;Special schools;Total;1 001 to 2 001 pupils/students;1997/98;0;0
7743;Special schools;Total;1 001 to 2 001 pupils/students;1998/99;0;0
7744;Special schools;Total;1 001 to 2 001 pupils/students;1999/00;0;0
7745;Special schools;Total;1 001 to 2 001 pupils/students;2000/01;0;0
7746;Special schools;Total;1 001 to 2 001 pupils/students;2001/02;0;0
7747;Special schools;Total;1 001 to 2 001 pupils/students;2002/03;0;0
7748;Special schools;Total;1 001 to 2 001 pupils/students;2003/04;0;0
7749;Special schools;Total;1 001 to 2 001 pupils/students;2004/05;0;0
7750;Special schools;Total;1 001 to 2 001 pupils/students;2005/06;0;0
7751;Special schools;Total;1 001 to 2 001 pupils/students;2006/07;1;1102
7752;Special schools;Total;1 001 to 2 001 pupils/students;2007/08;1;1274
7753;Special schools;Total;1 001 to 2 001 pupils/students;2008/09;3;3523
7754;Special schools;Total;1 001 to 2 001 pupils/students;2009/10;3;3857
7755;Special schools;Total;1 001 to 2 001 pupils/students;2010/11;3;4184
7756;Special schools;Total;1 001 to 2 001 pupils/students;2011/12;4;5474
7757;Special schools;Total;1 001 to 2 001 pupils/students;2012/13;4;5634
7758;Special schools;Total;1 001 to 2 001 pupils/students;2013/14;4;5813
7759;Special schools;Total;1 001 to 2 001 pupils/students;2014/15;5;6380
7760;Special schools;Total;1 001 to 2 001 pupils/students;2015/16;6;7044
7761;Special schools;Total;1 001 to 2 001 pupils/students;2016/17;6;7042
7762;Special schools;Total;1 001 to 2 001 pupils/students;2017/18;6;6778
7763;Special schools;Total;1 001 to 2 001 pupils/students;2018/19;6;6928
7764;Special schools;Total;1 001 to 2 001 pupils/students;2019/20;6;7067
7765;Special schools;Total;1 001 to 2 001 pupils/students;2020/21;6;7085
7766;Special schools;Total;1 001 to 2 001 pupils/students;2021/22;7;8255
7767;Special schools;Total;1 001 to 2 001 pupils/students;2022/23;6;7193
7768;Special schools;Total;1 001 to 2 001 pupils/students;2023/24;7;8362
7769;Special schools;Total;1 001 to 2 001 pupils/students;2024/25;6;7445
7770;Special schools;Total;2 001 to 5 001 pupils/students;1990/91;0;0
7771;Special schools;Total;2 001 to 5 001 pupils/students;1991/92;0;0
7772;Special schools;Total;2 001 to 5 001 pupils/students;1992/93;0;0
7773;Special schools;Total;2 001 to 5 001 pupils/students;1993/94;0;0
7774;Special schools;Total;2 001 to 5 001 pupils/students;1994/95;0;0
7775;Special schools;Total;2 001 to 5 001 pupils/students;1995/96;0;0
7776;Special schools;Total;2 001 to 5 001 pupils/students;1996/97;0;0
7777;Special schools;Total;2 001 to 5 001 pupils/students;1997/98;0;0
7778;Special schools;Total;2 001 to 5 001 pupils/students;1998/99;0;0
7779;Special schools;Total;2 001 to 5 001 pupils/students;1999/00;0;0
7780;Special schools;Total;2 001 to 5 001 pupils/students;2000/01;0;0
7781;Special schools;Total;2 001 to 5 001 pupils/students;2001/02;0;0
7782;Special schools;Total;2 001 to 5 001 pupils/students;2002/03;0;0
7783;Special schools;Total;2 001 to 5 001 pupils/students;2003/04;0;0
7784;Special schools;Total;2 001 to 5 001 pupils/students;2004/05;0;0
7785;Special schools;Total;2 001 to 5 001 pupils/students;2005/06;0;0
7786;Special schools;Total;2 001 to 5 001 pupils/students;2006/07;0;0
7787;Special schools;Total;2 001 to 5 001 pupils/students;2007/08;0;0
7788;Special schools;Total;2 001 to 5 001 pupils/students;2008/09;0;0
7789;Special schools;Total;2 001 to 5 001 pupils/students;2009/10;0;0
7790;Special schools;Total;2 001 to 5 001 pupils/students;2010/11;0;0
7791;Special schools;Total;2 001 to 5 001 pupils/students;2011/12;0;0
7792;Special schools;Total;2 001 to 5 001 pupils/students;2012/13;0;0
7793;Special schools;Total;2 001 to 5 001 pupils/students;2013/14;0;0
7794;Special schools;Total;2 001 to 5 001 pupils/students;2014/15;0;0
7795;Special schools;Total;2 001 to 5 001 pupils/students;2015/16;2;6306
7796;Special schools;Total;2 001 to 5 001 pupils/students;2016/17;2;5913
7797;Special schools;Total;2 001 to 5 001 pupils/students;2017/18;2;6039
7798;Special schools;Total;2 001 to 5 001 pupils/students;2018/19;2;6133
7799;Special schools;Total;2 001 to 5 001 pupils/students;2019/20;2;5981
7800;Special schools;Total;2 001 to 5 001 pupils/students;2020/21;2;5947
7801;Special schools;Total;2 001 to 5 001 pupils/students;2021/22;2;5749
7802;Special schools;Total;2 001 to 5 001 pupils/students;2022/23;2;5664
7803;Special schools;Total;2 001 to 5 001 pupils/students;2023/24;2;5493
7804;Special schools;Total;2 001 to 5 001 pupils/students;2024/25;2;5260
7805;Special schools;Total;5 001 to 10 001 pupils/students;1990/91;0;0
7806;Special schools;Total;5 001 to 10 001 pupils/students;1991/92;0;0
7807;Special schools;Total;5 001 to 10 001 pupils/students;1992/93;0;0
7808;Special schools;Total;5 001 to 10 001 pupils/students;1993/94;0;0
7809;Special schools;Total;5 001 to 10 001 pupils/students;1994/95;0;0
7810;Special schools;Total;5 001 to 10 001 pupils/students;1995/96;0;0
7811;Special schools;Total;5 001 to 10 001 pupils/students;1996/97;0;0
7812;Special schools;Total;5 001 to 10 001 pupils/students;1997/98;0;0
7813;Special schools;Total;5 001 to 10 001 pupils/students;1998/99;0;0
7814;Special schools;Total;5 001 to 10 001 pupils/students;1999/00;0;0
7815;Special schools;Total;5 001 to 10 001 pupils/students;2000/01;0;0
7816;Special schools;Total;5 001 to 10 001 pupils/students;2001/02;0;0
7817;Special schools;Total;5 001 to 10 001 pupils/students;2002/03;0;0
7818;Special schools;Total;5 001 to 10 001 pupils/students;2003/04;0;0
7819;Special schools;Total;5 001 to 10 001 pupils/students;2004/05;0;0
7820;Special schools;Total;5 001 to 10 001 pupils/students;2005/06;0;0
7821;Special schools;Total;5 001 to 10 001 pupils/students;2006/07;0;0
7822;Special schools;Total;5 001 to 10 001 pupils/students;2007/08;0;0
7823;Special schools;Total;5 001 to 10 001 pupils/students;2008/09;0;0
7824;Special schools;Total;5 001 to 10 001 pupils/students;2009/10;0;0
7825;Special schools;Total;5 001 to 10 001 pupils/students;2010/11;0;0
7826;Special schools;Total;5 001 to 10 001 pupils/students;2011/12;0;0
7827;Special schools;Total;5 001 to 10 001 pupils/students;2012/13;0;0
7828;Special schools;Total;5 001 to 10 001 pupils/students;2013/14;0;0
7829;Special schools;Total;5 001 to 10 001 pupils/students;2014/15;0;0
7830;Special schools;Total;5 001 to 10 001 pupils/students;2015/16;0;0
7831;Special schools;Total;5 001 to 10 001 pupils/students;2016/17;0;0
7832;Special schools;Total;5 001 to 10 001 pupils/students;2017/18;0;0
7833;Special schools;Total;5 001 to 10 001 pupils/students;2018/19;0;0
7834;Special schools;Total;5 001 to 10 001 pupils/students;2019/20;0;0
7835;Special schools;Total;5 001 to 10 001 pupils/students;2020/21;0;0
7836;Special schools;Total;5 001 to 10 001 pupils/students;2021/22;0;0
7837;Special schools;Total;5 001 to 10 001 pupils/students;2022/23;0;0
7838;Special schools;Total;5 001 to 10 001 pupils/students;2023/24;0;0
7839;Special schools;Total;5 001 to 10 001 pupils/students;2024/25;0;0
7840;Special schools;Total;More than 10 000 pupils/students;1990/91;0;0
7841;Special schools;Total;More than 10 000 pupils/students;1991/92;0;0
7842;Special schools;Total;More than 10 000 pupils/students;1992/93;0;0
7843;Special schools;Total;More than 10 000 pupils/students;1993/94;0;0
7844;Special schools;Total;More than 10 000 pupils/students;1994/95;0;0
7845;Special schools;Total;More than 10 000 pupils/students;1995/96;0;0
7846;Special schools;Total;More than 10 000 pupils/students;1996/97;0;0
7847;Special schools;Total;More than 10 000 pupils/students;1997/98;0;0
7848;Special schools;Total;More than 10 000 pupils/students;1998/99;0;0
7849;Special schools;Total;More than 10 000 pupils/students;1999/00;0;0
7850;Special schools;Total;More than 10 000 pupils/students;2000/01;0;0
7851;Special schools;Total;More than 10 000 pupils/students;2001/02;0;0
7852;Special schools;Total;More than 10 000 pupils/students;2002/03;0;0
7853;Special schools;Total;More than 10 000 pupils/students;2003/04;0;0
7854;Special schools;Total;More than 10 000 pupils/students;2004/05;0;0
7855;Special schools;Total;More than 10 000 pupils/students;2005/06;0;0
7856;Special schools;Total;More than 10 000 pupils/students;2006/07;0;0
7857;Special schools;Total;More than 10 000 pupils/students;2007/08;0;0
7858;Special schools;Total;More than 10 000 pupils/students;2008/09;0;0
7859;Special schools;Total;More than 10 000 pupils/students;2009/10;0;0
7860;Special schools;Total;More than 10 000 pupils/students;2010/11;0;0
7861;Special schools;Total;More than 10 000 pupils/students;2011/12;0;0
7862;Special schools;Total;More than 10 000 pupils/students;2012/13;0;0
7863;Special schools;Total;More than 10 000 pupils/students;2013/14;0;0
7864;Special schools;Total;More than 10 000 pupils/students;2014/15;0;0
7865;Special schools;Total;More than 10 000 pupils/students;2015/16;0;0
7866;Special schools;Total;More than 10 000 pupils/students;2016/17;0;0
7867;Special schools;Total;More than 10 000 pupils/students;2017/18;0;0
7868;Special schools;Total;More than 10 000 pupils/students;2018/19;0;0
7869;Special schools;Total;More than 10 000 pupils/students;2019/20;0;0
7870;Special schools;Total;More than 10 000 pupils/students;2020/21;0;0
7871;Special schools;Total;More than 10 000 pupils/students;2021/22;0;0
7872;Special schools;Total;More than 10 000 pupils/students;2022/23;0;0
7873;Special schools;Total;More than 10 000 pupils/students;2023/24;0;0
7874;Special schools;Total;More than 10 000 pupils/students;2024/25;0;0
7875;Special schools;Public schools;Total;1990/91;83;6713
7876;Special schools;Public schools;Total;1991/92;83;6682
7877;Special schools;Public schools;Total;1992/93;80;6590
7878;Special schools;Public schools;Total;1993/94;80;6852
7879;Special schools;Public schools;Total;1994/95;80;7122
7880;Special schools;Public schools;Total;1995/96;80;7507
7881;Special schools;Public schools;Total;1996/97;80;7819
7882;Special schools;Public schools;Total;1997/98;80;8351
7883;Special schools;Public schools;Total;1998/99;78;8563
7884;Special schools;Public schools;Total;1999/00;78;8956
7885;Special schools;Public schools;Total;2000/01;79;9612
7886;Special schools;Public schools;Total;2001/02;78;9911
7887;Special schools;Public schools;Total;2002/03;77;10688
7888;Special schools;Public schools;Total;2003/04;74;11069
7889;Special schools;Public schools;Total;2004/05;73;11168
7890;Special schools;Public schools;Total;2005/06;74;11756
7891;Special schools;Public schools;Total;2006/07;74;11954
7892;Special schools;Public schools;Total;2007/08;74;12235
7893;Special schools;Public schools;Total;2008/09;74;12363
7894;Special schools;Public schools;Total;2009/10;73;12239
7895;Special schools;Public schools;Total;2010/11;73;12091
7896;Special schools;Public schools;Total;2011/12;75;12696
7897;Special schools;Public schools;Total;2012/13;75;12579
7898;Special schools;Public schools;Total;2013/14;72;12181
7899;Special schools;Public schools;Total;2014/15;71;12034
7900;Special schools;Public schools;Total;2015/16;66;11915
7901;Special schools;Public schools;Total;2016/17;63;11874
7902;Special schools;Public schools;Total;2017/18;61;11735
7903;Special schools;Public schools;Total;2018/19;60;11978
7904;Special schools;Public schools;Total;2019/20;60;12359
7905;Special schools;Public schools;Total;2020/21;60;12700
7906;Special schools;Public schools;Total;2021/22;60;13131
7907;Special schools;Public schools;Total;2022/23;60;14129
7908;Special schools;Public schools;Total;2023/24;60;14317
7909;Special schools;Public schools;Total;2024/25;60;14670
7910;Special schools;Public schools;Less than 101 pupils/students;1990/91;64;3835
7911;Special schools;Public schools;Less than 101 pupils/students;1991/92;63;3768
7912;Special schools;Public schools;Less than 101 pupils/students;1992/93;61;3746
7913;Special schools;Public schools;Less than 101 pupils/students;1993/94;55;3300
