ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
1771;Total male and female ;Total;Burundian;2020 April;0;0;0;0
1772;Total male and female ;Total;Burundian;2020 May;0;0;0;0
1773;Total male and female ;Total;Burundian;2020 June;0;0;0;0
1774;Total male and female ;Total;Burundian;2020 2nd Quarter;0;0;0;0
1775;Total male and female ;Total;Burundian;2020 July;0;0;0;0
1776;Total male and female ;Total;Burundian;2020 August;5;0;0;0
1777;Total male and female ;Total;Burundian;2020 September;5;0;5;0
1778;Total male and female ;Total;Burundian;2020 3rd Quarter;10;0;5;0
1779;Total male and female ;Total;Burundian;2020 October;0;0;0;0
1780;Total male and female ;Total;Burundian;2020 November;0;0;0;0
1781;Total male and female ;Total;Burundian;2020 December;0;0;0;0
1782;Total male and female ;Total;Burundian;2020 4th Quarter;0;0;0;0
1783;Total male and female ;Total;Burundian;2020;10;5;10;0
1784;Total male and female ;Total;Burundian;2021 January;0;0;0;0
1785;Total male and female ;Total;Burundian;2021 February;0;0;0;0
1786;Total male and female ;Total;Burundian;2021 March;0;0;0;0
1787;Total male and female ;Total;Burundian;2021 1st Quarter;0;0;0;0
1788;Total male and female ;Total;Burundian;2021 April;0;0;0;0
1789;Total male and female ;Total;Burundian;2021 May;0;0;0;0
1790;Total male and female ;Total;Burundian;2021 June;0;0;0;0
1791;Total male and female ;Total;Burundian;2021 2nd Quarter;0;0;0;0
1792;Total male and female ;Total;Burundian;2021 July;0;0;0;0
1793;Total male and female ;Total;Burundian;2021 August;0;0;0;0
1794;Total male and female ;Total;Burundian;2021 September;0;0;0;0
1795;Total male and female ;Total;Burundian;2021 3rd Quarter;0;0;0;0
1796;Total male and female ;Total;Burundian;2021 October;0;0;0;0
1797;Total male and female ;Total;Burundian;2021 November;0;0;0;0
1798;Total male and female ;Total;Burundian;2021 December;0;0;0;0
1799;Total male and female ;Total;Burundian;2021 4th Quarter;0;0;0;0
1800;Total male and female ;Total;Burundian;2021;5;0;5;0
1801;Total male and female ;Total;Burundian;2022 January;0;0;0;0
1802;Total male and female ;Total;Burundian;2022 February;0;0;0;0
1803;Total male and female ;Total;Burundian;2022 March;0;0;0;0
1804;Total male and female ;Total;Burundian;2022 1st Quarter;0;0;0;0
1805;Total male and female ;Total;Burundian;2022 April;0;0;0;0
1806;Total male and female ;Total;Burundian;2022 May;0;0;0;0
1807;Total male and female ;Total;Burundian;2022 June;0;0;0;0
1808;Total male and female ;Total;Burundian;2022 2nd Quarter;0;0;0;0
1809;Total male and female ;Total;Burundian;2022 July;5;0;0;0
1810;Total male and female ;Total;Burundian;2022 August;0;0;0;0
1811;Total male and female ;Total;Burundian;2022 September;5;5;0;0
1812;Total male and female ;Total;Burundian;2022 3th Quarter;10;5;5;0
1813;Total male and female ;Total;Burundian;2022 October;5;5;0;5
1814;Total male and female ;Total;Burundian;2022 November ;5;5;0;0
1815;Total male and female ;Total;Burundian;2022 December;5;5;0;0
1816;Total male and female ;Total;Burundian;2022 4th Quarter;10;10;0;5
1817;Total male and female ;Total;Burundian;2022;20;15;5;5
1818;Total male and female ;Total;Burundian;2023 January;0;0;0;0
1819;Total male and female ;Total;Burundian;2023 February;0;0;0;0
1820;Total male and female ;Total;Burundian;2023 March;0;0;0;0
1821;Total male and female ;Total;Burundian;2023 1st Quarter;5;5;0;0
1822;Total male and female ;Total;Burundian;2023 April;0;0;0;0
1823;Total male and female ;Total;Burundian;2023 May;0;0;0;0
1824;Total male and female ;Total;Burundian;2023 June;0;0;0;0
1825;Total male and female ;Total;Burundian;2023 2nd Quarter;0;0;0;0
1826;Total male and female ;Total;Burundian;2023 July;0;0;0;0
1827;Total male and female ;Total;Burundian;2023 August;0;0;0;0
1828;Total male and female ;Total;Burundian;2023 September;0;0;0;0
1829;Total male and female ;Total;Burundian;2023 3rd Quarter;0;0;0;0
1830;Total male and female ;Total;Burundian;2023 October;0;0;0;0
1831;Total male and female ;Total;Burundian;2023 November;0;0;0;0
1832;Total male and female ;Total;Burundian;2023 December;0;0;0;0
1833;Total male and female ;Total;Burundian;2023 4th Quarter;0;0;0;0
1834;Total male and female ;Total;Burundian;2023;10;5;0;0
1835;Total male and female ;Total;Burundian;2024 January;0;0;0;0
1836;Total male and female ;Total;Burundian;2024 February;0;0;0;0
1837;Total male and female ;Total;Burundian;2024 March;0;0;0;0
1838;Total male and female ;Total;Burundian;2024 1st Quarter;0;0;0;0
1839;Total male and female ;Total;Burundian;2024 April;0;0;0;0
1840;Total male and female ;Total;Burundian;2024 May;5;5;0;0
1841;Total male and female ;Total;Burundian;2024 June;0;0;0;0
1842;Total male and female ;Total;Burundian;2024 2nd Quarter;5;5;0;0
1843;Total male and female ;Total;Burundian;2024 July;0;0;0;0
1844;Total male and female ;Total;Burundian;2024 August;0;0;0;0
1845;Total male and female ;Total;Burundian;2024 September;5;5;0;0
1846;Total male and female ;Total;Burundian;2024 3rd Quarter;5;5;0;0
1847;Total male and female ;Total;Burundian;2024 October;0;0;0;0
1848;Total male and female ;Total;Burundian;2024 November;0;0;0;0
1849;Total male and female ;Total;Burundian;2024 December;0;0;0;0
1850;Total male and female ;Total;Burundian;2024 4th Quarter;0;0;0;0
1851;Total male and female ;Total;Burundian;2024;10;5;5;0
1852;Total male and female ;Total;Burundian;2025 January;0;0;0;0
1853;Total male and female ;Total;Burundian;2025 February;0;0;0;0
1854;Total male and female ;Total;Chinese;2013 January;10;5;10;5
1855;Total male and female ;Total;Chinese;2013 February;15;5;10;5
1856;Total male and female ;Total;Chinese;2013 March;20;10;10;0
1857;Total male and female ;Total;Chinese;2013 1st Quarter;45;20;25;10
1858;Total male and female ;Total;Chinese;2013 April;20;15;5;10
1859;Total male and female ;Total;Chinese;2013 May;10;5;0;0
1860;Total male and female ;Total;Chinese;2013 June;10;5;5;0
1861;Total male and female ;Total;Chinese;2013 2nd Quarter;40;30;10;10
1862;Total male and female ;Total;Chinese;2013 July;5;0;0;5
1863;Total male and female ;Total;Chinese;2013 August;15;15;0;0
1864;Total male and female ;Total;Chinese;2013 September;15;15;0;5
1865;Total male and female ;Total;Chinese;2013 3rd Quarter;30;30;5;10
1866;Total male and female ;Total;Chinese;2013 October;15;10;5;0
1867;Total male and female ;Total;Chinese;2013 November;5;5;0;0
1868;Total male and female ;Total;Chinese;2013 December;15;10;0;0
1869;Total male and female ;Total;Chinese;2013 4th Quarter;35;25;5;0
1870;Total male and female ;Total;Chinese;2013;150;105;45;30
1871;Total male and female ;Total;Chinese;2014 January;10;10;0;5
1872;Total male and female ;Total;Chinese;2014 February;10;10;0;10
1873;Total male and female ;Total;Chinese;2014 March;10;5;0;0
1874;Total male and female ;Total;Chinese;2014 1st Quarter;30;30;0;15
1875;Total male and female ;Total;Chinese;2014 April;10;5;0;0
1876;Total male and female ;Total;Chinese;2014 May;5;5;0;5
1877;Total male and female ;Total;Chinese;2014 June;10;5;0;5
1878;Total male and female ;Total;Chinese;2014 2nd Quarter;25;20;5;10
1879;Total male and female ;Total;Chinese;2014 July;15;15;0;0
1880;Total male and female ;Total;Chinese;2014 August;10;10;0;5
1881;Total male and female ;Total;Chinese;2014 September;10;10;0;0
1882;Total male and female ;Total;Chinese;2014 3rd Quarter;30;30;0;5
1883;Total male and female ;Total;Chinese;2014 October;15;15;0;0
1884;Total male and female ;Total;Chinese;2014 November;10;10;0;0
1885;Total male and female ;Total;Chinese;2014 December;5;5;0;0
1886;Total male and female ;Total;Chinese;2014 4th Quarter;25;25;0;5
1887;Total male and female ;Total;Chinese;2014;110;105;5;35
1888;Total male and female ;Total;Chinese;2015 January;15;15;0;5
1889;Total male and female ;Total;Chinese;2015 February;60;60;0;0
1890;Total male and female ;Total;Chinese;2015 March;30;30;0;0
1891;Total male and female ;Total;Chinese;2015 1st Quarter;110;105;0;10
1892;Total male and female ;Total;Chinese;2015 April;15;15;0;0
1893;Total male and female ;Total;Chinese;2015 May;10;10;0;0
1894;Total male and female ;Total;Chinese;2015 June;25;25;0;5
1895;Total male and female ;Total;Chinese;2015 2nd Quarter;50;50;0;5
1896;Total male and female ;Total;Chinese;2015 July;0;0;0;5
1897;Total male and female ;Total;Chinese;2015 August;5;5;0;0
1898;Total male and female ;Total;Chinese;2015 September;10;10;0;0
1899;Total male and female ;Total;Chinese;2015 3rd Quarter;15;15;0;5
1900;Total male and female ;Total;Chinese;2015 October;10;10;0;5
1901;Total male and female ;Total;Chinese;2015 November;15;15;0;0
1902;Total male and female ;Total;Chinese;2015 December;10;10;0;5
1903;Total male and female ;Total;Chinese;2015 4th Quarter;40;35;5;10
1904;Total male and female ;Total;Chinese;2015;210;205;5;30
1905;Total male and female ;Total;Chinese;2016 January;10;10;5;5
1906;Total male and female ;Total;Chinese;2016 February;5;5;0;10
1907;Total male and female ;Total;Chinese;2016 March;15;15;0;5
1908;Total male and female ;Total;Chinese;2016 1st Quarter;35;30;5;15
1909;Total male and female ;Total;Chinese;2016 April;10;10;0;0
1910;Total male and female ;Total;Chinese;2016 May;10;10;0;0
1911;Total male and female ;Total;Chinese;2016 June;5;5;0;0
1912;Total male and female ;Total;Chinese;2016 2nd Quarter;30;30;0;5
1913;Total male and female ;Total;Chinese;2016 July;5;5;0;0
1914;Total male and female ;Total;Chinese;2016 August;0;0;0;0
1915;Total male and female ;Total;Chinese;2016 September;5;5;0;5
1916;Total male and female ;Total;Chinese;2016 3rd Quarter;10;10;0;5
1917;Total male and female ;Total;Chinese;2016 October;10;10;0;5
1918;Total male and female ;Total;Chinese;2016 November;10;10;0;0
1919;Total male and female ;Total;Chinese;2016 December;5;5;0;0
1920;Total male and female ;Total;Chinese;2016 4th Quarter;30;25;0;5
1921;Total male and female ;Total;Chinese;2016;105;95;5;30
1922;Total male and female ;Total;Chinese;2017 January;5;5;0;0
1923;Total male and female ;Total;Chinese;2017 February;10;5;5;5
1924;Total male and female ;Total;Chinese;2017 March;5;5;0;0
1925;Total male and female ;Total;Chinese;2017 1st Quarter;20;15;5;5
1926;Total male and female ;Total;Chinese;2017 April;20;15;5;0
1927;Total male and female ;Total;Chinese;2017 May;30;30;0;0
1928;Total male and female ;Total;Chinese;2017 June;15;15;0;0
1929;Total male and female ;Total;Chinese;2017 2nd Quarter;65;60;5;0
1930;Total male and female ;Total;Chinese;2017 July;10;10;0;0
1931;Total male and female ;Total;Chinese;2017 August;25;25;0;0
1932;Total male and female ;Total;Chinese;2017 September;10;10;0;0
1933;Total male and female ;Total;Chinese;2017 3rd Quarter;50;45;0;5
1934;Total male and female ;Total;Chinese;2017 October;15;15;0;0
1935;Total male and female ;Total;Chinese;2017 November;5;5;0;0
1936;Total male and female ;Total;Chinese;2017 December;10;5;0;0
1937;Total male and female ;Total;Chinese;2017 4th Quarter;30;25;0;5
1938;Total male and female ;Total;Chinese;2017;160;150;10;15
1939;Total male and female ;Total;Chinese;2018 January;10;5;0;5
1940;Total male and female ;Total;Chinese;2018 February;0;0;0;0
1941;Total male and female ;Total;Chinese;2018 March;10;10;0;0
1942;Total male and female ;Total;Chinese;2018 1st Quarter;20;15;5;5
1943;Total male and female ;Total;Chinese;2018 April;10;10;0;0
1944;Total male and female ;Total;Chinese;2018 May;30;25;5;5
1945;Total male and female ;Total;Chinese;2018 June;10;5;5;0
1946;Total male and female ;Total;Chinese;2018 2nd Quarter;50;40;10;5
1947;Total male and female ;Total;Chinese;2018 July;10;10;0;5
1948;Total male and female ;Total;Chinese;2018 August;10;10;0;0
1949;Total male and female ;Total;Chinese;2018 September;25;25;0;0
1950;Total male and female ;Total;Chinese;2018 3rd Quarter;50;45;0;5
1951;Total male and female ;Total;Chinese;2018 October;25;25;0;0
1952;Total male and female ;Total;Chinese;2018 November;15;15;0;0
1953;Total male and female ;Total;Chinese;2018 December;20;20;5;0
1954;Total male and female ;Total;Chinese;2018 4th Quarter;60;60;5;0
1955;Total male and female ;Total;Chinese;2018;185;165;20;15
1956;Total male and female ;Total;Chinese;2019 January;10;10;0;5
1957;Total male and female ;Total;Chinese;2019 February;20;20;0;0
1958;Total male and female ;Total;Chinese;2019 March;20;15;0;0
1959;Total male and female ;Total;Chinese;2019 1st Quarter;50;45;0;5
1960;Total male and female ;Total;Chinese;2019 April;15;15;0;0
1961;Total male and female ;Total;Chinese;2019 May;15;15;0;0
1962;Total male and female ;Total;Chinese;2019 June;10;10;0;0
1963;Total male and female ;Total;Chinese;2019 2nd Quarter;45;40;0;0
1964;Total male and female ;Total;Chinese;2019 July;10;5;0;0
1965;Total male and female ;Total;Chinese;2019 August;10;10;0;0
1966;Total male and female ;Total;Chinese;2019 September;10;5;5;5
1967;Total male and female ;Total;Chinese;2019 3rd Quarter;30;20;5;5
1968;Total male and female ;Total;Chinese;2019 October;25;20;0;5
1969;Total male and female ;Total;Chinese;2019 November;15;15;0;0
1970;Total male and female ;Total;Chinese;2019 December;10;10;0;0
1971;Total male and female ;Total;Chinese;2019 4th Quarter;50;45;5;5
1972;Total male and female ;Total;Chinese;2019;170;155;15;20
1973;Total male and female ;Total;Chinese;2020 January;15;15;0;5
1974;Total male and female ;Total;Chinese;2020 February;10;10;0;0
1975;Total male and female ;Total;Chinese;2020 March;5;5;0;0
1976;Total male and female ;Total;Chinese;2020 1st Quarter;30;25;5;10
1977;Total male and female ;Total;Chinese;2020 April;0;0;0;0
1978;Total male and female ;Total;Chinese;2020 May;5;5;0;0
1979;Total male and female ;Total;Chinese;2020 June;5;5;0;0
1980;Total male and female ;Total;Chinese;2020 2nd Quarter;10;5;0;0
1981;Total male and female ;Total;Chinese;2020 July;0;0;0;0
1982;Total male and female ;Total;Chinese;2020 August;5;5;0;0
1983;Total male and female ;Total;Chinese;2020 September;0;0;0;0
1984;Total male and female ;Total;Chinese;2020 3rd Quarter;10;5;0;5
1985;Total male and female ;Total;Chinese;2020 October;10;5;0;0
1986;Total male and female ;Total;Chinese;2020 November;5;5;0;0
1987;Total male and female ;Total;Chinese;2020 December;5;5;0;0
1988;Total male and female ;Total;Chinese;2020 4th Quarter;20;15;5;0
1989;Total male and female ;Total;Chinese;2020;65;55;10;15
1990;Total male and female ;Total;Chinese;2021 January;5;0;0;0
1991;Total male and female ;Total;Chinese;2021 February;5;5;0;0
1992;Total male and female ;Total;Chinese;2021 March;5;5;0;0
1993;Total male and female ;Total;Chinese;2021 1st Quarter;15;10;5;0
1994;Total male and female ;Total;Chinese;2021 April;5;0;5;5
1995;Total male and female ;Total;Chinese;2021 May;5;5;0;5
1996;Total male and female ;Total;Chinese;2021 June;5;5;0;0
1997;Total male and female ;Total;Chinese;2021 2nd Quarter;10;5;5;10
1998;Total male and female ;Total;Chinese;2021 July;25;25;0;10
1999;Total male and female ;Total;Chinese;2021 August;45;45;0;10
2000;Total male and female ;Total;Chinese;2021 September;15;15;0;0
2001;Total male and female ;Total;Chinese;2021 3rd Quarter;85;85;0;20
2002;Total male and female ;Total;Chinese;2021 October;15;15;0;0
2003;Total male and female ;Total;Chinese;2021 November;20;20;0;0
2004;Total male and female ;Total;Chinese;2021 December;15;15;0;5
2005;Total male and female ;Total;Chinese;2021 4th Quarter;50;50;0;10
2006;Total male and female ;Total;Chinese;2021;160;155;10;45
2007;Total male and female ;Total;Chinese;2022 January;10;10;0;0
2008;Total male and female ;Total;Chinese;2022 February;0;0;0;0
2009;Total male and female ;Total;Chinese;2022 March;5;5;0;0
2010;Total male and female ;Total;Chinese;2022 1st Quarter;20;20;0;5
2011;Total male and female ;Total;Chinese;2022 April;10;10;0;0
2012;Total male and female ;Total;Chinese;2022 May;15;15;0;0
2013;Total male and female ;Total;Chinese;2022 June;15;15;5;5
2014;Total male and female ;Total;Chinese;2022 2nd Quarter;45;35;5;5
2015;Total male and female ;Total;Chinese;2022 July;15;15;0;10
2016;Total male and female ;Total;Chinese;2022 August;20;15;5;5
2017;Total male and female ;Total;Chinese;2022 September;20;20;0;15
2018;Total male and female ;Total;Chinese;2022 3th Quarter;55;50;5;25
2019;Total male and female ;Total;Chinese;2022 October;20;15;5;0
2020;Total male and female ;Total;Chinese;2022 November ;15;15;0;0
2021;Total male and female ;Total;Chinese;2022 December;20;20;0;5
2022;Total male and female ;Total;Chinese;2022 4th Quarter;50;50;5;10
2023;Total male and female ;Total;Chinese;2022;165;150;15;45
2024;Total male and female ;Total;Chinese;2023 January;25;25;0;10
2025;Total male and female ;Total;Chinese;2023 February;20;20;0;0
2026;Total male and female ;Total;Chinese;2023 March;15;15;0;5
2027;Total male and female ;Total;Chinese;2023 1st Quarter;60;60;0;15
2028;Total male and female ;Total;Chinese;2023 April;25;20;0;5
2029;Total male and female ;Total;Chinese;2023 May;15;15;0;5
2030;Total male and female ;Total;Chinese;2023 June;20;20;0;5
2031;Total male and female ;Total;Chinese;2023 2nd Quarter;60;55;0;10
2032;Total male and female ;Total;Chinese;2023 July;20;15;5;10
2033;Total male and female ;Total;Chinese;2023 August;25;25;0;5
2034;Total male and female ;Total;Chinese;2023 September;45;45;5;5
2035;Total male and female ;Total;Chinese;2023 3rd Quarter;90;85;5;15
2036;Total male and female ;Total;Chinese;2023 October;140;140;0;0
2037;Total male and female ;Total;Chinese;2023 November;30;30;0;15
2038;Total male and female ;Total;Chinese;2023 December;40;40;0;15
2039;Total male and female ;Total;Chinese;2023 4th Quarter;205;205;0;30
2040;Total male and female ;Total;Chinese;2023;420;410;10;75
2041;Total male and female ;Total;Chinese;2024 January;20;20;0;5
2042;Total male and female ;Total;Chinese;2024 February;20;20;0;5
2043;Total male and female ;Total;Chinese;2024 March;10;10;0;0
2044;Total male and female ;Total;Chinese;2024 1st Quarter;50;50;0;10
