ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
1792;To 9 999 kg;1999;2008;20.5;20.0;0.4;22.3;20.0;2.2;20633.0;18569.0;2063.0;1079.0
1793;To 9 999 kg;1999;2009;16.0;15.7;0.3;17.2;15.7;1.6;17620.0;16034.0;1586.0;978.0
1794;To 9 999 kg;1999;2010;13.0;12.8;0.2;13.8;12.8;1.0;15402.0;14335.0;1067.0;893.0
1795;To 9 999 kg;1999;2011;10.4;10.3;0.2;11.1;10.3;0.8;13946.0;12902.0;1044.0;796.0
1796;To 9 999 kg;1999;2012;8.1;7.9;0.2;8.7;7.9;0.8;11882.0;10846.0;1036.0;728.0
1797;To 9 999 kg;1999;2013;6.2;6.1;0.1;6.7;6.1;0.6;10448.0;9550.0;899.0;641.0
1798;To 9 999 kg;1999;2014;5.1;5.0;0.1;5.3;5.0;0.3;9143.0;8631.0;512.0;585.0
1799;To 9 999 kg;1999;2015;4.0;3.9;0.1;4.1;3.9;0.2;8037.0;7595.0;442.0;514.0
1800;To 9 999 kg;1999;2016;3.4;3.2;0.1;3.7;3.2;0.5;7813.0;6758.0;1055.0;480.0
1801;To 9 999 kg;1999;2017;3.1;3.0;0.1;3.3;3.0;0.3;7511.0;6925.0;586.0;438.0
1802;To 9 999 kg;2000;2001;57.4;56.7;0.7;61.6;56.7;4.9;44604.0;41036.0;3568.0;1381.0
1803;To 9 999 kg;2000;2002;55.3;54.5;0.7;59.3;54.5;4.7;40928.0;37654.0;3274.0;1449.0
1804;To 9 999 kg;2000;2003;52.7;52.1;0.6;56.0;52.1;3.9;37176.0;34574.0;2602.0;1508.0
1805;To 9 999 kg;2000;2004;49.2;48.7;0.6;52.3;48.7;3.7;34689.0;32261.0;2428.0;1509.0
1806;To 9 999 kg;2000;2005;43.6;43.1;0.5;46.3;43.1;3.2;32027.0;29785.0;2242.0;1446.0
1807;To 9 999 kg;2000;2006;36.8;36.3;0.4;38.7;36.3;2.3;28408.0;26703.0;1704.0;1361.0
1808;To 9 999 kg;2000;2007;28.1;27.5;0.6;30.6;27.5;3.1;25569.0;23012.0;2557.0;1197.0
1809;To 9 999 kg;2000;2008;22.5;22.1;0.4;24.3;22.1;2.2;22262.0;20259.0;2004.0;1091.0
1810;To 9 999 kg;2000;2009;18.1;17.7;0.4;19.6;17.7;1.9;19485.0;17634.0;1851.0;1005.0
1811;To 9 999 kg;2000;2010;14.2;14.0;0.2;15.0;14.0;1.0;16286.0;15158.0;1128.0;923.0
1812;To 9 999 kg;2000;2011;11.9;11.7;0.2;12.7;11.7;0.9;15091.0;13961.0;1130.0;840.0
1813;To 9 999 kg;2000;2012;9.5;9.3;0.2;10.1;9.3;0.9;13719.0;12523.0;1196.0;740.0
1814;To 9 999 kg;2000;2013;7.6;7.5;0.1;8.2;7.5;0.7;12416.0;11348.0;1068.0;657.0
1815;To 9 999 kg;2000;2014;6.6;6.5;0.1;6.9;6.5;0.4;11816.0;11154.0;662.0;583.0
1816;To 9 999 kg;2000;2015;5.5;5.5;0.1;5.8;5.5;0.3;10922.0;10321.0;601.0;530.0
1817;To 9 999 kg;2000;2016;4.3;4.1;0.2;4.8;4.1;0.6;9951.0;8608.0;1343.0;482.0
1818;To 9 999 kg;2000;2017;3.2;3.1;0.1;3.4;3.1;0.3;7771.0;7165.0;606.0;440.0
1819;To 9 999 kg;2001;2001;26.3;25.9;0.3;28.2;25.9;2.3;20940.0;19265.0;1675.0;1346.0
1820;To 9 999 kg;2001;2002;57.5;56.7;0.7;61.6;56.7;4.9;44408.0;40855.0;3553.0;1388.0
1821;To 9 999 kg;2001;2003;56.8;56.1;0.7;61.0;56.1;4.9;41998.0;38638.0;3360.0;1452.0
1822;To 9 999 kg;2001;2004;54.4;53.8;0.6;57.9;53.8;4.0;38854.0;36134.0;2720.0;1489.0
1823;To 9 999 kg;2001;2005;50.3;49.7;0.6;53.4;49.7;3.7;36661.0;34094.0;2566.0;1458.0
1824;To 9 999 kg;2001;2006;44.7;44.1;0.6;47.5;44.1;3.3;33919.0;31545.0;2374.0;1399.0
1825;To 9 999 kg;2001;2007;37.1;36.3;0.8;40.4;36.3;4.0;31071.0;27964.0;3107.0;1300.0
1826;To 9 999 kg;2001;2008;29.4;28.8;0.6;31.7;28.8;2.9;26545.0;24156.0;2389.0;1194.0
1827;To 9 999 kg;2001;2009;22.7;22.3;0.4;24.2;22.3;1.9;22394.0;20603.0;1792.0;1081.0
1828;To 9 999 kg;2001;2010;16.7;16.5;0.3;17.7;16.5;1.3;18598.0;17254.0;1344.0;954.0
1829;To 9 999 kg;2001;2011;14.5;14.3;0.2;15.4;14.3;1.2;17895.0;16555.0;1340.0;861.0
1830;To 9 999 kg;2001;2012;11.5;11.3;0.2;12.3;11.3;1.1;15854.0;14472.0;1382.0;778.0
1831;To 9 999 kg;2001;2013;10.4;10.2;0.2;11.1;10.2;1.0;15698.0;14348.0;1350.0;709.0
1832;To 9 999 kg;2001;2014;9.4;9.3;0.1;9.9;9.3;0.6;14962.0;14124.0;838.0;660.0
1833;To 9 999 kg;2001;2015;8.1;8.0;0.1;8.4;8.0;0.5;14072.0;13298.0;774.0;600.0
1834;To 9 999 kg;2001;2016;5.8;5.5;0.3;6.4;5.5;0.9;11888.0;10284.0;1605.0;537.0
1835;To 9 999 kg;2001;2017;4.6;4.5;0.1;4.8;4.5;0.4;10070.0;9285.0;785.0;479.0
1836;To 9 999 kg;2002;2001;;;;;;;;;;
1837;To 9 999 kg;2002;2002;26.1;25.8;0.3;28.0;25.8;2.2;25001.0;23001.0;2000.0;1120.0
1838;To 9 999 kg;2002;2003;45.4;44.8;0.6;48.7;44.8;3.9;42162.0;38789.0;3373.0;1156.0
1839;To 9 999 kg;2002;2004;45.2;44.6;0.6;48.5;44.6;3.9;40831.0;37565.0;3266.0;1188.0
1840;To 9 999 kg;2002;2005;44.4;43.8;0.5;47.1;43.8;3.3;38452.0;35761.0;2692.0;1226.0
1841;To 9 999 kg;2002;2006;40.6;40.0;0.5;43.0;40.0;3.0;35337.0;32864.0;2474.0;1218.0
1842;To 9 999 kg;2002;2007;33.6;32.9;0.7;36.5;32.9;3.7;32085.0;28877.0;3209.0;1138.0
1843;To 9 999 kg;2002;2008;27.2;26.7;0.5;29.3;26.7;2.6;28337.0;25786.0;2550.0;1034.0
1844;To 9 999 kg;2002;2009;21.7;21.3;0.4;23.3;21.3;2.0;24707.0;22607.0;2100.0;944.0
1845;To 9 999 kg;2002;2010;16.6;16.1;0.5;18.6;16.1;2.5;21246.0;18376.0;2870.0;875.0
1846;To 9 999 kg;2002;2011;14.5;14.3;0.1;15.0;14.3;0.7;19011.0;18126.0;886.0;791.0
1847;To 9 999 kg;2002;2012;11.5;11.3;0.2;12.4;11.3;1.1;17652.0;16113.0;1539.0;700.0
1848;To 9 999 kg;2002;2013;9.3;9.1;0.2;10.0;9.1;0.9;16163.0;14773.0;1390.0;616.0
1849;To 9 999 kg;2002;2014;8.0;7.9;0.1;8.4;7.9;0.5;15028.0;14187.0;842.0;558.0
1850;To 9 999 kg;2002;2015;6.5;6.4;0.1;6.8;6.4;0.4;13362.0;12627.0;735.0;507.0
1851;To 9 999 kg;2002;2016;4.8;4.6;0.2;5.3;4.6;0.7;11793.0;10201.0;1592.0;453.0
1852;To 9 999 kg;2002;2017;3.9;3.8;0.1;4.1;3.8;0.3;10080.0;9294.0;786.0;410.0
1853;To 9 999 kg;2003;2001;;;;;;;;;;
1854;To 9 999 kg;2003;2002;;;;;;;;;;
1855;To 9 999 kg;2003;2003;23.3;23.0;0.3;25.0;23.0;2.0;24376.0;22426.0;1950.0;1028.0
1856;To 9 999 kg;2003;2004;41.1;40.6;0.5;44.1;40.6;3.5;42412.0;39019.0;3393.0;1040.0
1857;To 9 999 kg;2003;2005;40.2;39.6;0.6;43.0;39.6;3.4;39739.0;36560.0;3179.0;1083.0
1858;To 9 999 kg;2003;2006;39.1;38.6;0.5;41.5;38.6;2.9;37296.0;34686.0;2611.0;1112.0
1859;To 9 999 kg;2003;2007;32.8;32.1;0.7;35.6;32.1;3.6;34571.0;31114.0;3457.0;1031.0
1860;To 9 999 kg;2003;2008;27.7;27.2;0.5;29.6;27.2;2.4;30274.0;27852.0;2422.0;978.0
1861;To 9 999 kg;2003;2009;22.5;22.1;0.4;24.2;22.1;2.1;26518.0;24264.0;2254.0;911.0
1862;To 9 999 kg;2003;2010;18.9;18.9;0.1;19.2;18.9;0.4;23228.0;22796.0;432.0;827.0
1863;To 9 999 kg;2003;2011;14.5;14.1;0.4;15.9;14.1;1.8;21296.0;18857.0;2439.0;748.0
1864;To 9 999 kg;2003;2012;11.8;11.6;0.2;12.6;11.6;1.0;18946.0;17384.0;1562.0;665.0
1865;To 9 999 kg;2003;2013;9.2;9.1;0.2;9.9;9.1;0.9;17405.0;15909.0;1497.0;569.0
1866;To 9 999 kg;2003;2014;7.9;7.8;0.1;8.3;7.8;0.5;16328.0;15413.0;914.0;506.0
1867;To 9 999 kg;2003;2015;6.4;6.3;0.1;6.7;6.3;0.4;14971.0;14147.0;823.0;446.0
1868;To 9 999 kg;2003;2016;4.8;4.5;0.2;5.3;4.5;0.7;12996.0;11241.0;1754.0;404.0
1869;To 9 999 kg;2003;2017;3.8;3.7;0.1;4.0;3.7;0.3;10747.0;9909.0;838.0;375.0
1870;To 9 999 kg;2004;2001;;;;;;;;;;
1871;To 9 999 kg;2004;2002;;;;;;;;;;
1872;To 9 999 kg;2004;2003;;;;;;;;;;
1873;To 9 999 kg;2004;2004;19.2;18.9;0.3;20.6;18.9;1.6;23917.0;22004.0;1913.0;860.0
1874;To 9 999 kg;2004;2005;33.2;32.8;0.5;35.6;32.8;2.8;40962.0;37685.0;3277.0;870.0
1875;To 9 999 kg;2004;2006;32.7;32.2;0.5;35.0;32.2;2.8;38770.0;35668.0;3102.0;903.0
1876;To 9 999 kg;2004;2007;29.8;29.1;0.6;32.4;29.1;3.2;36416.0;32775.0;3642.0;889.0
1877;To 9 999 kg;2004;2008;27.2;26.8;0.5;29.1;26.8;2.3;33558.0;30874.0;2685.0;868.0
1878;To 9 999 kg;2004;2009;23.2;22.8;0.4;24.5;22.8;1.7;29855.0;27765.0;2090.0;822.0
1879;To 9 999 kg;2004;2010;20.5;20.4;0.2;21.2;20.4;0.8;26929.0;25874.0;1055.0;787.0
1880;To 9 999 kg;2004;2011;16.9;16.6;0.3;17.9;16.6;1.3;25261.0;23464.0;1797.0;708.0
1881;To 9 999 kg;2004;2012;12.3;11.8;0.5;14.2;11.8;2.4;22558.0;18823.0;3736.0;629.0
1882;To 9 999 kg;2004;2013;10.3;10.1;0.2;11.2;10.1;1.1;20603.0;18543.0;2060.0;542.0
1883;To 9 999 kg;2004;2014;8.9;8.8;0.1;9.4;8.8;0.5;19710.0;18606.0;1104.0;475.0
1884;To 9 999 kg;2004;2015;7.3;7.2;0.1;7.6;7.2;0.4;17148.0;16205.0;943.0;445.0
1885;To 9 999 kg;2004;2016;5.7;5.5;0.2;6.3;5.5;0.9;15776.0;13646.0;2130.0;401.0
1886;To 9 999 kg;2004;2017;4.4;4.3;0.1;4.6;4.3;0.4;12907.0;11900.0;1007.0;359.0
1887;To 9 999 kg;2005;2001;;;;;;;;;;
1888;To 9 999 kg;2005;2002;;;;;;;;;;
1889;To 9 999 kg;2005;2003;;;;;;;;;;
1890;To 9 999 kg;2005;2004;;;;;;;;;;
1891;To 9 999 kg;2005;2005;19.6;19.3;0.3;21.0;19.3;1.7;23944.0;22028.0;1916.0;877.0
1892;To 9 999 kg;2005;2006;34.3;33.8;0.5;36.7;33.8;2.9;41589.0;38262.0;3327.0;883.0
1893;To 9 999 kg;2005;2007;32.7;32.0;0.7;35.6;32.0;3.6;40587.0;36529.0;4059.0;877.0
1894;To 9 999 kg;2005;2008;31.0;30.4;0.6;33.4;30.4;3.0;38521.0;35054.0;3467.0;867.0
1895;To 9 999 kg;2005;2009;27.6;27.2;0.4;29.1;27.2;1.9;34908.0;32639.0;2269.0;833.0
1896;To 9 999 kg;2005;2010;23.7;23.2;0.5;25.6;23.2;2.4;32151.0;29162.0;2989.0;797.0
1897;To 9 999 kg;2005;2011;20.8;20.5;0.2;21.7;20.5;1.2;29826.0;28230.0;1595.0;727.0
1898;To 9 999 kg;2005;2012;17.2;17.0;0.1;17.7;17.0;0.7;26725.0;25692.0;1033.0;662.0
1899;To 9 999 kg;2005;2013;10.3;9.5;0.9;13.6;9.5;4.1;23489.0;16372.0;7117.0;579.0
1900;To 9 999 kg;2005;2014;9.5;9.2;0.3;10.5;9.2;1.3;21122.0;18545.0;2577.0;498.0
1901;To 9 999 kg;2005;2015;7.8;7.7;0.1;8.2;7.7;0.4;18742.0;17711.0;1031.0;436.0
1902;To 9 999 kg;2005;2016;6.0;5.7;0.3;6.6;5.7;0.9;16852.0;14577.0;2275.0;392.0
1903;To 9 999 kg;2005;2017;4.8;4.6;0.1;5.0;4.6;0.4;14510.0;13378.0;1132.0;346.0
1904;To 9 999 kg;2006;2001;;;;;;;;;;
1905;To 9 999 kg;2006;2002;;;;;;;;;;
1906;To 9 999 kg;2006;2003;;;;;;;;;;
1907;To 9 999 kg;2006;2004;;;;;;;;;;
1908;To 9 999 kg;2006;2005;;;;;;;;;;
1909;To 9 999 kg;2006;2006;19.7;19.4;0.3;21.0;19.4;1.7;20314.0;18689.0;1625.0;1036.0
1910;To 9 999 kg;2006;2007;36.8;36.0;0.8;40.0;36.0;4.0;38996.0;35097.0;3900.0;1027.0
1911;To 9 999 kg;2006;2008;35.8;35.2;0.6;38.3;35.2;3.1;37149.0;34177.0;2972.0;1030.0
1912;To 9 999 kg;2006;2009;34.0;33.5;0.6;36.2;33.5;2.7;34678.0;32077.0;2601.0;1043.0
1913;To 9 999 kg;2006;2010;33.3;33.0;0.3;34.6;33.0;1.6;33423.0;31911.0;1512.0;1034.0
1914;To 9 999 kg;2006;2011;31.0;30.8;0.2;31.8;30.8;1.0;31826.0;30819.0;1007.0;1000.0
1915;To 9 999 kg;2006;2012;26.9;26.9;0.0;27.0;26.9;0.1;29080.0;28944.0;136.0;929.0
1916;To 9 999 kg;2006;2013;19.1;18.8;0.3;20.5;18.8;1.7;24726.0;22699.0;2028.0;828.0
1917;To 9 999 kg;2006;2014;15.3;15.0;0.3;16.3;15.0;1.3;22451.0;20610.0;1841.0;728.0
1918;To 9 999 kg;2006;2015;10.7;9.7;1.0;13.6;9.7;3.9;21295.0;15247.0;6048.0;638.0
1919;To 9 999 kg;2006;2016;10.1;9.6;0.4;11.1;9.6;1.5;19242.0;16645.0;2598.0;579.0
1920;To 9 999 kg;2006;2017;8.1;7.9;0.2;8.5;7.9;0.7;16434.0;15153.0;1282.0;519.0
1921;To 9 999 kg;2007;2001;;;;;;;;;;
1922;To 9 999 kg;2007;2002;;;;;;;;;;
1923;To 9 999 kg;2007;2003;;;;;;;;;;
1924;To 9 999 kg;2007;2004;;;;;;;;;;
1925;To 9 999 kg;2007;2005;;;;;;;;;;
1926;To 9 999 kg;2007;2006;;;;;;;;;;
1927;To 9 999 kg;2007;2007;12.4;12.1;0.3;13.4;12.1;1.3;18459.0;16613.0;1846.0;728.0
1928;To 9 999 kg;2007;2008;24.9;24.4;0.5;26.8;24.4;2.4;36717.0;33413.0;3305.0;730.0
1929;To 9 999 kg;2007;2009;25.4;25.0;0.4;26.8;25.0;1.7;35005.0;32729.0;2275.0;765.0
1930;To 9 999 kg;2007;2010;26.6;26.5;0.1;27.0;26.5;0.5;33236.0;32610.0;626.0;811.0
1931;To 9 999 kg;2007;2011;26.2;25.9;0.3;27.4;25.9;1.5;33584.0;31739.0;1845.0;816.0
1932;To 9 999 kg;2007;2012;24.5;24.5;0.0;24.7;24.5;0.2;31196.0;30922.0;275.0;792.0
1933;To 9 999 kg;2007;2013;20.4;20.0;0.3;21.6;20.0;1.5;29152.0;27082.0;2070.0;740.0
1934;To 9 999 kg;2007;2014;17.3;16.8;0.5;18.9;16.8;2.1;27467.0;24391.0;3076.0;689.0
1935;To 9 999 kg;2007;2015;15.9;15.8;0.0;15.9;15.8;0.1;24907.0;24758.0;149.0;640.0
1936;To 9 999 kg;2007;2016;12.3;11.9;0.5;13.4;11.9;1.6;22778.0;20113.0;2665.0;590.0
1937;To 9 999 kg;2007;2017;9.8;9.5;0.3;10.3;9.5;0.8;20273.0;18692.0;1581.0;509.0
1938;To 9 999 kg;2008;2001;;;;;;;;;;
1939;To 9 999 kg;2008;2002;;;;;;;;;;
1940;To 9 999 kg;2008;2003;;;;;;;;;;
1941;To 9 999 kg;2008;2004;;;;;;;;;;
1942;To 9 999 kg;2008;2005;;;;;;;;;;
1943;To 9 999 kg;2008;2006;;;;;;;;;;
1944;To 9 999 kg;2008;2007;;;;;;;;;;
1945;To 9 999 kg;2008;2008;16.3;15.9;0.3;17.5;15.9;1.6;17944.0;16329.0;1615.0;977.0
1946;To 9 999 kg;2008;2009;30.5;29.9;0.6;32.7;29.9;2.8;33152.0;30334.0;2818.0;986.0
1947;To 9 999 kg;2008;2010;31.4;31.1;0.2;32.2;31.1;1.1;32646.0;31537.0;1109.0;987.0
1948;To 9 999 kg;2008;2011;32.8;32.4;0.4;34.2;32.4;1.8;33170.0;31453.0;1717.0;1030.0
1949;To 9 999 kg;2008;2012;30.8;30.2;0.6;33.2;30.2;3.0;32242.0;29301.0;2941.0;1030.0
1950;To 9 999 kg;2008;2013;25.1;24.0;1.1;29.5;24.0;5.5;29445.0;23939.0;5506.0;1001.0
1951;To 9 999 kg;2008;2014;23.3;22.2;1.0;27.1;22.2;4.8;27694.0;22736.0;4957.0;977.0
1952;To 9 999 kg;2008;2015;22.7;22.3;0.4;23.8;22.3;1.5;25787.0;24214.0;1573.0;922.0
1953;To 9 999 kg;2008;2016;20.0;19.7;0.3;20.7;19.7;1.1;23609.0;22405.0;1204.0;877.0
1954;To 9 999 kg;2008;2017;15.5;14.9;0.5;16.7;14.9;1.7;20517.0;18383.0;2134.0;812.0
1955;To 9 999 kg;2009;2001;;;;;;;;;;
1956;To 9 999 kg;2009;2002;;;;;;;;;;
1957;To 9 999 kg;2009;2003;;;;;;;;;;
1958;To 9 999 kg;2009;2004;;;;;;;;;;
1959;To 9 999 kg;2009;2005;;;;;;;;;;
1960;To 9 999 kg;2009;2006;;;;;;;;;;
1961;To 9 999 kg;2009;2007;;;;;;;;;;
1962;To 9 999 kg;2009;2008;;;;;;;;;;
1963;To 9 999 kg;2009;2009;9.8;9.6;0.2;10.5;9.6;0.9;17236.0;15771.0;1465.0;611.0
1964;To 9 999 kg;2009;2010;18.2;17.9;0.2;19.0;17.9;1.1;31703.0;29861.0;1842.0;600.0
1965;To 9 999 kg;2009;2011;19.3;19.2;0.1;19.9;19.2;0.7;31614.0;30445.0;1168.0;629.0
1966;To 9 999 kg;2009;2012;18.8;18.7;0.1;19.0;18.7;0.3;30116.0;29681.0;434.0;631.0
1967;To 9 999 kg;2009;2013;16.5;16.2;0.3;17.8;16.2;1.7;29331.0;26603.0;2728.0;608.0
1968;To 9 999 kg;2009;2014;15.6;15.4;0.2;16.5;15.4;1.0;27719.0;25972.0;1746.0;594.0
1969;To 9 999 kg;2009;2015;13.1;12.7;0.4;14.4;12.7;1.7;25980.0;22888.0;3092.0;555.0
1970;To 9 999 kg;2009;2016;11.6;11.2;0.4;12.7;11.2;1.5;23509.0;20735.0;2774.0;540.0
1971;To 9 999 kg;2009;2017;9.5;9.2;0.3;10.2;9.2;1.0;20480.0;18473.0;2007.0;496.0
1972;To 9 999 kg;2010;2001;;;;;;;;;;
1973;To 9 999 kg;2010;2002;;;;;;;;;;
1974;To 9 999 kg;2010;2003;;;;;;;;;;
1975;To 9 999 kg;2010;2004;;;;;;;;;;
1976;To 9 999 kg;2010;2005;;;;;;;;;;
1977;To 9 999 kg;2010;2006;;;;;;;;;;
1978;To 9 999 kg;2010;2007;;;;;;;;;;
1979;To 9 999 kg;2010;2008;;;;;;;;;;
1980;To 9 999 kg;2010;2009;;;;;;;;;;
1981;To 9 999 kg;2010;2010;7.8;7.8;0.0;8.0;7.8;0.2;15508.0;15196.0;313.0;514.0
1982;To 9 999 kg;2010;2011;18.3;18.3;0.1;18.6;18.3;0.3;34146.0;33624.0;522.0;544.0
1983;To 9 999 kg;2010;2012;17.7;17.6;0.1;18.1;17.6;0.5;32701.0;31823.0;878.0;554.0
1984;To 9 999 kg;2010;2013;16.6;16.4;0.2;17.5;16.4;1.0;31913.0;29998.0;1915.0;548.0
1985;To 9 999 kg;2010;2014;16.5;16.3;0.2;17.3;16.3;1.0;31049.0;29217.0;1832.0;559.0
1986;To 9 999 kg;2010;2015;16.3;16.3;0.1;16.6;16.3;0.3;29467.0;28848.0;619.0;564.0
1987;To 9 999 kg;2010;2016;15.5;15.1;0.3;16.3;15.1;1.2;28838.0;26791.0;2048.0;565.0
1988;To 9 999 kg;2010;2017;14.3;14.1;0.2;14.6;14.1;0.5;26109.0;25169.0;940.0;560.0
1989;To 9 999 kg;2011;2001;;;;;;;;;;
1990;To 9 999 kg;2011;2002;;;;;;;;;;
1991;To 9 999 kg;2011;2003;;;;;;;;;;
1992;To 9 999 kg;2011;2004;;;;;;;;;;
1993;To 9 999 kg;2011;2005;;;;;;;;;;
1994;To 9 999 kg;2011;2006;;;;;;;;;;
1995;To 9 999 kg;2011;2007;;;;;;;;;;
1996;To 9 999 kg;2011;2008;;;;;;;;;;
1997;To 9 999 kg;2011;2009;;;;;;;;;;
1998;To 9 999 kg;2011;2010;;;;;;;;;;
1999;To 9 999 kg;2011;2011;7.7;7.6;0.1;8.1;7.6;0.5;17651.0;16574.0;1078.0;458.0
2000;To 9 999 kg;2011;2012;14.9;14.7;0.2;15.5;14.7;0.7;33242.0;31637.0;1605.0;465.0
2001;To 9 999 kg;2011;2013;14.8;14.8;0.0;15.0;14.8;0.2;32525.0;32037.0;488.0;461.0
2002;To 9 999 kg;2011;2014;13.1;12.7;0.4;14.6;12.7;1.9;30230.0;26270.0;3960.0;482.0
2003;To 9 999 kg;2011;2015;13.8;13.7;0.1;14.0;13.7;0.3;28135.0;27487.0;647.0;499.0
2004;To 9 999 kg;2011;2016;12.4;12.0;0.4;13.3;12.0;1.2;26928.0;24397.0;2531.0;493.0
2005;To 9 999 kg;2011;2017;12.1;12.1;0.0;12.1;12.1;0.0;25496.0;25496.0;0.0;475.0
2006;To 9 999 kg;2012;2001;;;;;;;;;;
2007;To 9 999 kg;2012;2002;;;;;;;;;;
2008;To 9 999 kg;2012;2003;;;;;;;;;;
2009;To 9 999 kg;2012;2004;;;;;;;;;;
2010;To 9 999 kg;2012;2005;;;;;;;;;;
2011;To 9 999 kg;2012;2006;;;;;;;;;;
2012;To 9 999 kg;2012;2007;;;;;;;;;;
2013;To 9 999 kg;2012;2008;;;;;;;;;;
2014;To 9 999 kg;2012;2009;;;;;;;;;;
2015;To 9 999 kg;2012;2010;;;;;;;;;;
2016;To 9 999 kg;2012;2011;;;;;;;;;;
2017;To 9 999 kg;2012;2012;8.4;8.4;0.0;8.4;8.4;0.0;19495.0;19452.0;43.0;433.0
2018;To 9 999 kg;2012;2013;12.8;12.0;0.8;15.9;12.0;3.9;34649.0;26195.0;8454.0;459.0
2019;To 9 999 kg;2012;2014;15.2;14.8;0.4;16.5;14.8;1.7;35180.0;31627.0;3553.0;469.0
2020;To 9 999 kg;2012;2015;15.7;15.5;0.2;16.5;15.5;1.0;33275.0;31245.0;2030.0;495.0
2021;To 9 999 kg;2012;2016;16.3;16.1;0.3;17.0;16.1;1.0;33536.0;31658.0;1878.0;507.0
2022;To 9 999 kg;2012;2017;14.6;14.0;0.6;16.0;14.0;2.0;31601.0;27619.0;3982.0;506.0
2023;To 9 999 kg;2013;2001;;;;;;;;;;
2024;To 9 999 kg;2013;2002;;;;;;;;;;
2025;To 9 999 kg;2013;2003;;;;;;;;;;
2026;To 9 999 kg;2013;2004;;;;;;;;;;
2027;To 9 999 kg;2013;2005;;;;;;;;;;
2028;To 9 999 kg;2013;2006;;;;;;;;;;
2029;To 9 999 kg;2013;2007;;;;;;;;;;
2030;To 9 999 kg;2013;2008;;;;;;;;;;
2031;To 9 999 kg;2013;2009;;;;;;;;;;
2032;To 9 999 kg;2013;2010;;;;;;;;;;
2033;To 9 999 kg;2013;2011;;;;;;;;;;
2034;To 9 999 kg;2013;2012;;;;;;;;;;
2035;To 9 999 kg;2013;2013;6.4;6.3;0.2;7.0;6.3;0.8;14354.0;12761.0;1593.0;490.0
2036;To 9 999 kg;2013;2014;14.4;14.1;0.3;15.3;14.1;1.2;30818.0;28384.0;2435.0;498.0
2037;To 9 999 kg;2013;2015;15.0;14.8;0.2;15.7;14.8;0.9;30646.0;28900.0;1747.0;512.0
2038;To 9 999 kg;2013;2016;14.3;13.7;0.6;15.8;13.7;2.1;28936.0;25001.0;3935.0;546.0
2039;To 9 999 kg;2013;2017;15.0;14.8;0.1;15.3;14.8;0.5;27968.0;27101.0;867.0;547.0
2040;To 9 999 kg;2014;2001;;;;;;;;;;
2041;To 9 999 kg;2014;2002;;;;;;;;;;
2042;To 9 999 kg;2014;2003;;;;;;;;;;
2043;To 9 999 kg;2014;2004;;;;;;;;;;
2044;To 9 999 kg;2014;2005;;;;;;;;;;
2045;To 9 999 kg;2014;2006;;;;;;;;;;
2046;To 9 999 kg;2014;2007;;;;;;;;;;
2047;To 9 999 kg;2014;2008;;;;;;;;;;
2048;To 9 999 kg;2014;2009;;;;;;;;;;
2049;To 9 999 kg;2014;2010;;;;;;;;;;
2050;To 9 999 kg;2014;2011;;;;;;;;;;
2051;To 9 999 kg;2014;2012;;;;;;;;;;
2052;To 9 999 kg;2014;2013;;;;;;;;;;
2053;To 9 999 kg;2014;2014;5.7;5.6;0.1;6.0;5.6;0.5;16706.0;15437.0;1270.0;361.0
2054;To 9 999 kg;2014;2015;11.6;11.2;0.3;12.5;11.2;1.3;34611.0;30977.0;3634.0;363.0
2055;To 9 999 kg;2014;2016;10.0;9.1;1.0;12.4;9.1;3.3;34519.0;25268.0;9251.0;359.0
2056;To 9 999 kg;2014;2017;11.5;11.2;0.3;12.2;11.2;0.9;32040.0;29605.0;2435.0;380.0
2057;To 9 999 kg;2015;2001;;;;;;;;;;
2058;To 9 999 kg;2015;2002;;;;;;;;;;
2059;To 9 999 kg;2015;2003;;;;;;;;;;
2060;To 9 999 kg;2015;2004;;;;;;;;;;
2061;To 9 999 kg;2015;2005;;;;;;;;;;
2062;To 9 999 kg;2015;2006;;;;;;;;;;
2063;To 9 999 kg;2015;2007;;;;;;;;;;
2064;To 9 999 kg;2015;2008;;;;;;;;;;
2065;To 9 999 kg;2015;2009;;;;;;;;;;
2066;To 9 999 kg;2015;2010;;;;;;;;;;
2067;To 9 999 kg;2015;2011;;;;;;;;;;
2068;To 9 999 kg;2015;2012;;;;;;;;;;
2069;To 9 999 kg;2015;2013;;;;;;;;;;
2070;To 9 999 kg;2015;2014;;;;;;;;;;
2071;To 9 999 kg;2015;2015;8.3;8.0;0.3;9.2;8.0;1.2;15780.0;13776.0;2004.0;581.0
2072;To 9 999 kg;2015;2016;16.1;15.5;0.5;17.3;15.5;1.8;32181.0;28899.0;3282.0;538.0
2073;To 9 999 kg;2015;2017;15.2;14.3;0.9;17.1;14.3;2.8;31922.0;26718.0;5203.0;536.0
2074;To 9 999 kg;2016;2001;;;;;;;;;;
2075;To 9 999 kg;2016;2002;;;;;;;;;;
