ID;SectorBranchesSIC2008;Periods;Indices_1;YearOnYearChange_2;Indices_3;PeriodOnPeriodChange_4
1264;70 Holding companies (not financial);2010;;;;
1265;70 Holding companies (not financial);2011 1st quarter;;;;
1266;70 Holding companies (not financial);2011 2nd quarter;;;;
1267;70 Holding companies (not financial);2011 3rd quarter;;;;
1268;70 Holding companies (not financial);2011 4th quarter;;;;
1269;70 Holding companies (not financial);2011;;;;
1270;70 Holding companies (not financial);2012 1st quarter;;;;
1271;70 Holding companies (not financial);2012 2nd quarter;;;;
1272;70 Holding companies (not financial);2012 3rd quarter;;;;
1273;70 Holding companies (not financial);2012 4th quarter;;;;
1274;70 Holding companies (not financial);2012;;;;
1275;70 Holding companies (not financial);2013 1st quarter;;;;
1276;70 Holding companies (not financial);2013 2nd quarter;;;;
1277;70 Holding companies (not financial);2013 3rd quarter;;;;
1278;70 Holding companies (not financial);2013 4th quarter;;;;
1279;70 Holding companies (not financial);2013;;;;
1280;70 Holding companies (not financial);2014 1st quarter;;;;
1281;70 Holding companies (not financial);2014 2nd quarter;;;;
1282;70 Holding companies (not financial);2014 3rd quarter;;;;
1283;70 Holding companies (not financial);2014 4th quarter;;;;
1284;70 Holding companies (not financial);2014;;;;
1285;70 Holding companies (not financial);2015 1st quarter;;;;
1286;70 Holding companies (not financial);2015 2nd quarter;;;;
1287;70 Holding companies (not financial);2015 3rd quarter;;;;
1288;70 Holding companies (not financial);2015 4th quarter;;;;
1289;70 Holding companies (not financial);2015;;;;
1290;70 Holding companies (not financial);2016 1st quarter;;;;
1291;70 Holding companies (not financial);2016 2nd quarter;;;;
1292;70 Holding companies (not financial);2016 3rd quarter;;;;
1293;70 Holding companies (not financial);2016 4th quarter;;;;
1294;70 Holding companies (not financial);2016;;;;
1295;70 Holding companies (not financial);2017 1st quarter;;;;
1296;70 Holding companies (not financial);2017 2nd quarter;;;;
1297;70 Holding companies (not financial);2017 3rd quarter;;;;
1298;70 Holding companies (not financial);2017 4th quarter;;;;
1299;70 Holding companies (not financial);2017;;;;
1300;70 Holding companies (not financial);2018 1st quarter;;;;
1301;70 Holding companies (not financial);2018 2nd quarter;;;;
1302;70 Holding companies (not financial);2018 3rd quarter;;;;
1303;70 Holding companies (not financial);2018 4th quarter;;;;
1304;70 Holding companies (not financial);2018;;;;
1305;70 Holding companies (not financial);2019 1st quarter;;;;
1306;70 Holding companies (not financial);2019 2nd quarter;;;;
1307;70 Holding companies (not financial);2019 3rd quarter;;;;
1308;70 Holding companies (not financial);2019 4th quarter;;;;
1309;70 Holding companies (not financial);2019;;;;
1310;70 Holding companies (not financial);2020 1st quarter;;;;
1311;70 Holding companies (not financial);2020 2nd quarter;;;;
1312;70 Holding companies (not financial);2020 3rd quarter;;;;
1313;70 Holding companies (not financial);2020 4th quarter;;;;
1314;70 Holding companies (not financial);2020;;;;
1315;70 Holding companies (not financial);2021 1st quarter;;;;
1316;70 Holding companies (not financial);2021 2nd quarter;;;;
1317;70 Holding companies (not financial);2021 3rd quarter;;;;
1318;70 Holding companies (not financial);2021 4th quarter;;;;
1319;70 Holding companies (not financial);2021;;;;
1320;70 Holding companies (not financial);2022 1st quarter;;;;
1321;70 Holding companies (not financial);2022 2nd quarter;;;;
1322;70 Holding companies (not financial);2022 3rd quarter;;;;
1323;70 Holding companies (not financial);2022 4th quarter;;;;
1324;70 Holding companies (not financial);2022;;;;
1325;70 Holding companies (not financial);2023 1st quarter;;;;
1326;70 Holding companies (not financial);2023 2nd quarter;;;;
1327;70 Holding companies (not financial);2023 3rd quarter;;;;
1328;70 Holding companies (not financial);2023 4th quarter;;;;
1329;70 Holding companies (not financial);2023;;;;
1330;702 Management and business consultancy;2005 1st quarter;65.0;;;
1331;702 Management and business consultancy;2005 2nd quarter;74.0;;;
1332;702 Management and business consultancy;2005 3rd quarter;69.3;;;
1333;702 Management and business consultancy;2005 4th quarter;93.4;;;
1334;702 Management and business consultancy;2005;75.4;;;
1335;702 Management and business consultancy;2006 1st quarter;73.6;13.3;;
1336;702 Management and business consultancy;2006 2nd quarter;83.7;13.0;;
1337;702 Management and business consultancy;2006 3rd quarter;82.6;19.2;;
1338;702 Management and business consultancy;2006 4th quarter;107.9;15.5;;
1339;702 Management and business consultancy;2006;86.9;15.3;;
1340;702 Management and business consultancy;2007 1st quarter;84.7;15.1;;
1341;702 Management and business consultancy;2007 2nd quarter;95.6;14.2;;
1342;702 Management and business consultancy;2007 3rd quarter;92.4;11.9;;
1343;702 Management and business consultancy;2007 4th quarter;117.7;9.1;;
1344;702 Management and business consultancy;2007;97.6;12.3;;
1345;702 Management and business consultancy;2008 1st quarter;91.3;7.8;;
1346;702 Management and business consultancy;2008 2nd quarter;102.5;7.2;;
1347;702 Management and business consultancy;2008 3rd quarter;101.0;9.2;;
1348;702 Management and business consultancy;2008 4th quarter;125.4;6.6;;
1349;702 Management and business consultancy;2008;105.0;7.6;;
1350;702 Management and business consultancy;2009 1st quarter;94.6;3.6;;
1351;702 Management and business consultancy;2009 2nd quarter;97.4;-5.0;;
1352;702 Management and business consultancy;2009 3rd quarter;88.7;-12.2;;
1353;702 Management and business consultancy;2009 4th quarter;108.2;-13.7;;
1354;702 Management and business consultancy;2009;97.2;-7.5;;
1355;702 Management and business consultancy;2010 1st quarter;80.8;-14.5;;
1356;702 Management and business consultancy;2010 2nd quarter;83.8;-13.9;;
1357;702 Management and business consultancy;2010 3rd quarter;80.0;-9.8;;
1358;702 Management and business consultancy;2010 4th quarter;103.7;-4.2;;
1359;702 Management and business consultancy;2010;87.1;-10.4;;
1360;702 Management and business consultancy;2011 1st quarter;78.6;-2.8;;
1361;702 Management and business consultancy;2011 2nd quarter;84.8;1.1;;
1362;702 Management and business consultancy;2011 3rd quarter;79.5;-0.6;;
1363;702 Management and business consultancy;2011 4th quarter;100.8;-2.8;;
1364;702 Management and business consultancy;2011;85.9;-1.4;;
1365;702 Management and business consultancy;2012 1st quarter;84.0;6.8;;
1366;702 Management and business consultancy;2012 2nd quarter;88.7;4.7;;
1367;702 Management and business consultancy;2012 3rd quarter;83.4;4.9;;
1368;702 Management and business consultancy;2012 4th quarter;99.7;-1.1;;
1369;702 Management and business consultancy;2012;89.0;3.5;;
1370;702 Management and business consultancy;2013 1st quarter;82.6;-1.6;89.8;
1371;702 Management and business consultancy;2013 2nd quarter;89.8;1.2;90.8;1.1
1372;702 Management and business consultancy;2013 3rd quarter;83.1;-0.4;89.8;-1.0
1373;702 Management and business consultancy;2013 4th quarter;104.7;5.1;90.7;0.9
1374;702 Management and business consultancy;2013;90.1;1.2;90.3;
1375;702 Management and business consultancy;2014 1st quarter;85.6;3.6;92.9;2.4
1376;702 Management and business consultancy;2014 2nd quarter;91.4;1.8;91.9;-1.0
1377;702 Management and business consultancy;2014 3rd quarter;86.4;4.1;93.4;1.6
1378;702 Management and business consultancy;2014 4th quarter;110.6;5.5;95.9;2.7
1379;702 Management and business consultancy;2014;93.5;3.8;93.5;3.6
1380;702 Management and business consultancy;2015 1st quarter;89.4;4.4;96.8;0.9
1381;702 Management and business consultancy;2015 2nd quarter;98.4;7.6;99.3;2.5
1382;702 Management and business consultancy;2015 3rd quarter;94.0;8.8;101.5;2.3
1383;702 Management and business consultancy;2015 4th quarter;118.2;6.9;102.4;0.8
1384;702 Management and business consultancy;2015;100.0;6.9;100.0;6.9
1385;702 Management and business consultancy;2016 1st quarter;96.4;7.8;103.5;1.1
1386;702 Management and business consultancy;2016 2nd quarter;103.8;5.5;104.1;0.6
1387;702 Management and business consultancy;2016 3rd quarter;97.5;3.6;105.2;1.1
1388;702 Management and business consultancy;2016 4th quarter;121.7;3.0;105.7;0.5
1389;702 Management and business consultancy;2016;104.8;4.8;104.6;4.6
1390;702 Management and business consultancy;2017 1st quarter;101.7;5.6;109.2;3.3
1391;702 Management and business consultancy;2017 2nd quarter;110.8;6.8;111.5;2.1
1392;702 Management and business consultancy;2017 3rd quarter;105.0;7.7;113.5;1.8
1393;702 Management and business consultancy;2017 4th quarter;134.6;10.6;117.7;3.7
1394;702 Management and business consultancy;2017;113.1;7.8;113.0;8.0
1395;702 Management and business consultancy;2018 1st quarter;110.9;9.0;119.4;1.4
1396;702 Management and business consultancy;2018 2nd quarter;121.9;10.0;122.4;2.5
1397;702 Management and business consultancy;2018 3rd quarter;114.7;9.3;124.2;1.5
1398;702 Management and business consultancy;2018 4th quarter;145.4;8.0;127.3;2.5
1399;702 Management and business consultancy;2018;123.2;9.0;123.3;9.2
1400;702 Management and business consultancy;2019 1st quarter;120.8;9.0;130.0;2.1
1401;702 Management and business consultancy;2019 2nd quarter;132.6;8.8;132.3;1.8
1402;702 Management and business consultancy;2019 3rd quarter;125.0;9.0;135.4;2.3
1403;702 Management and business consultancy;2019 4th quarter;155.8;7.1;136.7;1.0
1404;702 Management and business consultancy;2019;133.6;8.4;133.6;8.3
1405;702 Management and business consultancy;2020 1st quarter;128.8;6.6;136.9;0.2
1406;702 Management and business consultancy;2020 2nd quarter;127.6;-3.8;127.8;-6.7
1407;702 Management and business consultancy;2020 3rd quarter;121.9;-2.5;131.9;3.2
1408;702 Management and business consultancy;2020 4th quarter;157.2;0.9;137.5;4.2
1409;702 Management and business consultancy;2020;133.9;0.2;133.6;0.0
1410;702 Management and business consultancy;2021 1st quarter;132.3;2.7;141.1;2.6
1411;702 Management and business consultancy;2021 2nd quarter;144.1;12.9;145.3;3.0
1412;702 Management and business consultancy;2021 3rd quarter;138.7;13.8;151.5;4.3
1413;702 Management and business consultancy;2021 4th quarter;186.0;18.3;160.4;5.9
1414;702 Management and business consultancy;2021;150.3;12.2;149.6;12.0
1415;702 Management and business consultancy;2022 1st quarter;155.5;17.5;165.6;3.2
1416;702 Management and business consultancy;2022 2nd quarter;172.6;19.8;174.2;5.2
1417;702 Management and business consultancy;2022 3rd quarter;168.2;21.3;182.3;4.6
1418;702 Management and business consultancy;2022 4th quarter;213.9;15.0;186.5;2.3
1419;702 Management and business consultancy;2022;177.6;18.2;177.2;18.4
1420;702 Management and business consultancy;2023 1st quarter;181.7;16.9;192.6;3.2
1421;702 Management and business consultancy;2023 2nd quarter;192.3;11.4;194.4;0.9
1422;702 Management and business consultancy;2023 3rd quarter;182.3;8.4;196.7;1.2
1423;702 Management and business consultancy;2023 4th quarter;223.9;4.7;197.7;0.5
1424;702 Management and business consultancy;2023;195.1;9.9;195.3;10.3
1425;71 Architects, technical services etc.;2005 1st quarter;69.4;;;
1426;71 Architects, technical services etc.;2005 2nd quarter;77.3;;;
1427;71 Architects, technical services etc.;2005 3rd quarter;79.0;;;
1428;71 Architects, technical services etc.;2005 4th quarter;92.4;;;
1429;71 Architects, technical services etc.;2005;79.5;;;
1430;71 Architects, technical services etc.;2006 1st quarter;77.3;11.3;;
1431;71 Architects, technical services etc.;2006 2nd quarter;86.8;12.3;;
1432;71 Architects, technical services etc.;2006 3rd quarter;83.1;5.2;;
1433;71 Architects, technical services etc.;2006 4th quarter;101.1;9.5;;
1434;71 Architects, technical services etc.;2006;87.1;9.5;;
1435;71 Architects, technical services etc.;2007 1st quarter;84.6;9.4;;
1436;71 Architects, technical services etc.;2007 2nd quarter;94.0;8.3;;
1437;71 Architects, technical services etc.;2007 3rd quarter;86.7;4.4;;
1438;71 Architects, technical services etc.;2007 4th quarter;108.7;7.4;;
1439;71 Architects, technical services etc.;2007;93.5;7.4;;
1440;71 Architects, technical services etc.;2008 1st quarter;91.5;8.2;;
1441;71 Architects, technical services etc.;2008 2nd quarter;101.0;7.4;;
1442;71 Architects, technical services etc.;2008 3rd quarter;94.5;9.0;;
1443;71 Architects, technical services etc.;2008 4th quarter;118.5;9.0;;
1444;71 Architects, technical services etc.;2008;101.4;8.4;;
1445;71 Architects, technical services etc.;2009 1st quarter;96.0;5.0;;
1446;71 Architects, technical services etc.;2009 2nd quarter;100.0;-1.0;;
1447;71 Architects, technical services etc.;2009 3rd quarter;93.5;-1.1;;
1448;71 Architects, technical services etc.;2009 4th quarter;112.4;-5.1;;
1449;71 Architects, technical services etc.;2009;100.5;-0.9;;
1450;71 Architects, technical services etc.;2010 1st quarter;87.9;-8.5;;
1451;71 Architects, technical services etc.;2010 2nd quarter;96.0;-4.1;;
1452;71 Architects, technical services etc.;2010 3rd quarter;93.0;-0.5;;
1453;71 Architects, technical services etc.;2010 4th quarter;110.7;-1.5;;
1454;71 Architects, technical services etc.;2010;96.9;-3.6;;
1455;71 Architects, technical services etc.;2011 1st quarter;87.4;-0.6;;
1456;71 Architects, technical services etc.;2011 2nd quarter;94.8;-1.2;;
1457;71 Architects, technical services etc.;2011 3rd quarter;87.7;-5.8;;
1458;71 Architects, technical services etc.;2011 4th quarter;105.3;-4.9;;
1459;71 Architects, technical services etc.;2011;93.8;-3.2;;
1460;71 Architects, technical services etc.;2012 1st quarter;84.8;-2.9;;
1461;71 Architects, technical services etc.;2012 2nd quarter;92.8;-2.2;;
1462;71 Architects, technical services etc.;2012 3rd quarter;86.8;-1.0;;
1463;71 Architects, technical services etc.;2012 4th quarter;100.9;-4.1;;
1464;71 Architects, technical services etc.;2012;91.3;-2.6;;
1465;71 Architects, technical services etc.;2013 1st quarter;83.1;-2.0;91.1;
1466;71 Architects, technical services etc.;2013 2nd quarter;93.0;0.2;92.3;1.3
1467;71 Architects, technical services etc.;2013 3rd quarter;88.0;1.4;92.8;0.6
1468;71 Architects, technical services etc.;2013 4th quarter;105.0;4.1;93.0;0.2
1469;71 Architects, technical services etc.;2013;92.3;1.0;92.3;
1470;71 Architects, technical services etc.;2014 1st quarter;84.7;1.9;92.8;-0.3
1471;71 Architects, technical services etc.;2014 2nd quarter;95.4;2.6;94.5;1.9
1472;71 Architects, technical services etc.;2014 3rd quarter;91.4;3.8;96.3;1.9
1473;71 Architects, technical services etc.;2014 4th quarter;110.1;4.9;97.6;1.4
1474;71 Architects, technical services etc.;2014;95.4;3.4;95.3;3.2
1475;71 Architects, technical services etc.;2015 1st quarter;91.1;7.6;99.7;2.2
1476;71 Architects, technical services etc.;2015 2nd quarter;99.7;4.5;99.0;-0.8
1477;71 Architects, technical services etc.;2015 3rd quarter;94.7;3.6;99.8;0.8
1478;71 Architects, technical services etc.;2015 4th quarter;114.5;3.9;101.4;1.6
1479;71 Architects, technical services etc.;2015;100.0;4.8;100.0;4.9
1480;71 Architects, technical services etc.;2016 1st quarter;91.7;0.7;100.4;-1.0
1481;71 Architects, technical services etc.;2016 2nd quarter;105.2;5.5;104.4;4.0
1482;71 Architects, technical services etc.;2016 3rd quarter;98.6;4.1;103.8;-0.5
1483;71 Architects, technical services etc.;2016 4th quarter;117.0;2.2;103.7;-0.1
1484;71 Architects, technical services etc.;2016;103.1;3.1;103.1;3.1
1485;71 Architects, technical services etc.;2017 1st quarter;97.4;6.2;106.2;2.4
1486;71 Architects, technical services etc.;2017 2nd quarter;106.2;1.0;105.6;-0.6
1487;71 Architects, technical services etc.;2017 3rd quarter;103.2;4.7;108.6;2.9
1488;71 Architects, technical services etc.;2017 4th quarter;124.1;6.0;110.3;1.6
1489;71 Architects, technical services etc.;2017;107.7;4.5;107.7;4.5
1490;71 Architects, technical services etc.;2018 1st quarter;101.8;4.5;110.9;0.5
1491;71 Architects, technical services etc.;2018 2nd quarter;114.7;8.0;114.2;3.0
1492;71 Architects, technical services etc.;2018 3rd quarter;109.1;5.7;114.6;0.4
1493;71 Architects, technical services etc.;2018 4th quarter;132.8;7.0;118.3;3.2
1494;71 Architects, technical services etc.;2018;114.6;6.4;114.5;6.3
1495;71 Architects, technical services etc.;2019 1st quarter;108.7;6.8;118.1;-0.2
1496;71 Architects, technical services etc.;2019 2nd quarter;120.6;5.2;119.9;1.5
1497;71 Architects, technical services etc.;2019 3rd quarter;118.1;8.2;123.9;3.4
1498;71 Architects, technical services etc.;2019 4th quarter;138.1;4.0;123.4;-0.5
1499;71 Architects, technical services etc.;2019;121.4;5.9;121.3;6.0
1500;71 Architects, technical services etc.;2020 1st quarter;118.0;8.6;128.1;3.8
1501;71 Architects, technical services etc.;2020 2nd quarter;119.2;-1.2;118.7;-7.3
1502;71 Architects, technical services etc.;2020 3rd quarter;115.3;-2.3;120.9;1.8
1503;71 Architects, technical services etc.;2020 4th quarter;139.4;1.0;124.7;3.2
1504;71 Architects, technical services etc.;2020;123.0;1.3;123.1;1.4
1505;71 Architects, technical services etc.;2021 1st quarter;115.5;-2.1;124.7;0.0
1506;71 Architects, technical services etc.;2021 2nd quarter;123.4;3.5;122.9;-1.4
1507;71 Architects, technical services etc.;2021 3rd quarter;115.0;-0.3;121.9;-0.8
1508;71 Architects, technical services etc.;2021 4th quarter;141.0;1.1;126.0;3.3
1509;71 Architects, technical services etc.;2021;123.7;0.6;123.9;0.7
1510;71 Architects, technical services etc.;2022 1st quarter;120.2;4.0;129.5;2.7
1511;71 Architects, technical services etc.;2022 2nd quarter;136.3;10.5;134.8;4.2
1512;71 Architects, technical services etc.;2022 3rd quarter;127.6;10.9;136.1;0.9
1513;71 Architects, technical services etc.;2022 4th quarter;155.5;10.3;139.2;2.3
1514;71 Architects, technical services etc.;2022;134.9;9.0;134.9;8.9
1515;71 Architects, technical services etc.;2023 1st quarter;135.2;12.5;144.0;3.4
1516;71 Architects, technical services etc.;2023 2nd quarter;145.5;6.7;144.4;0.3
1517;71 Architects, technical services etc.;2023 3rd quarter;137.7;7.9;147.0;1.9
1518;71 Architects, technical services etc.;2023 4th quarter;165.7;6.5;148.4;0.9
1519;71 Architects, technical services etc.;2023;146.0;8.2;145.9;8.2
1520;711 Architects, engineers etc.;2005 1st quarter;73.1;;;
1521;711 Architects, engineers etc.;2005 2nd quarter;82.0;;;
1522;711 Architects, engineers etc.;2005 3rd quarter;83.7;;;
1523;711 Architects, engineers etc.;2005 4th quarter;98.2;;;
1524;711 Architects, engineers etc.;2005;84.3;;;
