ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
8205;Apartment;Borsele;2012;850.0;2000.0;;
8206;Apartment;Borsele;2013;900.0;1800.0;;
8207;Apartment;Borsele;2014;650.0;1800.0;;
8208;Apartment;Borsele;2015;800.0;1830.0;;
8209;Apartment;Borsele;2016;730.0;1740.0;;
8210;Apartment;Borsele;2017;700.0;1710.0;;
8211;Apartment;Borsele;2018;710.0;1650.0;;
8212;Apartment;Borsele;2019;680.0;1620.0;;
8213;Apartment;Borsele;2020;730.0;1870.0;;
8214;Apartment;Borsele;2021;850.0;1850.0;1720.0;
8215;Apartment;Borsele;2022;670.0;1810.0;1670.0;
8216;Apartment;Boskoop;2010;1150.0;2300.0;;
8217;Apartment;Boskoop;2011;850.0;2350.0;;
8218;Apartment;Boskoop;2012;1000.0;2350.0;;
8219;Apartment;Boskoop;2013;1000.0;2250.0;;
8220;Apartment;Boskoop;2014;;;;
8221;Apartment;Boskoop;2015;;;;
8222;Apartment;Boskoop;2016;;;;
8223;Apartment;Boskoop;2017;;;;
8224;Apartment;Boskoop;2018;;;;
8225;Apartment;Boskoop;2019;;;;
8226;Apartment;Boskoop;2020;;;;
8227;Apartment;Boskoop;2021;;;;
8228;Apartment;Boskoop;2022;;;;
8229;Apartment;Boxmeer;2010;1050.0;2250.0;;
8230;Apartment;Boxmeer;2011;800.0;2250.0;;
8231;Apartment;Boxmeer;2012;850.0;2200.0;;
8232;Apartment;Boxmeer;2013;900.0;2150.0;;
8233;Apartment;Boxmeer;2014;650.0;2150.0;;
8234;Apartment;Boxmeer;2015;760.0;2120.0;;
8235;Apartment;Boxmeer;2016;780.0;2030.0;;
8236;Apartment;Boxmeer;2017;760.0;1970.0;;
8237;Apartment;Boxmeer;2018;760.0;1950.0;;
8238;Apartment;Boxmeer;2019;720.0;1910.0;;
8239;Apartment;Boxmeer;2020;730.0;1960.0;;
8240;Apartment;Boxmeer;2021;810.0;1990.0;1900.0;
8241;Apartment;Boxmeer;2022;;;;
8242;Apartment;Boxtel;2010;1150.0;2250.0;;
8243;Apartment;Boxtel;2011;900.0;2200.0;;
8244;Apartment;Boxtel;2012;1050.0;2200.0;;
8245;Apartment;Boxtel;2013;1000.0;2100.0;;
8246;Apartment;Boxtel;2014;750.0;2050.0;;
8247;Apartment;Boxtel;2015;810.0;2070.0;;
8248;Apartment;Boxtel;2016;810.0;2010.0;;
8249;Apartment;Boxtel;2017;790.0;2000.0;;
8250;Apartment;Boxtel;2018;800.0;1960.0;;
8251;Apartment;Boxtel;2019;710.0;1920.0;;
8252;Apartment;Boxtel;2020;710.0;1940.0;;
8253;Apartment;Boxtel;2021;820.0;2030.0;2000.0;
8254;Apartment;Boxtel;2022;650.0;1940.0;1890.0;
8255;Apartment;Breda;2010;1150.0;2350.0;;
8256;Apartment;Breda;2011;850.0;2300.0;;
8257;Apartment;Breda;2012;900.0;2300.0;;
8258;Apartment;Breda;2013;900.0;2300.0;;
8259;Apartment;Breda;2014;650.0;2200.0;;
8260;Apartment;Breda;2015;620.0;2180.0;;
8261;Apartment;Breda;2016;660.0;2150.0;;
8262;Apartment;Breda;2017;630.0;2120.0;;
8263;Apartment;Breda;2018;620.0;2100.0;;
8264;Apartment;Breda;2019;590.0;2060.0;;
8265;Apartment;Breda;2020;590.0;2060.0;;
8266;Apartment;Breda;2021;640.0;2090.0;2070.0;
8267;Apartment;Breda;2022;520.0;2000.0;1970.0;
8268;Apartment;Breukelen;2010;1250.0;2500.0;;
8269;Apartment;Breukelen;2011;;;;
8270;Apartment;Breukelen;2012;;;;
8271;Apartment;Breukelen;2013;;;;
8272;Apartment;Breukelen;2014;;;;
8273;Apartment;Breukelen;2015;;;;
8274;Apartment;Breukelen;2016;;;;
8275;Apartment;Breukelen;2017;;;;
8276;Apartment;Breukelen;2018;;;;
8277;Apartment;Breukelen;2019;;;;
8278;Apartment;Breukelen;2020;;;;
8279;Apartment;Breukelen;2021;;;;
8280;Apartment;Breukelen;2022;;;;
8281;Apartment;Brielle;2010;1200.0;2700.0;;
8282;Apartment;Brielle;2011;900.0;2650.0;;
8283;Apartment;Brielle;2012;1000.0;2500.0;;
8284;Apartment;Brielle;2013;950.0;2500.0;;
8285;Apartment;Brielle;2014;750.0;2450.0;;
8286;Apartment;Brielle;2015;860.0;2520.0;;
8287;Apartment;Brielle;2016;820.0;2470.0;;
8288;Apartment;Brielle;2017;780.0;2450.0;;
8289;Apartment;Brielle;2018;770.0;2430.0;;
8290;Apartment;Brielle;2019;720.0;2390.0;;
8291;Apartment;Brielle;2020;730.0;2350.0;;
8292;Apartment;Brielle;2021;720.0;2380.0;2370.0;
8293;Apartment;Brielle;2022;620.0;2330.0;2290.0;
8294;Apartment;Bronckhorst;2010;1200.0;2500.0;;
8295;Apartment;Bronckhorst;2011;950.0;2450.0;;
8296;Apartment;Bronckhorst;2012;1000.0;2500.0;;
8297;Apartment;Bronckhorst;2013;1000.0;2200.0;;
8298;Apartment;Bronckhorst;2014;800.0;2150.0;;
8299;Apartment;Bronckhorst;2015;1190.0;2700.0;;
8300;Apartment;Bronckhorst;2016;970.0;2180.0;;
8301;Apartment;Bronckhorst;2017;930.0;2170.0;;
8302;Apartment;Bronckhorst;2018;940.0;2120.0;;
8303;Apartment;Bronckhorst;2019;860.0;2080.0;;
8304;Apartment;Bronckhorst;2020;1060.0;2500.0;;
8305;Apartment;Bronckhorst;2021;1250.0;2640.0;2460.0;
8306;Apartment;Bronckhorst;2022;1040.0;2590.0;2220.0;
8307;Apartment;Brummen;2010;1300.0;2500.0;;
8308;Apartment;Brummen;2011;1050.0;2500.0;;
8309;Apartment;Brummen;2012;1100.0;2550.0;;
8310;Apartment;Brummen;2013;1050.0;2150.0;;
8311;Apartment;Brummen;2014;800.0;2050.0;;
8312;Apartment;Brummen;2015;930.0;2200.0;;
8313;Apartment;Brummen;2016;980.0;2210.0;;
8314;Apartment;Brummen;2017;950.0;2170.0;;
8315;Apartment;Brummen;2018;930.0;2140.0;;
8316;Apartment;Brummen;2019;890.0;2110.0;;
8317;Apartment;Brummen;2020;860.0;2020.0;;
8318;Apartment;Brummen;2021;950.0;2090.0;2030.0;
8319;Apartment;Brummen;2022;790.0;1990.0;1900.0;
8320;Apartment;Brunssum;2010;1250.0;2350.0;;
8321;Apartment;Brunssum;2011;950.0;2200.0;;
8322;Apartment;Brunssum;2012;1000.0;2250.0;;
8323;Apartment;Brunssum;2013;1150.0;2150.0;;
8324;Apartment;Brunssum;2014;850.0;2100.0;;
8325;Apartment;Brunssum;2015;940.0;2100.0;;
8326;Apartment;Brunssum;2016;940.0;2080.0;;
8327;Apartment;Brunssum;2017;910.0;2070.0;;
8328;Apartment;Brunssum;2018;920.0;2050.0;;
8329;Apartment;Brunssum;2019;840.0;2030.0;;
8330;Apartment;Brunssum;2020;790.0;2040.0;;
8331;Apartment;Brunssum;2021;880.0;2040.0;2020.0;
8332;Apartment;Brunssum;2022;700.0;2030.0;2010.0;
8333;Apartment;Bunnik;2010;1200.0;2200.0;;
8334;Apartment;Bunnik;2011;900.0;2050.0;;
8335;Apartment;Bunnik;2012;950.0;2050.0;;
8336;Apartment;Bunnik;2013;1000.0;1950.0;;
8337;Apartment;Bunnik;2014;750.0;1850.0;;
8338;Apartment;Bunnik;2015;790.0;1870.0;;
8339;Apartment;Bunnik;2016;800.0;1840.0;;
8340;Apartment;Bunnik;2017;770.0;1850.0;;
8341;Apartment;Bunnik;2018;770.0;1920.0;;
8342;Apartment;Bunnik;2019;710.0;1830.0;;
8343;Apartment;Bunnik;2020;710.0;1880.0;;
8344;Apartment;Bunnik;2021;770.0;1950.0;1900.0;
8345;Apartment;Bunnik;2022;620.0;1900.0;1810.0;
8346;Apartment;Bunschoten;2010;1100.0;2400.0;;
8347;Apartment;Bunschoten;2011;850.0;2400.0;;
8348;Apartment;Bunschoten;2012;900.0;2400.0;;
8349;Apartment;Bunschoten;2013;900.0;2300.0;;
8350;Apartment;Bunschoten;2014;650.0;2200.0;;
8351;Apartment;Bunschoten;2015;750.0;2200.0;;
8352;Apartment;Bunschoten;2016;760.0;2190.0;;
8353;Apartment;Bunschoten;2017;730.0;2170.0;;
8354;Apartment;Bunschoten;2018;760.0;2130.0;;
8355;Apartment;Bunschoten;2019;700.0;2070.0;;
8356;Apartment;Bunschoten;2020;680.0;2000.0;;
8357;Apartment;Bunschoten;2021;760.0;2110.0;2080.0;
8358;Apartment;Bunschoten;2022;610.0;2140.0;2110.0;
8359;Apartment;Buren;2010;1200.0;2250.0;;
8360;Apartment;Buren;2011;950.0;2250.0;;
8361;Apartment;Buren;2012;1000.0;2600.0;;
8362;Apartment;Buren;2013;900.0;2200.0;;
8363;Apartment;Buren;2014;650.0;2100.0;;
8364;Apartment;Buren;2015;990.0;2470.0;;
8365;Apartment;Buren;2016;770.0;2050.0;;
8366;Apartment;Buren;2017;740.0;2090.0;;
8367;Apartment;Buren;2018;760.0;2060.0;;
8368;Apartment;Buren;2019;710.0;2060.0;;
8369;Apartment;Buren;2020;960.0;2500.0;;
8370;Apartment;Buren;2021;1060.0;2580.0;2430.0;
8371;Apartment;Buren;2022;880.0;2460.0;2190.0;
8372;Apartment;Bussum;2010;1350.0;2150.0;;
8373;Apartment;Bussum;2011;1050.0;2200.0;;
8374;Apartment;Bussum;2012;1200.0;2250.0;;
8375;Apartment;Bussum;2013;1200.0;2150.0;;
8376;Apartment;Bussum;2014;900.0;2100.0;;
8377;Apartment;Bussum;2015;960.0;2060.0;;
8378;Apartment;Bussum;2016;;;;
8379;Apartment;Bussum;2017;;;;
8380;Apartment;Bussum;2018;;;;
8381;Apartment;Bussum;2019;;;;
8382;Apartment;Bussum;2020;;;;
8383;Apartment;Bussum;2021;;;;
8384;Apartment;Bussum;2022;;;;
8385;Apartment;Capelle aan den IJssel;2010;950.0;2550.0;;
8386;Apartment;Capelle aan den IJssel;2011;700.0;2500.0;;
8387;Apartment;Capelle aan den IJssel;2012;750.0;2500.0;;
8388;Apartment;Capelle aan den IJssel;2013;600.0;2400.0;;
8389;Apartment;Capelle aan den IJssel;2014;600.0;2400.0;;
8390;Apartment;Capelle aan den IJssel;2015;630.0;2370.0;;
8391;Apartment;Capelle aan den IJssel;2016;690.0;2350.0;;
8392;Apartment;Capelle aan den IJssel;2017;660.0;2330.0;;
8393;Apartment;Capelle aan den IJssel;2018;650.0;2300.0;;
8394;Apartment;Capelle aan den IJssel;2019;610.0;2250.0;;
8395;Apartment;Capelle aan den IJssel;2020;610.0;2200.0;;
8396;Apartment;Capelle aan den IJssel;2021;640.0;2230.0;2210.0;
8397;Apartment;Capelle aan den IJssel;2022;500.0;2140.0;2110.0;
8398;Apartment;Castricum;2010;1250.0;1950.0;;
8399;Apartment;Castricum;2011;900.0;2000.0;;
8400;Apartment;Castricum;2012;950.0;2000.0;;
8401;Apartment;Castricum;2013;900.0;1950.0;;
8402;Apartment;Castricum;2014;700.0;1950.0;;
8403;Apartment;Castricum;2015;760.0;1880.0;;
8404;Apartment;Castricum;2016;860.0;1860.0;;
8405;Apartment;Castricum;2017;820.0;1850.0;;
8406;Apartment;Castricum;2018;830.0;1820.0;;
8407;Apartment;Castricum;2019;780.0;1780.0;;
8408;Apartment;Castricum;2020;740.0;1740.0;;
8409;Apartment;Castricum;2021;840.0;1790.0;1660.0;
8410;Apartment;Castricum;2022;660.0;1700.0;1530.0;
8411;Apartment;Coevorden;2010;1300.0;2000.0;;
8412;Apartment;Coevorden;2011;1050.0;1950.0;;
8413;Apartment;Coevorden;2012;1150.0;2050.0;;
8414;Apartment;Coevorden;2013;1200.0;2050.0;;
8415;Apartment;Coevorden;2014;950.0;2000.0;;
8416;Apartment;Coevorden;2015;1070.0;2110.0;;
8417;Apartment;Coevorden;2016;1080.0;2010.0;;
8418;Apartment;Coevorden;2017;1010.0;1980.0;;
8419;Apartment;Coevorden;2018;1000.0;1920.0;;
8420;Apartment;Coevorden;2019;920.0;1910.0;;
8421;Apartment;Coevorden;2020;890.0;1920.0;;
8422;Apartment;Coevorden;2021;1030.0;1970.0;1820.0;
8423;Apartment;Coevorden;2022;840.0;1890.0;1700.0;
8424;Apartment;Cranendonck;2010;1350.0;2350.0;;
8425;Apartment;Cranendonck;2011;1100.0;2450.0;;
8426;Apartment;Cranendonck;2012;1100.0;2450.0;;
8427;Apartment;Cranendonck;2013;1100.0;2250.0;;
8428;Apartment;Cranendonck;2014;800.0;2150.0;;
8429;Apartment;Cranendonck;2015;910.0;2310.0;;
8430;Apartment;Cranendonck;2016;890.0;2180.0;;
8431;Apartment;Cranendonck;2017;870.0;2100.0;;
8432;Apartment;Cranendonck;2018;870.0;2090.0;;
8433;Apartment;Cranendonck;2019;850.0;2110.0;;
8434;Apartment;Cranendonck;2020;880.0;2210.0;;
8435;Apartment;Cranendonck;2021;1030.0;2250.0;2130.0;
8436;Apartment;Cranendonck;2022;810.0;2170.0;1960.0;
8437;Apartment;Cromstrijen;2010;1250.0;2650.0;;
8438;Apartment;Cromstrijen;2011;900.0;2400.0;;
8439;Apartment;Cromstrijen;2012;1250.0;2600.0;;
8440;Apartment;Cromstrijen;2013;1100.0;2100.0;;
8441;Apartment;Cromstrijen;2014;850.0;2050.0;;
8442;Apartment;Cromstrijen;2015;860.0;2020.0;;
8443;Apartment;Cromstrijen;2016;880.0;1960.0;;
8444;Apartment;Cromstrijen;2017;840.0;1920.0;;
8445;Apartment;Cromstrijen;2018;860.0;1940.0;;
8446;Apartment;Cromstrijen;2019;;;;
8447;Apartment;Cromstrijen;2020;;;;
8448;Apartment;Cromstrijen;2021;;;;
8449;Apartment;Cromstrijen;2022;;;;
8450;Apartment;Cuijk;2010;1150.0;2150.0;;
8451;Apartment;Cuijk;2011;850.0;2200.0;;
8452;Apartment;Cuijk;2012;900.0;2150.0;;
8453;Apartment;Cuijk;2013;950.0;2100.0;;
8454;Apartment;Cuijk;2014;700.0;2050.0;;
8455;Apartment;Cuijk;2015;780.0;2020.0;;
8456;Apartment;Cuijk;2016;820.0;2000.0;;
8457;Apartment;Cuijk;2017;780.0;1980.0;;
8458;Apartment;Cuijk;2018;810.0;1970.0;;
8459;Apartment;Cuijk;2019;810.0;1920.0;;
8460;Apartment;Cuijk;2020;720.0;1910.0;;
8461;Apartment;Cuijk;2021;780.0;1960.0;1870.0;
8462;Apartment;Cuijk;2022;;;;
8463;Apartment;Culemborg;2010;950.0;2200.0;;
8464;Apartment;Culemborg;2011;750.0;2200.0;;
8465;Apartment;Culemborg;2012;800.0;2200.0;;
8466;Apartment;Culemborg;2013;850.0;2100.0;;
8467;Apartment;Culemborg;2014;650.0;2100.0;;
8468;Apartment;Culemborg;2015;690.0;2090.0;;
8469;Apartment;Culemborg;2016;710.0;2010.0;;
8470;Apartment;Culemborg;2017;690.0;2010.0;;
8471;Apartment;Culemborg;2018;680.0;1990.0;;
8472;Apartment;Culemborg;2019;640.0;1950.0;;
8473;Apartment;Culemborg;2020;640.0;1980.0;;
8474;Apartment;Culemborg;2021;720.0;2030.0;2000.0;
8475;Apartment;Culemborg;2022;580.0;1910.0;1860.0;
8476;Apartment;Dalfsen;2010;1300.0;2250.0;;
8477;Apartment;Dalfsen;2011;950.0;2150.0;;
8478;Apartment;Dalfsen;2012;1050.0;2150.0;;
8479;Apartment;Dalfsen;2013;1050.0;2000.0;;
8480;Apartment;Dalfsen;2014;750.0;1900.0;;
8481;Apartment;Dalfsen;2015;970.0;2150.0;;
8482;Apartment;Dalfsen;2016;930.0;1920.0;;
8483;Apartment;Dalfsen;2017;880.0;1890.0;;
8484;Apartment;Dalfsen;2018;910.0;1910.0;;
8485;Apartment;Dalfsen;2019;840.0;1920.0;;
8486;Apartment;Dalfsen;2020;870.0;2040.0;;
8487;Apartment;Dalfsen;2021;1000.0;2190.0;2000.0;
8488;Apartment;Dalfsen;2022;830.0;2120.0;1840.0;
8489;Apartment;Dantumadiel;2010;1250.0;1650.0;;
8490;Apartment;Dantumadiel;2011;1000.0;1850.0;;
8491;Apartment;Dantumadiel;2012;1050.0;1850.0;;
8492;Apartment;Dantumadiel;2013;1050.0;1550.0;;
8493;Apartment;Dantumadiel;2014;800.0;1600.0;;
8494;Apartment;Dantumadiel;2015;1000.0;1740.0;;
8495;Apartment;Dantumadiel;2016;1000.0;1630.0;;
8496;Apartment;Dantumadiel;2017;960.0;1630.0;;
8497;Apartment;Dantumadiel;2018;940.0;1560.0;;
8498;Apartment;Dantumadiel;2019;970.0;1540.0;;
8499;Apartment;Dantumadiel;2020;830.0;1670.0;;
8500;Apartment;Dantumadiel;2021;950.0;1790.0;1750.0;
8501;Apartment;Dantumadiel;2022;780.0;1680.0;1600.0;
8502;Apartment;Delft;2010;1300.0;2400.0;;
8503;Apartment;Delft;2011;1000.0;2350.0;;
8504;Apartment;Delft;2012;1150.0;2350.0;;
8505;Apartment;Delft;2013;1050.0;2300.0;;
8506;Apartment;Delft;2014;850.0;2250.0;;
8507;Apartment;Delft;2015;880.0;2230.0;;
8508;Apartment;Delft;2016;900.0;2210.0;;
8509;Apartment;Delft;2017;850.0;2190.0;;
8510;Apartment;Delft;2018;830.0;2160.0;;
8511;Apartment;Delft;2019;760.0;2120.0;;
8512;Apartment;Delft;2020;740.0;2070.0;;
8513;Apartment;Delft;2021;830.0;2190.0;2170.0;
8514;Apartment;Delft;2022;640.0;2090.0;2070.0;
8515;Apartment;Delfzijl;2010;1450.0;2000.0;;
8516;Apartment;Delfzijl;2011;1100.0;1950.0;;
8517;Apartment;Delfzijl;2012;1400.0;1950.0;;
8518;Apartment;Delfzijl;2013;1250.0;1900.0;;
8519;Apartment;Delfzijl;2014;950.0;1850.0;;
8520;Apartment;Delfzijl;2015;1020.0;1790.0;;
8521;Apartment;Delfzijl;2016;1090.0;1780.0;;
8522;Apartment;Delfzijl;2017;1020.0;1750.0;;
8523;Apartment;Delfzijl;2018;1040.0;1720.0;;
8524;Apartment;Delfzijl;2019;940.0;1700.0;;
8525;Apartment;Delfzijl;2020;900.0;1740.0;;
8526;Apartment;Delfzijl;2021;;;;
8527;Apartment;Delfzijl;2022;;;;
8528;Apartment;Deurne;2010;1150.0;2550.0;;
8529;Apartment;Deurne;2011;900.0;2450.0;;
8530;Apartment;Deurne;2012;950.0;2400.0;;
8531;Apartment;Deurne;2013;1000.0;2300.0;;
8532;Apartment;Deurne;2014;750.0;2300.0;;
8533;Apartment;Deurne;2015;880.0;2370.0;;
8534;Apartment;Deurne;2016;860.0;2210.0;;
8535;Apartment;Deurne;2017;860.0;2180.0;;
8536;Apartment;Deurne;2018;840.0;2180.0;;
8537;Apartment;Deurne;2019;790.0;2130.0;;
8538;Apartment;Deurne;2020;810.0;2220.0;;
8539;Apartment;Deurne;2021;870.0;2280.0;2220.0;
8540;Apartment;Deurne;2022;670.0;2180.0;2070.0;
8541;Apartment;Deventer;2010;1200.0;2300.0;;
8542;Apartment;Deventer;2011;950.0;2250.0;;
8543;Apartment;Deventer;2012;1000.0;2300.0;;
8544;Apartment;Deventer;2013;1100.0;2250.0;;
8545;Apartment;Deventer;2014;800.0;2150.0;;
8546;Apartment;Deventer;2015;770.0;2110.0;;
8547;Apartment;Deventer;2016;810.0;2050.0;;
8548;Apartment;Deventer;2017;770.0;2010.0;;
8549;Apartment;Deventer;2018;720.0;1970.0;;
8550;Apartment;Deventer;2019;700.0;1930.0;;
8551;Apartment;Deventer;2020;680.0;1910.0;;
8552;Apartment;Deventer;2021;780.0;1980.0;1940.0;
8553;Apartment;Deventer;2022;640.0;1910.0;1850.0;
8554;Apartment;Diemen;2010;1350.0;2600.0;;
8555;Apartment;Diemen;2011;1050.0;2550.0;;
8556;Apartment;Diemen;2012;1150.0;2600.0;;
8557;Apartment;Diemen;2013;1200.0;2500.0;;
8558;Apartment;Diemen;2014;900.0;2450.0;;
8559;Apartment;Diemen;2015;870.0;2400.0;;
8560;Apartment;Diemen;2016;930.0;2350.0;;
8561;Apartment;Diemen;2017;760.0;2320.0;;
8562;Apartment;Diemen;2018;730.0;2240.0;;
8563;Apartment;Diemen;2019;520.0;2130.0;;
8564;Apartment;Diemen;2020;530.0;2190.0;;
8565;Apartment;Diemen;2021;650.0;2060.0;2040.0;
8566;Apartment;Diemen;2022;530.0;1940.0;1910.0;
8567;Apartment;Dijk en Waard;2010;;;;
8568;Apartment;Dijk en Waard;2011;;;;
8569;Apartment;Dijk en Waard;2012;;;;
8570;Apartment;Dijk en Waard;2013;;;;
8571;Apartment;Dijk en Waard;2014;;;;
8572;Apartment;Dijk en Waard;2015;;;;
8573;Apartment;Dijk en Waard;2016;;;;
8574;Apartment;Dijk en Waard;2017;;;;
8575;Apartment;Dijk en Waard;2018;;;;
8576;Apartment;Dijk en Waard;2019;;;;
8577;Apartment;Dijk en Waard;2020;;;;
8578;Apartment;Dijk en Waard;2021;;;;
8579;Apartment;Dijk en Waard;2022;470.0;1870.0;1770.0;
8580;Apartment;Dinkelland;2010;1400.0;2250.0;;
8581;Apartment;Dinkelland;2011;1000.0;2150.0;;
8582;Apartment;Dinkelland;2012;1150.0;2300.0;;
8583;Apartment;Dinkelland;2013;1200.0;2050.0;;
8584;Apartment;Dinkelland;2014;850.0;2050.0;;
8585;Apartment;Dinkelland;2015;1210.0;2620.0;;
8586;Apartment;Dinkelland;2016;1060.0;2180.0;;
8587;Apartment;Dinkelland;2017;1040.0;2110.0;;
8588;Apartment;Dinkelland;2018;1070.0;2060.0;;
8589;Apartment;Dinkelland;2019;880.0;2020.0;;
8590;Apartment;Dinkelland;2020;910.0;2270.0;;
8591;Apartment;Dinkelland;2021;1090.0;2440.0;2250.0;
8592;Apartment;Dinkelland;2022;920.0;2410.0;2080.0;
8593;Apartment;Dirksland;2010;1350.0;2050.0;;
8594;Apartment;Dirksland;2011;1000.0;2050.0;;
8595;Apartment;Dirksland;2012;900.0;2050.0;;
8596;Apartment;Dirksland;2013;;;;
8597;Apartment;Dirksland;2014;;;;
8598;Apartment;Dirksland;2015;;;;
8599;Apartment;Dirksland;2016;;;;
8600;Apartment;Dirksland;2017;;;;
8601;Apartment;Dirksland;2018;;;;
8602;Apartment;Dirksland;2019;;;;
8603;Apartment;Dirksland;2020;;;;
8604;Apartment;Dirksland;2021;;;;
8605;Apartment;Dirksland;2022;;;;
8606;Apartment;Doesburg;2010;1200.0;2200.0;;
8607;Apartment;Doesburg;2011;900.0;2300.0;;
8608;Apartment;Doesburg;2012;950.0;2300.0;;
8609;Apartment;Doesburg;2013;1000.0;2150.0;;
8610;Apartment;Doesburg;2014;750.0;2100.0;;
8611;Apartment;Doesburg;2015;640.0;2070.0;;
8612;Apartment;Doesburg;2016;700.0;2050.0;;
8613;Apartment;Doesburg;2017;700.0;2080.0;;
8614;Apartment;Doesburg;2018;680.0;2050.0;;
8615;Apartment;Doesburg;2019;690.0;2010.0;;
8616;Apartment;Doesburg;2020;670.0;2040.0;;
8617;Apartment;Doesburg;2021;770.0;2040.0;2040.0;
8618;Apartment;Doesburg;2022;630.0;1930.0;1930.0;
8619;Apartment;Doetinchem;2010;1250.0;2150.0;;
8620;Apartment;Doetinchem;2011;950.0;2150.0;;
8621;Apartment;Doetinchem;2012;1050.0;2050.0;;
8622;Apartment;Doetinchem;2013;1100.0;2050.0;;
8623;Apartment;Doetinchem;2014;800.0;1950.0;;
8624;Apartment;Doetinchem;2015;910.0;2000.0;;
8625;Apartment;Doetinchem;2016;880.0;1940.0;;
8626;Apartment;Doetinchem;2017;860.0;1930.0;;
8627;Apartment;Doetinchem;2018;830.0;1900.0;;
8628;Apartment;Doetinchem;2019;790.0;1870.0;;
8629;Apartment;Doetinchem;2020;780.0;1960.0;;
8630;Apartment;Doetinchem;2021;870.0;2000.0;1940.0;
8631;Apartment;Doetinchem;2022;710.0;1920.0;1830.0;
8632;Apartment;Dongen;2010;1200.0;2500.0;;
8633;Apartment;Dongen;2011;850.0;2450.0;;
8634;Apartment;Dongen;2012;950.0;2450.0;;
8635;Apartment;Dongen;2013;950.0;2350.0;;
8636;Apartment;Dongen;2014;700.0;2250.0;;
8637;Apartment;Dongen;2015;760.0;2250.0;;
8638;Apartment;Dongen;2016;810.0;2230.0;;
8639;Apartment;Dongen;2017;800.0;2220.0;;
8640;Apartment;Dongen;2018;790.0;2200.0;;
8641;Apartment;Dongen;2019;760.0;2150.0;;
8642;Apartment;Dongen;2020;730.0;2130.0;;
8643;Apartment;Dongen;2021;770.0;2130.0;2010.0;
8644;Apartment;Dongen;2022;570.0;2060.0;1940.0;
8645;Apartment;Dongeradeel;2010;1300.0;1900.0;;
8646;Apartment;Dongeradeel;2011;1000.0;1850.0;;
8647;Apartment;Dongeradeel;2012;1050.0;1950.0;;
8648;Apartment;Dongeradeel;2013;1150.0;1800.0;;
8649;Apartment;Dongeradeel;2014;850.0;1750.0;;
8650;Apartment;Dongeradeel;2015;1000.0;1820.0;;
8651;Apartment;Dongeradeel;2016;920.0;1710.0;;
8652;Apartment;Dongeradeel;2017;880.0;1730.0;;
8653;Apartment;Dongeradeel;2018;890.0;1700.0;;
8654;Apartment;Dongeradeel;2019;;;;
8655;Apartment;Dongeradeel;2020;;;;
8656;Apartment;Dongeradeel;2021;;;;
8657;Apartment;Dongeradeel;2022;;;;
8658;Apartment;Dordrecht;2010;1350.0;2250.0;;
8659;Apartment;Dordrecht;2011;1050.0;2250.0;;
8660;Apartment;Dordrecht;2012;1100.0;2200.0;;
8661;Apartment;Dordrecht;2013;1150.0;2150.0;;
8662;Apartment;Dordrecht;2014;850.0;2100.0;;
8663;Apartment;Dordrecht;2015;930.0;2090.0;;
8664;Apartment;Dordrecht;2016;960.0;2070.0;;
8665;Apartment;Dordrecht;2017;920.0;2030.0;;
8666;Apartment;Dordrecht;2018;910.0;2010.0;;
8667;Apartment;Dordrecht;2019;800.0;1970.0;;
8668;Apartment;Dordrecht;2020;760.0;1990.0;;
8669;Apartment;Dordrecht;2021;840.0;2050.0;2040.0;
8670;Apartment;Dordrecht;2022;670.0;1960.0;1950.0;
8671;Apartment;Drechterland;2010;950.0;2100.0;;
8672;Apartment;Drechterland;2011;750.0;2100.0;;
8673;Apartment;Drechterland;2012;800.0;2150.0;;
8674;Apartment;Drechterland;2013;900.0;1850.0;;
8675;Apartment;Drechterland;2014;700.0;1850.0;;
8676;Apartment;Drechterland;2015;780.0;1860.0;;
8677;Apartment;Drechterland;2016;730.0;1770.0;;
8678;Apartment;Drechterland;2017;720.0;1730.0;;
8679;Apartment;Drechterland;2018;740.0;1710.0;;
8680;Apartment;Drechterland;2019;730.0;1760.0;;
8681;Apartment;Drechterland;2020;740.0;1860.0;;
8682;Apartment;Drechterland;2021;750.0;1930.0;1710.0;
8683;Apartment;Drechterland;2022;610.0;1870.0;1590.0;
8684;Apartment;Drimmelen;2010;1300.0;2350.0;;
8685;Apartment;Drimmelen;2011;950.0;2350.0;;
8686;Apartment;Drimmelen;2012;1050.0;2300.0;;
8687;Apartment;Drimmelen;2013;1050.0;2100.0;;
8688;Apartment;Drimmelen;2014;750.0;2100.0;;
8689;Apartment;Drimmelen;2015;900.0;2250.0;;
8690;Apartment;Drimmelen;2016;880.0;2090.0;;
8691;Apartment;Drimmelen;2017;830.0;2110.0;;
8692;Apartment;Drimmelen;2018;850.0;2110.0;;
8693;Apartment;Drimmelen;2019;800.0;2080.0;;
8694;Apartment;Drimmelen;2020;790.0;2100.0;;
8695;Apartment;Drimmelen;2021;850.0;2190.0;2110.0;
8696;Apartment;Drimmelen;2022;670.0;2120.0;2030.0;
8697;Apartment;Dronten;2010;1000.0;2350.0;;
8698;Apartment;Dronten;2011;800.0;2400.0;;
