ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
2135;Dwellings;Remaining production of buildings;2019 4th quarter;8085.0
2136;Dwellings;Remaining production of buildings;2019;8085.0
2137;Dwellings;Remaining production of buildings;2020 January;8164.0
2138;Dwellings;Remaining production of buildings;2020 February;8204.0
2139;Dwellings;Remaining production of buildings;2020 March;8005.0
2140;Dwellings;Remaining production of buildings;2020 1st quarter;8005.0
2141;Dwellings;Remaining production of buildings;2020 April;8069.0
2142;Dwellings;Remaining production of buildings;2020 May;8274.0
2143;Dwellings;Remaining production of buildings;2020 June;8264.0
2144;Dwellings;Remaining production of buildings;2020 2nd quarter;8264.0
2145;Dwellings;Remaining production of buildings;2020 July;8356.0
2146;Dwellings;Remaining production of buildings;2020 August;8924.0
2147;Dwellings;Remaining production of buildings;2020 September;8733.0
2148;Dwellings;Remaining production of buildings;2020 3rd quarter;8733.0
2149;Dwellings;Remaining production of buildings;2020 October;8620.0
2150;Dwellings;Remaining production of buildings;2020 November;8830.0
2151;Dwellings;Remaining production of buildings;2020 December;9175.0
2152;Dwellings;Remaining production of buildings;2020 4th quarter;9175.0
2153;Dwellings;Remaining production of buildings;2020;9175.0
2154;Dwellings;Remaining production of buildings;2021 January;9471.0
2155;Dwellings;Remaining production of buildings;2021 February;9657.0
2156;Dwellings;Remaining production of buildings;2021 March;9331.0
2157;Dwellings;Remaining production of buildings;2021 1st quarter;9331.0
2158;Dwellings;Remaining production of buildings;2021 April;9750.0
2159;Dwellings;Remaining production of buildings;2021 May;10316.0
2160;Dwellings;Remaining production of buildings;2021 June;10395.0
2161;Dwellings;Remaining production of buildings;2021 2nd quarter;10395.0
2162;Dwellings;Remaining production of buildings;2021 July;10482.0
2163;Dwellings;Remaining production of buildings;2021 August;11347.0
2164;Dwellings;Remaining production of buildings;2021 September;10908.0
2165;Dwellings;Remaining production of buildings;2021 3rd quarter;10908.0
2166;Dwellings;Remaining production of buildings;2021 October;10774.0
2167;Dwellings;Remaining production of buildings;2021 November;10652.0
2168;Dwellings;Remaining production of buildings;2021 December;10965.0
2169;Dwellings;Remaining production of buildings;2021 4th quarter;10965.0
2170;Dwellings;Remaining production of buildings;2021;10965.0
2171;Dwellings;Remaining production of buildings;2022 January;11197.0
2172;Dwellings;Remaining production of buildings;2022 February;11168.0
2173;Dwellings;Remaining production of buildings;2022 March;10719.0
2174;Dwellings;Remaining production of buildings;2022 1st quarter;10719.0
2175;Dwellings;Remaining production of buildings;2022 April;11007.0
2176;Dwellings;Remaining production of buildings;2022 May;10944.0
2177;Dwellings;Remaining production of buildings;2022 June;10756.0
2178;Dwellings;Remaining production of buildings;2022 2nd quarter;10756.0
2179;Dwellings;Remaining production of buildings;2022 July;10810.0
2180;Dwellings;Remaining production of buildings;2022 August;11628.0
2181;Dwellings;Remaining production of buildings;2022 September;11240.0
2182;Dwellings;Remaining production of buildings;2022 3rd quarter;11240.0
2183;Dwellings;Remaining production of buildings;2022 October;11153.0
2184;Dwellings;Remaining production of buildings;2022 November;11294.0
2185;Dwellings;Remaining production of buildings;2022 December;11544.0
2186;Dwellings;Remaining production of buildings;2022 4th quarter;11544.0
2187;Dwellings;Remaining production of buildings;2022;11544.0
2188;Dwellings;Remaining production of buildings;2023 January;11540.0
2189;Dwellings;Remaining production of buildings;2023 February;11285.0
2190;Dwellings;Remaining production of buildings;2023 March;10964.0
2191;Dwellings;Remaining production of buildings;2023 1st quarter;10964.0
2192;Dwellings;Remaining production of buildings;2023 April;10986.0
2193;Dwellings;Remaining production of buildings;2023 May;11176.0
2194;Dwellings;Remaining production of buildings;2023 June;10814.0
2195;Dwellings;Remaining production of buildings;2023 2nd quarter;10814.0
2196;Dwellings;Remaining production of buildings;2023 July;10968.0
2197;Dwellings;Remaining production of buildings;2023 August;11376.0
2198;Dwellings;Remaining production of buildings;2023 September;10994.0
2199;Dwellings;Remaining production of buildings;2023 3rd quarter;10994.0
2200;Dwellings;Remaining production of buildings;2023 October;10729.0
2201;Dwellings;Remaining production of buildings;2023 November;10755.0
2202;Dwellings;Remaining production of buildings;2023 December;10961.0
2203;Dwellings;Remaining production of buildings;2023 4th quarter;10961.0
2204;Dwellings;Remaining production of buildings;2023;10961.0
2205;Dwellings;Remaining production of buildings;2024 January;11040.0
2206;Dwellings;Remaining production of buildings;2024 February;10680.0
2207;Dwellings;Remaining production of buildings;2024 March;10819.0
2208;Dwellings;Remaining production of buildings;2024 1st quarter;10819.0
2209;Dwellings;Remaining production of buildings;2024 April;11090.0
2210;Dwellings;Remaining production of buildings;2024 May;11176.0
2211;Dwellings;Remaining production of buildings;2024 June;11693.0
2212;Dwellings;Remaining production of buildings;2024 2nd quarter;11693.0
2213;Dwellings;Remaining production of buildings;2024 July;11732.0
2214;Dwellings;Remaining production of buildings;2024 August;12462.0
2215;Dwellings;Remaining production of buildings;2024 September;12004.0
2216;Dwellings;Remaining production of buildings;2024 3rd quarter;12004.0
2217;Dwellings;Remaining production of buildings;2024 October;11447.0
2218;Dwellings;Remaining production of buildings;2024 November;11449.0
2219;Dwellings;Remaining production of buildings;2024 December;11904.0
2220;Dwellings;Remaining production of buildings;2024 4th quarter;11904.0
2221;Dwellings;Remaining production of buildings;2024;11904.0
2222;Dwellings;Remaining production of buildings;2025 January;12116.0
2223;Dwellings;Building projects completed;2015 January;331.0
2224;Dwellings;Building projects completed;2015 February;529.0
2225;Dwellings;Building projects completed;2015 March;612.0
2226;Dwellings;Building projects completed;2015 1st quarter;1472.0
2227;Dwellings;Building projects completed;2015 April;557.0
2228;Dwellings;Building projects completed;2015 May;442.0
2229;Dwellings;Building projects completed;2015 June;501.0
2230;Dwellings;Building projects completed;2015 2nd quarter;1500.0
2231;Dwellings;Building projects completed;2015 July;415.0
2232;Dwellings;Building projects completed;2015 August;219.0
2233;Dwellings;Building projects completed;2015 September;541.0
2234;Dwellings;Building projects completed;2015 3rd quarter;1175.0
2235;Dwellings;Building projects completed;2015 October;515.0
2236;Dwellings;Building projects completed;2015 November;651.0
2237;Dwellings;Building projects completed;2015 December;452.0
2238;Dwellings;Building projects completed;2015 4th quarter;1619.0
2239;Dwellings;Building projects completed;2015;5765.0
2240;Dwellings;Building projects completed;2016 January;621.0
2241;Dwellings;Building projects completed;2016 February;558.0
2242;Dwellings;Building projects completed;2016 March;546.0
2243;Dwellings;Building projects completed;2016 1st quarter;1726.0
2244;Dwellings;Building projects completed;2016 April;671.0
2245;Dwellings;Building projects completed;2016 May;575.0
2246;Dwellings;Building projects completed;2016 June;723.0
2247;Dwellings;Building projects completed;2016 2nd quarter;1970.0
2248;Dwellings;Building projects completed;2016 July;663.0
2249;Dwellings;Building projects completed;2016 August;265.0
2250;Dwellings;Building projects completed;2016 September;708.0
2251;Dwellings;Building projects completed;2016 3rd quarter;1637.0
2252;Dwellings;Building projects completed;2016 October;521.0
2253;Dwellings;Building projects completed;2016 November;761.0
2254;Dwellings;Building projects completed;2016 December;566.0
2255;Dwellings;Building projects completed;2016 4th quarter;1849.0
2256;Dwellings;Building projects completed;2016;7181.0
2257;Dwellings;Building projects completed;2017 January;378.0
2258;Dwellings;Building projects completed;2017 February;561.0
2259;Dwellings;Building projects completed;2017 March;706.0
2260;Dwellings;Building projects completed;2017 1st quarter;1645.0
2261;Dwellings;Building projects completed;2017 April;620.0
2262;Dwellings;Building projects completed;2017 May;724.0
2263;Dwellings;Building projects completed;2017 June;643.0
2264;Dwellings;Building projects completed;2017 2nd quarter;1987.0
2265;Dwellings;Building projects completed;2017 July;590.0
2266;Dwellings;Building projects completed;2017 August;383.0
2267;Dwellings;Building projects completed;2017 September;833.0
2268;Dwellings;Building projects completed;2017 3rd quarter;1806.0
2269;Dwellings;Building projects completed;2017 October;853.0
2270;Dwellings;Building projects completed;2017 November;801.0
2271;Dwellings;Building projects completed;2017 December;546.0
2272;Dwellings;Building projects completed;2017 4th quarter;2199.0
2273;Dwellings;Building projects completed;2017;7637.0
2274;Dwellings;Building projects completed;2018 January;935.0
2275;Dwellings;Building projects completed;2018 February;709.0
2276;Dwellings;Building projects completed;2018 March;684.0
2277;Dwellings;Building projects completed;2018 1st quarter;2328.0
2278;Dwellings;Building projects completed;2018 April;852.0
2279;Dwellings;Building projects completed;2018 May;923.0
2280;Dwellings;Building projects completed;2018 June;1025.0
2281;Dwellings;Building projects completed;2018 2nd quarter;2799.0
2282;Dwellings;Building projects completed;2018 July;825.0
2283;Dwellings;Building projects completed;2018 August;411.0
2284;Dwellings;Building projects completed;2018 September;858.0
2285;Dwellings;Building projects completed;2018 3rd quarter;2093.0
2286;Dwellings;Building projects completed;2018 October;959.0
2287;Dwellings;Building projects completed;2018 November;1049.0
2288;Dwellings;Building projects completed;2018 December;653.0
2289;Dwellings;Building projects completed;2018 4th quarter;2661.0
2290;Dwellings;Building projects completed;2018;9882.0
2291;Dwellings;Building projects completed;2019 January;798.0
