ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
7744;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2007;2266;1659;2874;27.0;0;;2581;2055;3107;20.0;1;
7745;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2008;2572;1887;3257;27.0;0;;2587;2085;3089;19.0;1;9.0
7746;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2009;2034;1566;2502;23.0;0;;2088;1684;2492;19.0;0;1.0
7747;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2010;2458;1920;2995;22.0;0;;2582;2031;3134;21.0;1;5.0
7748;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2011;1989;1472;2507;26.0;0;;2528;2133;2924;16.0;1;9.0
7749;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2012;1640;1276;2003;22.0;0;;1914;1657;2171;13.0;0;1.0
7750;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2013;1875;1331;2418;29.0;0;;3291;2759;3824;16.0;1;5.0
7751;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2014;1988;1545;2430;22.0;0;;3323;2796;3850;16.0;1;9.0
7752;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2015;2909;2221;3596;24.0;0;;3578;2962;4193;17.0;1;9.0
7753;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2016;2666;2068;3265;22.0;0;;3512;2986;4038;15.0;1;9.0
7754;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Europe;2017;2844;2236;3452;21.0;0;;5256;4313;6199;18.0;1;5.0
7755;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2007;71;0;144;;0;;33;12;53;63.0;0;
7756;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2008;43;0;87;;0;;24;6;42;76.0;0;9.0
7757;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2009;39;0;78;;0;;20;6;34;70.0;0;9.0
7758;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2010;39;1;76;96.0;0;;20;6;34;71.0;0;9.0
7759;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2011;131;18;243;86.0;0;;52;38;67;28.0;0;5.0
7760;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2012;134;16;253;88.0;0;;72;52;92;28.0;0;5.0
7761;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2013;153;18;288;88.0;0;;63;47;80;26.0;0;9.0
7762;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2014;122;15;229;88.0;0;;79;56;101;28.0;0;9.0
7763;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2015;124;17;230;86.0;0;;54;37;70;30.0;0;1.0
7764;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2016;173;32;315;82.0;0;;48;38;57;21.0;0;9.0
7765;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Oceania;2017;219;37;400;83.0;0;;78;61;95;21.0;0;5.0
7766;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
7767;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
7768;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
7769;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
7770;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2011;1;0;2;63.0;0;;1;1;2;27.0;0;
7771;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2012;1;0;1;61.0;0;;1;1;1;20.0;0;9.0
7772;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2013;2;1;3;62.0;0;;2;1;2;19.0;0;5.0
7773;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2014;9;2;16;76.0;0;;4;3;5;20.0;0;5.0
7774;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2015;1;0;1;69.0;0;;1;1;1;20.0;0;1.0
7775;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2016;2;1;3;71.0;0;;3;2;3;19.0;0;5.0
7776;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Unspecified countries and areas;2017;4;2;7;62.0;0;;3;2;3;20.0;0;9.0
7777;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2007;18945;14710;23180;22.0;3;;14875;12440;17310;16.0;3;
7778;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2008;19906;15548;24264;22.0;3;9.0;14408;12273;16543;15.0;3;9.0
7779;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2009;18720;14525;22915;22.0;4;9.0;13280;11447;15114;14.0;3;9.0
7780;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2010;17482;14465;20498;17.0;3;9.0;12197;10726;13668;12.0;2;9.0
7781;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2011;23470;19401;27539;17.0;4;5.0;13014;11790;14238;9.0;3;9.0
7782;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2012;26048;21723;30374;17.0;4;9.0;14022;12794;15250;9.0;3;9.0
7783;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2013;24632;20859;28404;15.0;4;9.0;15653;14294;17012;9.0;3;5.0
7784;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2014;28634;23754;33514;17.0;4;9.0;16701;15092;18310;10.0;3;9.0
7785;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2015;28992;24043;33940;17.0;4;9.0;16724;14978;18469;10.0;3;9.0
7786;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2016;28517;24027;33008;16.0;4;9.0;17056;15578;18534;9.0;3;9.0
7787;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Total all continents;2017;33097;27829;38366;16.0;4;9.0;20243;18539;21947;8.0;4;5.0
7788;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2007;854;474;1234;45.0;0;;640;439;842;31.0;0;
7789;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2008;1008;516;1500;49.0;0;;668;446;891;33.0;0;9.0
7790;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2009;986;522;1451;47.0;0;;730;497;963;32.0;0;9.0
7791;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2010;1407;734;2080;48.0;0;;934;628;1240;33.0;0;9.0
7792;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2011;1995;1249;2742;37.0;0;;1299;1068;1530;18.0;0;5.0
7793;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2012;2238;1485;2991;34.0;0;;1420;1183;1657;17.0;0;9.0
7794;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2013;2109;1438;2779;32.0;0;;1410;1181;1639;16.0;0;9.0
7795;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2014;2391;1590;3192;34.0;0;;1497;1259;1734;16.0;0;9.0
7796;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2015;2148;1452;2845;32.0;0;;1545;1301;1789;16.0;0;9.0
7797;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2016;1858;1260;2456;32.0;0;;1536;1338;1733;13.0;0;9.0
7798;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Africa;2017;2001;1310;2692;35.0;0;;1584;1374;1794;13.0;0;9.0
7799;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2007;3681;1983;5379;46.0;1;;2202;1488;2917;32.0;0;
7800;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2008;3738;1950;5527;48.0;1;;2351;1633;3069;31.0;0;9.0
7801;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2009;3070;1558;4582;49.0;1;;1898;1296;2500;32.0;0;9.0
7802;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2010;2941;1673;4210;43.0;1;;1690;1195;2184;29.0;0;9.0
7803;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2011;5377;3460;7295;36.0;1;;2828;2445;3211;14.0;1;5.0
7804;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2012;5630;3661;7598;35.0;1;;2829;2422;3237;14.0;1;9.0
7805;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2013;4970;3094;6847;38.0;1;;3040;2596;3483;15.0;1;9.0
7806;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2014;6080;3853;8306;37.0;1;;3101;2626;3576;15.0;1;9.0
7807;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2015;6018;3928;8109;35.0;1;;3009;2485;3533;17.0;1;9.0
7808;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2016;5229;3622;6835;31.0;1;;2839;2526;3151;11.0;1;9.0
7809;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;America;2017;5623;3914;7332;30.0;1;;2968;2667;3269;10.0;1;9.0
7810;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2007;4083;1772;6394;57.0;1;;2726;1551;3900;43.0;1;
7811;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2008;4388;1859;6918;58.0;1;;2559;1411;3706;45.0;1;9.0
7812;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2009;4751;1976;7526;58.0;1;;2385;1347;3424;44.0;1;9.0
7813;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2010;3478;1756;5201;50.0;1;;1812;1055;2570;42.0;0;9.0
7814;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2011;5800;3360;8241;42.0;1;;2982;2291;3673;23.0;1;5.0
7815;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2012;6592;3828;9355;42.0;1;;2992;2298;3686;23.0;1;9.0
7816;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2013;6032;3816;8248;37.0;1;;3336;2583;4089;23.0;1;9.0
7817;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2014;7651;4580;10723;40.0;1;;4139;3199;5079;23.0;1;9.0
7818;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2015;8236;4965;11507;40.0;1;;4494;3407;5581;24.0;1;9.0
7819;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2016;7941;5248;10633;34.0;1;;4504;3970;5037;12.0;1;9.0
7820;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Asia;2017;8903;5807;12000;35.0;1;;4843;4298;5389;11.0;1;9.0
7821;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2007;9993;6925;13061;31.0;2;;9201;7203;11198;22.0;2;
7822;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2008;10377;7391;13364;29.0;2;;8708;7075;10340;19.0;2;9.0
7823;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2009;9576;6884;12268;28.0;2;;8155;6791;9518;17.0;2;9.0
7824;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2010;9349;7368;11331;21.0;2;;7670;6555;8785;15.0;2;9.0
7825;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2011;9661;7203;12118;25.0;1;;5638;4737;6540;16.0;1;1.0
7826;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2012;10964;8451;13477;23.0;2;;6551;5657;7445;14.0;1;5.0
7827;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2013;10855;8621;13089;21.0;2;;7615;6602;8628;13.0;1;5.0
7828;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2014;11724;8829;14619;25.0;2;;7651;6461;8840;16.0;1;9.0
7829;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2015;11818;8904;14731;25.0;2;;7404;6170;8638;17.0;1;9.0
7830;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2016;12746;9635;15857;24.0;2;;7916;6589;9242;17.0;1;9.0
7831;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Europe;2017;15102;11352;18853;25.0;2;;10470;8900;12041;15.0;2;5.0
7832;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2007;335;0;726;;0;;106;17;195;84.0;0;
7833;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2008;394;0;876;;0;;122;17;227;86.0;0;9.0
7834;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2009;325;0;711;;0;;94;14;173;85.0;0;9.0
7835;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2010;305;0;684;;0;;92;7;176;92.0;0;9.0
7836;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2011;613;41;1184;93.0;0;;252;174;331;31.0;0;9.0
7837;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2012;605;46;1164;92.0;0;;217;150;285;31.0;0;9.0
7838;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2013;632;31;1234;95.0;0;;239;173;306;28.0;0;9.0
7839;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2014;713;80;1345;89.0;0;;295;213;377;28.0;0;9.0
7840;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2015;736;68;1404;91.0;0;;257;176;338;32.0;0;9.0
7841;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2016;693;147;1238;79.0;0;;245;192;297;21.0;0;9.0
7842;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Oceania;2017;783;162;1404;79.0;0;;280;221;339;21.0;0;9.0
7843;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
7844;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
7845;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2009;11;3;19;74.0;0;;18;14;22;22.0;0;
7846;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
7847;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2011;24;6;41;74.0;0;;14;10;18;27.0;0;
7848;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2012;20;6;35;72.0;0;;12;8;16;35.0;0;9.0
7849;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2013;33;9;57;72.0;0;;13;9;18;33.0;0;9.0
7850;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2014;75;19;131;75.0;0;;18;12;25;34.0;0;9.0
7851;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2015;34;9;60;73.0;0;;14;9;20;39.0;0;9.0
7852;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2016;51;13;89;74.0;0;;17;11;23;34.0;0;9.0
7853;Maritime transport;"Outbound transport; total";1 Foodstuffs and animal fodder;Unspecified countries and areas;2017;685;119;1251;83.0;0;;97;76;118;22.0;0;5.0
7854;Maritime transport;"Outbound transport; total";2 Solid mineral fuels;Total all continents;2007;789;380;1197;52.0;0;;5359;3462;7257;35.0;1;
7855;Maritime transport;"Outbound transport; total";2 Solid mineral fuels;Total all continents;2008;1114;588;1640;47.0;0;9.0;5935;4192;7678;29.0;1;9.0
7856;Maritime transport;"Outbound transport; total";2 Solid mineral fuels;Total all continents;2009;402;197;608;51.0;0;1.0;4086;2827;5345;31.0;1;1.0
7857;Maritime transport;"Outbound transport; total";2 Solid mineral fuels;Total all continents;2010;457;328;585;28.0;0;9.0;3486;3097;3875;11.0;1;9.0
7858;Maritime transport;"Outbound transport; total";2 Solid mineral fuels;Total all continents;2011;1602;755;2449;53.0;0;5.0;3362;2693;4032;20.0;1;9.0
7859;Maritime transport;"Outbound transport; total";2 Solid mineral fuels;Total all continents;2012;864;508;1221;41.0;0;1.0;3313;2599;4027;22.0;1;9.0
7860;Maritime transport;"Outbound transport; total";2 Solid mineral fuels;Total all continents;2013;399;291;506;27.0;0;1.0;3184;2540;3827;20.0;1;9.0
7861;Maritime transport;"Outbound transport; total";2 Solid mineral fuels;Total all continents;2014;645;452;839;30.0;0;5.0;3231;2601;3862;20.0;1;9.0
