ID;WayOfEnding;TypeOfPerson;Regions;Periods;EndedDebtRestructuringPlans_1;AverageDuration_2
2636;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2013 2nd quarter;29.0;36.0
2637;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2013 3rd quarter;19.0;37.0
2638;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2013 4th quarter;38.0;36.0
2639;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2013;106.0;35.0
2640;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2014 1st quarter;40.0;36.0
2641;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2014 2nd quarter;29.0;35.0
2642;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2014 3rd quarter;23.0;36.0
2643;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2014 4th quarter;35.0;38.0
2644;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2014;127.0;36.0
2645;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2015 1st quarter;37.0;35.0
2646;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2015 2nd quarter;26.0;39.0
2647;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2015 3rd quarter;15.0;37.0
2648;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2015 4th quarter;26.0;37.0
2649;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2015;104.0;37.0
2650;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2016 1st quarter;25.0;37.0
2651;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2016 2nd quarter;20.0;39.0
2652;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2016 3rd quarter;17.0;37.0
2653;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2016 4th quarter;20.0;35.0
2654;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2016;82.0;37.0
2655;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2017 1st quarter;25.0;29.0
2656;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2017 2nd quarter;19.0;33.0
2657;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2017 3rd quarter;23.0;35.0
2658;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2017 4th quarter;15.0;38.0
2659;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2017;82.0;33.0
2660;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);1999 1st quarter;1.0;0.0
2661;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);1999 2nd quarter;1.0;0.0
2662;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);1999 3rd quarter;2.0;2.0
2663;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);1999 4th quarter;1.0;9.0
2664;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);1999;5.0;2.0
2665;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2000 1st quarter;5.0;3.0
2666;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2000 2nd quarter;5.0;7.0
2667;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2000 3rd quarter;7.0;14.0
2668;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2000 4th quarter;8.0;14.0
2669;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2000;25.0;10.0
2670;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2001 1st quarter;13.0;11.0
2671;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2001 2nd quarter;10.0;15.0
2672;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2001 3rd quarter;12.0;16.0
2673;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2001 4th quarter;10.0;16.0
2674;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2001;45.0;14.0
2675;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2002 1st quarter;20.0;27.0
2676;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2002 2nd quarter;22.0;24.0
2677;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2002 3rd quarter;33.0;33.0
2678;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2002 4th quarter;38.0;30.0
2679;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2002;113.0;29.0
2680;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2003 1st quarter;51.0;32.0
2681;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2003 2nd quarter;32.0;29.0
2682;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2003 3rd quarter;31.0;31.0
2683;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2003 4th quarter;46.0;34.0
2684;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2003;160.0;32.0
2685;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2004 1st quarter;47.0;33.0
2686;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2004 2nd quarter;43.0;37.0
2687;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2004 3rd quarter;37.0;37.0
2688;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2004 4th quarter;48.0;36.0
2689;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2004;175.0;35.0
2690;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2005 1st quarter;55.0;36.0
2691;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2005 2nd quarter;52.0;36.0
2692;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2005 3rd quarter;55.0;35.0
2693;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2005 4th quarter;46.0;31.0
2694;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2005;208.0;35.0
2695;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2006 1st quarter;36.0;35.0
2696;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2006 2nd quarter;45.0;33.0
2697;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2006 3rd quarter;47.0;36.0
2698;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2006 4th quarter;38.0;32.0
2699;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2006;166.0;34.0
2700;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2007 1st quarter;45.0;35.0
2701;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2007 2nd quarter;36.0;34.0
2702;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2007 3rd quarter;44.0;34.0
2703;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2007 4th quarter;42.0;33.0
2704;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2007;167.0;34.0
2705;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2008 1st quarter;40.0;34.0
2706;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2008 2nd quarter;45.0;42.0
2707;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2008 3rd quarter;33.0;34.0
2708;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2008 4th quarter;66.0;36.0
2709;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2008;184.0;37.0
2710;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2009 1st quarter;33.0;34.0
2711;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2009 2nd quarter;47.0;39.0
2712;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2009 3rd quarter;44.0;35.0
2713;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2009 4th quarter;33.0;36.0
2714;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2009;157.0;36.0
2715;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2010 1st quarter;69.0;34.0
2716;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2010 2nd quarter;60.0;36.0
2717;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2010 3rd quarter;36.0;32.0
2718;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2010 4th quarter;50.0;35.0
2719;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2010;215.0;35.0
2720;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2011 1st quarter;44.0;33.0
2721;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2011 2nd quarter;27.0;32.0
2722;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2011 3rd quarter;35.0;28.0
2723;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2011 4th quarter;41.0;33.0
2724;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2011;147.0;32.0
2725;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2012 1st quarter;36.0;28.0
2726;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2012 2nd quarter;26.0;34.0
2727;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2012 3rd quarter;23.0;29.0
2728;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2012 4th quarter;30.0;29.0
2729;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2012;115.0;30.0
2730;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2013 1st quarter;43.0;28.0
2731;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2013 2nd quarter;38.0;35.0
2732;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2013 3rd quarter;32.0;34.0
2733;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2013 4th quarter;39.0;35.0
2734;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2013;152.0;33.0
2735;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2014 1st quarter;38.0;33.0
2736;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2014 2nd quarter;63.0;33.0
2737;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2014 3rd quarter;43.0;34.0
2738;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2014 4th quarter;61.0;32.0
2739;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2014;205.0;33.0
2740;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2015 1st quarter;59.0;34.0
2741;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2015 2nd quarter;64.0;35.0
2742;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2015 3rd quarter;72.0;34.0
2743;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2015 4th quarter;68.0;34.0
2744;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2015;263.0;34.0
2745;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2016 1st quarter;63.0;35.0
2746;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2016 2nd quarter;66.0;33.0
2747;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2016 3rd quarter;55.0;35.0
2748;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2016 4th quarter;75.0;35.0
2749;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2016;259.0;35.0
2750;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2017 1st quarter;68.0;36.0
2751;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2017 2nd quarter;68.0;36.0
2752;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2017 3rd quarter;70.0;37.0
2753;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2017 4th quarter;60.0;35.0
2754;All ended debt restructuring plans;Natural persons with business;Gelderland (PV);2017;266.0;36.0
2755;All ended debt restructuring plans;Natural persons with business;Utrecht (PV);1999 1st quarter;;
2756;All ended debt restructuring plans;Natural persons with business;Utrecht (PV);1999 2nd quarter;2.0;3.0
2757;All ended debt restructuring plans;Natural persons with business;Utrecht (PV);1999 3rd quarter;1.0;6.0
