ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
2419;Total natural persons;Unclassifiable;1990 September;
2420;Total natural persons;Unclassifiable;1990 3rd quarter;
2421;Total natural persons;Unclassifiable;1990 October;
2422;Total natural persons;Unclassifiable;1990 November;
2423;Total natural persons;Unclassifiable;1990 December;
2424;Total natural persons;Unclassifiable;1990 4th quarter;
2425;Total natural persons;Unclassifiable;1990;
2426;Total natural persons;Unclassifiable;1991 January;
2427;Total natural persons;Unclassifiable;1991 February;
2428;Total natural persons;Unclassifiable;1991 March;
2429;Total natural persons;Unclassifiable;1991 1st quarter;
2430;Total natural persons;Unclassifiable;1991 April;
2431;Total natural persons;Unclassifiable;1991 May;
2432;Total natural persons;Unclassifiable;1991 June;
2433;Total natural persons;Unclassifiable;1991 2nd quarter;
2434;Total natural persons;Unclassifiable;1991 July;
2435;Total natural persons;Unclassifiable;1991 August;
2436;Total natural persons;Unclassifiable;1991 September;
2437;Total natural persons;Unclassifiable;1991 3rd quarter;
2438;Total natural persons;Unclassifiable;1991 October;
2439;Total natural persons;Unclassifiable;1991 November;
2440;Total natural persons;Unclassifiable;1991 December;
2441;Total natural persons;Unclassifiable;1991 4th quarter;
2442;Total natural persons;Unclassifiable;1991;
2443;Total natural persons;Unclassifiable;1992 January;
2444;Total natural persons;Unclassifiable;1992 February;
2445;Total natural persons;Unclassifiable;1992 March;
2446;Total natural persons;Unclassifiable;1992 1st quarter;
2447;Total natural persons;Unclassifiable;1992 April;
2448;Total natural persons;Unclassifiable;1992 May;
2449;Total natural persons;Unclassifiable;1992 June;
2450;Total natural persons;Unclassifiable;1992 2nd quarter;
2451;Total natural persons;Unclassifiable;1992 July;
2452;Total natural persons;Unclassifiable;1992 August;
2453;Total natural persons;Unclassifiable;1992 September;
2454;Total natural persons;Unclassifiable;1992 3rd quarter;
2455;Total natural persons;Unclassifiable;1992 October;
2456;Total natural persons;Unclassifiable;1992 November;
2457;Total natural persons;Unclassifiable;1992 December;
2458;Total natural persons;Unclassifiable;1992 4th quarter;
2459;Total natural persons;Unclassifiable;1992;
2460;Total natural persons;Unclassifiable;1993 January;
2461;Total natural persons;Unclassifiable;1993 February;
2462;Total natural persons;Unclassifiable;1993 March;
2463;Total natural persons;Unclassifiable;1993 1st quarter;
2464;Total natural persons;Unclassifiable;1993 April;
2465;Total natural persons;Unclassifiable;1993 May;
2466;Total natural persons;Unclassifiable;1993 June;
2467;Total natural persons;Unclassifiable;1993 2nd quarter;
2468;Total natural persons;Unclassifiable;1993 July;
2469;Total natural persons;Unclassifiable;1993 August;
2470;Total natural persons;Unclassifiable;1993 September;
2471;Total natural persons;Unclassifiable;1993 3rd quarter;
2472;Total natural persons;Unclassifiable;1993 October;
2473;Total natural persons;Unclassifiable;1993 November;
2474;Total natural persons;Unclassifiable;1993 December;
2475;Total natural persons;Unclassifiable;1993 4th quarter;
2476;Total natural persons;Unclassifiable;1993;
2477;Total natural persons;Unclassifiable;1994 January;
2478;Total natural persons;Unclassifiable;1994 February;
2479;Total natural persons;Unclassifiable;1994 March;
2480;Total natural persons;Unclassifiable;1994 1st quarter;
2481;Total natural persons;Unclassifiable;1994 April;
2482;Total natural persons;Unclassifiable;1994 May;
2483;Total natural persons;Unclassifiable;1994 June;
2484;Total natural persons;Unclassifiable;1994 2nd quarter;
2485;Total natural persons;Unclassifiable;1994 July;
2486;Total natural persons;Unclassifiable;1994 August;
2487;Total natural persons;Unclassifiable;1994 September;
2488;Total natural persons;Unclassifiable;1994 3rd quarter;
2489;Total natural persons;Unclassifiable;1994 October;
2490;Total natural persons;Unclassifiable;1994 November;
2491;Total natural persons;Unclassifiable;1994 December;
2492;Total natural persons;Unclassifiable;1994 4th quarter;
2493;Total natural persons;Unclassifiable;1994;
2494;Total natural persons;Unclassifiable;1995 January;
2495;Total natural persons;Unclassifiable;1995 February;
2496;Total natural persons;Unclassifiable;1995 March;
2497;Total natural persons;Unclassifiable;1995 1st quarter;
2498;Total natural persons;Unclassifiable;1995 April;
2499;Total natural persons;Unclassifiable;1995 May;
2500;Total natural persons;Unclassifiable;1995 June;
2501;Total natural persons;Unclassifiable;1995 2nd quarter;
2502;Total natural persons;Unclassifiable;1995 July;
2503;Total natural persons;Unclassifiable;1995 August;
2504;Total natural persons;Unclassifiable;1995 September;
2505;Total natural persons;Unclassifiable;1995 3rd quarter;
2506;Total natural persons;Unclassifiable;1995 October;
2507;Total natural persons;Unclassifiable;1995 November;
2508;Total natural persons;Unclassifiable;1995 December;
2509;Total natural persons;Unclassifiable;1995 4th quarter;
2510;Total natural persons;Unclassifiable;1995;
2511;Total natural persons;Unclassifiable;1996 January;
2512;Total natural persons;Unclassifiable;1996 February;
2513;Total natural persons;Unclassifiable;1996 March;
2514;Total natural persons;Unclassifiable;1996 1st quarter;
2515;Total natural persons;Unclassifiable;1996 April;
2516;Total natural persons;Unclassifiable;1996 May;
2517;Total natural persons;Unclassifiable;1996 June;
2518;Total natural persons;Unclassifiable;1996 2nd quarter;
2519;Total natural persons;Unclassifiable;1996 July;
2520;Total natural persons;Unclassifiable;1996 August;
2521;Total natural persons;Unclassifiable;1996 September;
2522;Total natural persons;Unclassifiable;1996 3rd quarter;
2523;Total natural persons;Unclassifiable;1996 October;
2524;Total natural persons;Unclassifiable;1996 November;
2525;Total natural persons;Unclassifiable;1996 December;
2526;Total natural persons;Unclassifiable;1996 4th quarter;
2527;Total natural persons;Unclassifiable;1996;
2528;Total natural persons;Unclassifiable;1997 January;
2529;Total natural persons;Unclassifiable;1997 February;
2530;Total natural persons;Unclassifiable;1997 March;
2531;Total natural persons;Unclassifiable;1997 1st quarter;
2532;Total natural persons;Unclassifiable;1997 April;
2533;Total natural persons;Unclassifiable;1997 May;
2534;Total natural persons;Unclassifiable;1997 June;
2535;Total natural persons;Unclassifiable;1997 2nd quarter;
2536;Total natural persons;Unclassifiable;1997 July;
2537;Total natural persons;Unclassifiable;1997 August;
2538;Total natural persons;Unclassifiable;1997 September;
2539;Total natural persons;Unclassifiable;1997 3rd quarter;
2540;Total natural persons;Unclassifiable;1997 October;
2541;Total natural persons;Unclassifiable;1997 November;
2542;Total natural persons;Unclassifiable;1997 December;
2543;Total natural persons;Unclassifiable;1997 4th quarter;
2544;Total natural persons;Unclassifiable;1997;
2545;Total natural persons;Unclassifiable;1998 January;
2546;Total natural persons;Unclassifiable;1998 February;
2547;Total natural persons;Unclassifiable;1998 March;
2548;Total natural persons;Unclassifiable;1998 1st quarter;
2549;Total natural persons;Unclassifiable;1998 April;
2550;Total natural persons;Unclassifiable;1998 May;
2551;Total natural persons;Unclassifiable;1998 June;
2552;Total natural persons;Unclassifiable;1998 2nd quarter;
2553;Total natural persons;Unclassifiable;1998 July;
2554;Total natural persons;Unclassifiable;1998 August;
2555;Total natural persons;Unclassifiable;1998 September;
2556;Total natural persons;Unclassifiable;1998 3rd quarter;
2557;Total natural persons;Unclassifiable;1998 October;
2558;Total natural persons;Unclassifiable;1998 November;
2559;Total natural persons;Unclassifiable;1998 December;
2560;Total natural persons;Unclassifiable;1998 4th quarter;
2561;Total natural persons;Unclassifiable;1998;
2562;Total natural persons;Unclassifiable;1999 January;
2563;Total natural persons;Unclassifiable;1999 February;
2564;Total natural persons;Unclassifiable;1999 March;
2565;Total natural persons;Unclassifiable;1999 1st quarter;
2566;Total natural persons;Unclassifiable;1999 April;
2567;Total natural persons;Unclassifiable;1999 May;
2568;Total natural persons;Unclassifiable;1999 June;
2569;Total natural persons;Unclassifiable;1999 2nd quarter;
2570;Total natural persons;Unclassifiable;1999 July;
2571;Total natural persons;Unclassifiable;1999 August;
2572;Total natural persons;Unclassifiable;1999 September;
2573;Total natural persons;Unclassifiable;1999 3rd quarter;
2574;Total natural persons;Unclassifiable;1999 October;
2575;Total natural persons;Unclassifiable;1999 November;
2576;Total natural persons;Unclassifiable;1999 December;
2577;Total natural persons;Unclassifiable;1999 4th quarter;
2578;Total natural persons;Unclassifiable;1999;
2579;Total natural persons;Unclassifiable;2000 January;
2580;Total natural persons;Unclassifiable;2000 February;
2581;Total natural persons;Unclassifiable;2000 March;
2582;Total natural persons;Unclassifiable;2000 1st quarter;
2583;Total natural persons;Unclassifiable;2000 April;
2584;Total natural persons;Unclassifiable;2000 May;
2585;Total natural persons;Unclassifiable;2000 June;
2586;Total natural persons;Unclassifiable;2000 2nd quarter;
2587;Total natural persons;Unclassifiable;2000 July;
2588;Total natural persons;Unclassifiable;2000 August;
2589;Total natural persons;Unclassifiable;2000 September;
2590;Total natural persons;Unclassifiable;2000 3rd quarter;
2591;Total natural persons;Unclassifiable;2000 October;
2592;Total natural persons;Unclassifiable;2000 November;
2593;Total natural persons;Unclassifiable;2000 December;
2594;Total natural persons;Unclassifiable;2000 4th quarter;
2595;Total natural persons;Unclassifiable;2000;
2596;Total natural persons;Unclassifiable;2001 January;
2597;Total natural persons;Unclassifiable;2001 February;
2598;Total natural persons;Unclassifiable;2001 March;
2599;Total natural persons;Unclassifiable;2001 1st quarter;
2600;Total natural persons;Unclassifiable;2001 April;
2601;Total natural persons;Unclassifiable;2001 May;
2602;Total natural persons;Unclassifiable;2001 June;
2603;Total natural persons;Unclassifiable;2001 2nd quarter;
2604;Total natural persons;Unclassifiable;2001 July;
2605;Total natural persons;Unclassifiable;2001 August;
2606;Total natural persons;Unclassifiable;2001 September;
2607;Total natural persons;Unclassifiable;2001 3rd quarter;
2608;Total natural persons;Unclassifiable;2001 October;
2609;Total natural persons;Unclassifiable;2001 November;
2610;Total natural persons;Unclassifiable;2001 December;
2611;Total natural persons;Unclassifiable;2001 4th quarter;
2612;Total natural persons;Unclassifiable;2001;
2613;Total natural persons;Unclassifiable;2002 January;
2614;Total natural persons;Unclassifiable;2002 February;
2615;Total natural persons;Unclassifiable;2002 March;
2616;Total natural persons;Unclassifiable;2002 1st quarter;
2617;Total natural persons;Unclassifiable;2002 April;
2618;Total natural persons;Unclassifiable;2002 May;
2619;Total natural persons;Unclassifiable;2002 June;
2620;Total natural persons;Unclassifiable;2002 2nd quarter;
2621;Total natural persons;Unclassifiable;2002 July;
2622;Total natural persons;Unclassifiable;2002 August;
2623;Total natural persons;Unclassifiable;2002 September;
2624;Total natural persons;Unclassifiable;2002 3rd quarter;
2625;Total natural persons;Unclassifiable;2002 October;
2626;Total natural persons;Unclassifiable;2002 November;
2627;Total natural persons;Unclassifiable;2002 December;
2628;Total natural persons;Unclassifiable;2002 4th quarter;
2629;Total natural persons;Unclassifiable;2002;
2630;Total natural persons;Unclassifiable;2003 January;
2631;Total natural persons;Unclassifiable;2003 February;
2632;Total natural persons;Unclassifiable;2003 March;
2633;Total natural persons;Unclassifiable;2003 1st quarter;
2634;Total natural persons;Unclassifiable;2003 April;
2635;Total natural persons;Unclassifiable;2003 May;
2636;Total natural persons;Unclassifiable;2003 June;
2637;Total natural persons;Unclassifiable;2003 2nd quarter;
2638;Total natural persons;Unclassifiable;2003 July;
2639;Total natural persons;Unclassifiable;2003 August;
2640;Total natural persons;Unclassifiable;2003 September;
2641;Total natural persons;Unclassifiable;2003 3rd quarter;
2642;Total natural persons;Unclassifiable;2003 October;
2643;Total natural persons;Unclassifiable;2003 November;
2644;Total natural persons;Unclassifiable;2003 December;
2645;Total natural persons;Unclassifiable;2003 4th quarter;
2646;Total natural persons;Unclassifiable;2003;
2647;Total natural persons;Unclassifiable;2004 January;
2648;Total natural persons;Unclassifiable;2004 February;
2649;Total natural persons;Unclassifiable;2004 March;
2650;Total natural persons;Unclassifiable;2004 1st quarter;
2651;Total natural persons;Unclassifiable;2004 April;
2652;Total natural persons;Unclassifiable;2004 May;
2653;Total natural persons;Unclassifiable;2004 June;
2654;Total natural persons;Unclassifiable;2004 2nd quarter;
2655;Total natural persons;Unclassifiable;2004 July;
2656;Total natural persons;Unclassifiable;2004 August;
2657;Total natural persons;Unclassifiable;2004 September;
2658;Total natural persons;Unclassifiable;2004 3rd quarter;
2659;Total natural persons;Unclassifiable;2004 October;
2660;Total natural persons;Unclassifiable;2004 November;
2661;Total natural persons;Unclassifiable;2004 December;
2662;Total natural persons;Unclassifiable;2004 4th quarter;
2663;Total natural persons;Unclassifiable;2004;
2664;Total natural persons;Unclassifiable;2005 January;
2665;Total natural persons;Unclassifiable;2005 February;
2666;Total natural persons;Unclassifiable;2005 March;
2667;Total natural persons;Unclassifiable;2005 1st quarter;
2668;Total natural persons;Unclassifiable;2005 April;
2669;Total natural persons;Unclassifiable;2005 May;
2670;Total natural persons;Unclassifiable;2005 June;
2671;Total natural persons;Unclassifiable;2005 2nd quarter;
2672;Total natural persons;Unclassifiable;2005 July;
2673;Total natural persons;Unclassifiable;2005 August;
2674;Total natural persons;Unclassifiable;2005 September;
2675;Total natural persons;Unclassifiable;2005 3rd quarter;
2676;Total natural persons;Unclassifiable;2005 October;
2677;Total natural persons;Unclassifiable;2005 November;
2678;Total natural persons;Unclassifiable;2005 December;
2679;Total natural persons;Unclassifiable;2005 4th quarter;
2680;Total natural persons;Unclassifiable;2005;
2681;Total natural persons;Unclassifiable;2006 January;
2682;Total natural persons;Unclassifiable;2006 February;
2683;Total natural persons;Unclassifiable;2006 March;
2684;Total natural persons;Unclassifiable;2006 1st quarter;
2685;Total natural persons;Unclassifiable;2006 April;
2686;Total natural persons;Unclassifiable;2006 May;
2687;Total natural persons;Unclassifiable;2006 June;
2688;Total natural persons;Unclassifiable;2006 2nd quarter;
2689;Total natural persons;Unclassifiable;2006 July;
2690;Total natural persons;Unclassifiable;2006 August;
2691;Total natural persons;Unclassifiable;2006 September;
2692;Total natural persons;Unclassifiable;2006 3rd quarter;
