ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
1379;Waterland;01 jan 1991 ;            ;GM0852  ;Noord-Holland                      ;NH.            ;19910101;            
1380;Waterlandkerkje;01 jan 1830 ;01 apr 1970 ;GM0722  ;Zeeland                            ;Z.             ;18300101;19700401    
1381;Waverveen;01 jan 1830 ;01 jan 1841 ;GM1393  ;Utrecht                            ;U.             ;18300101;18410101    
1382;Wedde;01 jan 1830 ;01 sep 1968 ;GM1220  ;Groningen                          ;Gr.            ;18300101;19680901    
1383;Weerselo;01 jan 1830 ;01 jan 2001 ;GM0188  ;Overijssel                         ;O.             ;18300101;20010101    
1384;Weert;02 jan 1839 ;            ;GM0988  ;Limburg                            ;L.             ;18390102;            
1385;Weesp;01 jan 1830 ;24 mrt 2022 ;GM0457  ;Noord-Holland                      ;NH.            ;18300101;20220324    
1386;Weesperkarspel;01 jan 1830 ;01 aug 1966 ;GM1221  ;Noord-Holland                      ;NH.            ;18300101;19660801    
1387;Wehl;01 jan 1830 ;01 jan 2005 ;GM0292  ;Gelderland                         ;Gld.           ;18300101;20050101    
1388;Wemeldinge;01 jan 1830 ;01 jan 1970 ;GM0723  ;Zeeland                            ;Z.             ;18300101;19700101    
1389;de Werken en Sleeuwijk;01 jan 1830 ;01 okt 1950 ;GM1222  ;Noord-Brabant                      ;NB.            ;18300101;19501001    
1390;Werkendam;01 jan 1830 ;01 jan 2019 ;GM0870  ;Noord-Brabant                      ;NB.            ;18300101;20190101    
1391;Werkhoven;01 jan 1830 ;01 sep 1964 ;GM1223  ;Utrecht                            ;U.             ;18300101;19640901    
1392;Wervershoof;01 jan 1830 ;01 jan 2011 ;GM0459  ;Noord-Holland                      ;NH.            ;18300101;20110101    
1393;Wessem;02 jan 1839 ;01 jan 1991 ;GM0989  ;Limburg                            ;L.             ;18390102;19910101    
1394;West Betuwe;01 jan 2019 ;            ;GM1960  ;Gelderland                         ;Gld.           ;20190101;            
1395;West Maas en Waal;01 jul 1985 ;            ;GM0668  ;Gelderland                         ;Gld.           ;19850701;            
1396;West-Barendrecht;01 jan 1830 ;22 nov 1836 ;GM1394  ;Zuid-Holland                       ;ZH.            ;18300101;18361122    
1397;Westbroek;01 jan 1830 ;01 jul 1957 ;GM1224  ;Utrecht                            ;U.             ;18300101;19570701    
1398;Westdongeradeel;01 jan 1830 ;01 jan 1984 ;GM0097  ;Friesland                          ;F.             ;18300101;19840101    
1399;Westdorpe;01 jan 1830 ;01 apr 1970 ;GM0724  ;Zeeland                            ;Z.             ;18300101;19700401    
1400;Westerbork;01 jan 1830 ;01 jan 1998 ;GM0134  ;Drenthe                            ;D.             ;18300101;19980101    
1401;Westerhoven;01 jan 1830 ;01 jan 1997 ;GM0871  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1402;Wester-Koggenland;01 jan 1979 ;01 jan 2007 ;GM0558  ;Noord-Holland                      ;NH.            ;19790101;20070101    
1403;Westerkwartier;01 jan 2019 ;            ;GM1969  ;Groningen                          ;Gr.            ;20190101;            
1404;Westerschouwen;01 jan 1961 ;01 jan 1997 ;GM0725  ;Zeeland                            ;Z.             ;19610101;19970101    
1405;Westerveld;01 jan 1998 ;            ;GM1701  ;Drenthe                            ;D.             ;19980101;            
1406;Westervoort;01 jan 1830 ;            ;GM0293  ;Gelderland                         ;Gld.           ;18300101;            
1407;Westerwolde;01 jan 2018 ;            ;GM1950  ;Groningen                          ;Gr.            ;20180101;            
1408;Westkapelle;01 jan 1830 ;01 jan 1997 ;GM0726  ;Zeeland                            ;Z.             ;18300101;19970101    
1409;Westland;01 jan 2004 ;            ;GM1783  ;Zuid-Holland                       ;ZH.            ;20040101;            
1410;Westmaas;01 jan 1830 ;01 jan 1984 ;GM0631  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
1411;West-Souburg;01 jan 1830 ;16 jul 1834 ;GM1395  ;Zeeland                            ;Z.             ;18300101;18340716    
1412;Weststellingwerf;01 jan 1830 ;            ;GM0098  ;Friesland                          ;F.             ;18300101;            
1413;Westvoorne;01 jan 1980 ;01 jan 2023 ;GM0614  ;Zuid-Holland                       ;ZH.            ;19800101;20230101    
1414;Westwoud;01 jan 1830 ;01 jan 1979 ;GM0460  ;Noord-Holland                      ;NH.            ;18300101;19790101    
1415;Westzaan;01 jan 1830 ;01 jan 1974 ;GM0461  ;Noord-Holland                      ;NH.            ;18300101;19740101    
1416;Wieldrecht;01 jan 1830 ;27 dec 1856 ;GM1396  ;Zuid-Holland                       ;ZH.            ;18300101;18561227    
1417;Wierden;01 jan 1830 ;            ;GM0189  ;Overijssel                         ;O.             ;18300101;            
1418;Wieringen;01 jan 1830 ;01 jan 2012 ;GM0462  ;Noord-Holland                      ;NH.            ;18300101;20120101    
1419;Wieringermeer;01 jan 1938 ;01 jan 2012 ;GM0463  ;Noord-Holland                      ;NH.            ;19380101;20120101    
1420;Wieringerwaard;01 jan 1830 ;01 aug 1970 ;GM0464  ;Noord-Holland                      ;NH.            ;18300101;19700801    
1421;Wijchen;01 jan 1830 ;            ;GM0296  ;Gelderland                         ;Gld.           ;18300101;            
1422;Wijdemeren;01 jan 2002 ;            ;GM1696  ;Noord-Holland                      ;NH.            ;20020101;            
1423;Wijdenes;01 jan 1830 ;01 aug 1970 ;GM0469  ;Noord-Holland                      ;NH.            ;18300101;19700801    
1424;Wijdewormer;01 jan 1830 ;01 jan 1991 ;GM0470  ;Noord-Holland                      ;NH.            ;18300101;19910101    
1425;Wijhe;01 jan 1830 ;01 jan 2001 ;GM0190  ;Overijssel                         ;O.             ;18300101;20010101    
1426;De Wijk;01 jan 1830 ;01 jan 1998 ;GM0135  ;Drenthe                            ;D.             ;18300101;19980101    
1427;Wijk aan Zee en Duin;01 jan 1830 ;01 mei 1936 ;GM1229  ;Noord-Holland                      ;NH.            ;18300101;19360501    
1428;Wijk bij Duurstede;01 jan 1830 ;            ;GM0352  ;Utrecht                            ;U.             ;18300101;            
1429;Wijk en Aalburg;01 jan 1830 ;01 jan 1973 ;GM0876  ;Noord-Brabant                      ;NB.            ;18300101;19730101    
1430;Wijlre;02 jan 1839 ;01 jan 1982 ;GM0991  ;Limburg                            ;L.             ;18390102;19820101    
1431;Wijnandsrade;02 jan 1839 ;01 jan 1982 ;GM0992  ;Limburg                            ;L.             ;18390102;19820101    
1432;Wijngaarden;01 jan 1830 ;01 jan 1986 ;GM0634  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
1433;Wildervank;01 jan 1830 ;01 jan 1969 ;GM1225  ;Groningen                          ;Gr.            ;18300101;19690101    
1434;Willemstad;01 jan 1830 ;01 jan 1997 ;GM0872  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1435;Willeskop;01 jan 1830 ;01 jan 1989 ;GM0349  ;Utrecht                            ;U.             ;18300101;19890101    
1436;Willige-Langerak;01 jan 1830 ;01 jan 1943 ;GM1226  ;Utrecht                            ;U.             ;18300101;19430101    
1437;Wilnis;01 jan 1830 ;01 jan 1989 ;GM0350  ;Utrecht                            ;U.             ;18300101;19890101    
1438;Wilsum;01 jan 1830 ;01 jan 1937 ;GM1227  ;Overijssel                         ;O.             ;18300101;19370101    
1439;Wimmenum;01 jan 1830 ;13 jul 1857 ;GM1397  ;Noord-Holland                      ;NH.            ;18300101;18570713    
1440;Winkel;01 jan 1830 ;01 aug 1970 ;GM0465  ;Noord-Holland                      ;NH.            ;18300101;19700801    
1441;Winschoten;01 jan 1830 ;01 jan 2010 ;GM0052  ;Groningen                          ;Gr.            ;18300101;20100101    
1442;Winsum;01 jan 1830 ;01 jan 2019 ;GM0053  ;Groningen                          ;Gr.            ;18300101;20190101    
1443;Winterswijk;01 jan 1830 ;            ;GM0294  ;Gelderland                         ;Gld.           ;18300101;            
1444;Wisch;01 jan 1830 ;01 jan 2005 ;GM0295  ;Gelderland                         ;Gld.           ;18300101;20050101    
1445;Wissekerke;01 jan 1830 ;01 aug 1958 ;GM1253  ;Zeeland                            ;Z.             ;18300101;19580801    
1446;Wissenkerke;01 aug 1958 ;01 jan 1995 ;GM0727  ;Zeeland                            ;Z.             ;19580801;19950101    
1447;Wittem;02 jan 1839 ;01 jan 1999 ;GM0990  ;Limburg                            ;L.             ;18390102;19990101    
1448;Woensdrecht;01 jan 1830 ;            ;GM0873  ;Noord-Brabant                      ;NB.            ;18300101;            
1449;Woensel;01 jan 1830 ;01 jan 1920 ;GM1228  ;Noord-Brabant                      ;NB.            ;18300101;19200101    
1450;Woerden;01 jan 1830 ;            ;GM0632  ;Utrecht                            ;U.             ;18300101;            
1451;Wognum;01 jan 1830 ;01 jan 2007 ;GM0466  ;Noord-Holland                      ;NH.            ;18300101;20070101    
1452;De Wolden;01 jan 1998 ;            ;GM1690  ;Drenthe                            ;D.             ;19980101;            
1453;Wolphaartsdijk;01 jan 1830 ;01 jan 1970 ;GM0728  ;Zeeland                            ;Z.             ;18300101;19700101    
1454;Wonseradeel;01 jan 1830 ;01 jan 1987 ;GM0099  ;Friesland                          ;F.             ;18300101;19870101    
1455;Workum;01 jan 1830 ;01 jan 1984 ;GM0100  ;Friesland                          ;F.             ;18300101;19840101    
1456;Wormer;01 jan 1830 ;01 jan 1991 ;GM0467  ;Noord-Holland                      ;NH.            ;18300101;19910101    
1457;Wormerland;01 jan 1991 ;            ;GM0880  ;Noord-Holland                      ;NH.            ;19910101;            
1458;Wormerveer;01 jan 1830 ;01 jan 1974 ;GM0468  ;Noord-Holland                      ;NH.            ;18300101;19740101    
1459;Woubrugge;01 jan 1830 ;01 jan 1991 ;GM0633  ;Zuid-Holland                       ;ZH.            ;18300101;19910101    
1460;Woudenberg;01 jan 1830 ;            ;GM0351  ;Utrecht                            ;U.             ;18300101;            
1461;Woudrichem;01 jan 1830 ;01 jan 2019 ;GM0874  ;Noord-Brabant                      ;NB.            ;18300101;20190101    
1462;Wouw;01 jan 1830 ;01 jan 1997 ;GM0875  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
1463;Wulverhorst;01 jan 1830 ;13 jun 1857 ;GM1398  ;Utrecht                            ;U.             ;18300101;18570613    
1464;Wûnseradiel;01 jan 1987 ;01 jan 2011 ;GM0710  ;Friesland                          ;F.             ;19870101;20110101    
1465;Wymbritseradeel;01 jan 1830 ;01 jan 1986 ;GM0101  ;Friesland                          ;F.             ;18300101;19860101    
1466;Wymbritseradiel;01 jan 1986 ;01 jan 2011 ;GM0683  ;Friesland                          ;F.             ;19860101;20110101    
1467;Yerseke;01 jan 1830 ;01 jan 1970 ;GM0729  ;Zeeland                            ;Z.             ;18300101;19700101    
1468;Zaamslag;01 jan 1830 ;01 apr 1970 ;GM0731  ;Zeeland                            ;Z.             ;18300101;19700401    
1469;Zaandam;01 jan 1830 ;01 jan 1974 ;GM0471  ;Noord-Holland                      ;NH.            ;18300101;19740101    
1470;Zaandijk;01 jan 1830 ;01 jan 1974 ;GM0472  ;Noord-Holland                      ;NH.            ;18300101;19740101    
1471;Zaanstad;01 jan 1974 ;            ;GM0479  ;Noord-Holland                      ;NH.            ;19740101;            
1472;Zalk en Veecaten;01 jan 1830 ;01 jan 1937 ;GM1232  ;Overijssel                         ;O.             ;18300101;19370101    
1473;Zaltbommel;01 jan 1830 ;            ;GM0297  ;Gelderland                         ;Gld.           ;18300101;            
1474;'t Zandt;01 jan 1830 ;01 jan 1990 ;GM0054  ;Groningen                          ;Gr.            ;18300101;19900101    
1475;Zandvoort;01 jan 1830 ;            ;GM0473  ;Noord-Holland                      ;NH.            ;18300101;            
1476;Zederik;01 jan 1986 ;01 jan 2019 ;GM0707  ;Zuid-Holland                       ;ZH.            ;19860101;20190101    
1477;Zeeland;01 jan 1830 ;01 jan 1994 ;GM0877  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
1478;Zeelst;01 jan 1830 ;01 mei 1921 ;GM1233  ;Noord-Brabant                      ;NB.            ;18300101;19210501    
1479;Zeevang;01 aug 1970 ;01 jan 2016 ;GM0478  ;Noord-Holland                      ;NH.            ;19700801;20160101    
1480;Zeewolde;01 jan 1984 ;            ;GM0050  ;Flevoland                          ;Fle.           ;19840101;            
1481;Zegveld;01 jan 1830 ;01 jan 1989 ;GM0354  ;Utrecht                            ;U.             ;18300101;19890101    
1482;Zegwaart;01 jan 1830 ;01 mei 1935 ;GM1234  ;Zuid-Holland                       ;ZH.            ;18300101;19350501    
1483;Zeist;01 jan 1830 ;            ;GM0355  ;Utrecht                            ;U.             ;18300101;            
1484;Zelhem;01 jan 1830 ;01 jan 2005 ;GM0298  ;Gelderland                         ;Gld.           ;18300101;20050101    
1485;Zesgehuchten;01 jan 1830 ;01 mei 1921 ;GM1235  ;Noord-Brabant                      ;NB.            ;18300101;19210501    
1486;Zevenaar;01 jan 1830 ;            ;GM0299  ;Gelderland                         ;Gld.           ;18300101;            
1487;Zevenbergen;01 jan 1830 ;04 apr 1998 ;GM0878  ;Noord-Brabant                      ;NB.            ;18300101;19980404    
1488;Zevender;01 jan 1830 ;13 jun 1857 ;GM1399  ;Utrecht                            ;U.             ;18300101;18570613    
1489;Zevenhoven;01 jan 1830 ;01 jan 1991 ;GM0635  ;Zuid-Holland                       ;ZH.            ;18300101;19910101    
1490;Zevenhuizen;01 jan 1830 ;01 jan 1991 ;GM0636  ;Zuid-Holland                       ;ZH.            ;18300101;19910101    
1491;Zevenhuizen-Moerkapelle;01 feb 1992 ;01 jan 2010 ;GM1666  ;Zuid-Holland                       ;ZH.            ;19920201;20100101    
1492;Zierikzee;01 jan 1830 ;01 jan 1997 ;GM0732  ;Zeeland                            ;Z.             ;18300101;19970101    
1493;Zijpe;01 jan 1830 ;01 jan 2013 ;GM0476  ;Noord-Holland                      ;NH.            ;18300101;20130101    
1494;Zoelen;01 jan 1830 ;01 jan 1978 ;GM0300  ;Gelderland                         ;Gld.           ;18300101;19780101    
1495;Zoetermeer;01 jan 1830 ;            ;GM0637  ;Zuid-Holland                       ;ZH.            ;18300101;            
1496;Zoeterwoude;01 jan 1830 ;            ;GM0638  ;Zuid-Holland                       ;ZH.            ;18300101;            
1497;Zonnemaire;01 jan 1830 ;01 jan 1961 ;GM1236  ;Zeeland                            ;Z.             ;18300101;19610101    
1498;Zoutelande;01 jan 1830 ;01 jul 1966 ;GM1237  ;Zeeland                            ;Z.             ;18300101;19660701    
1499;Zouteveen;01 jan 1830 ;01 sep 1855 ;GM1400  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
1500;Zuid- en Noord-Schermer;01 jan 1830 ;01 aug 1970 ;GM0474  ;Noord-Holland                      ;NH.            ;18300101;19700801    
1501;Zuid-Beijerland;01 jan 1830 ;01 jan 1984 ;GM0639  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
1502;Zuidbroek (Gr.);01 jan 1830 ;01 jul 1965 ;GM1240  ;Groningen                          ;Gr.            ;18300101;19650701    
1503;Zuidbroek (ZH.);01 jan 1830 ;13 jun 1857 ;GM1402  ;Zuid-Holland                       ;ZH.            ;18300101;18570613    
1504;Zuiddorpe;01 jan 1830 ;01 apr 1970 ;GM0734  ;Zeeland                            ;Z.             ;18300101;19700401    
1505;Zuidhorn;01 jan 1830 ;01 jan 2019 ;GM0056  ;Groningen                          ;Gr.            ;18300101;20190101    
