ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
2008;Total overnight accommodation;All countries;Flevoland (PV);2012 February;31;94
2009;Total overnight accommodation;All countries;Flevoland (PV);2012 March;35;106
2010;Total overnight accommodation;All countries;Flevoland (PV);2012 1st quarter;94;288
2011;Total overnight accommodation;All countries;Flevoland (PV);2012 April;53;161
2012;Total overnight accommodation;All countries;Flevoland (PV);2012 May;60;208
2013;Total overnight accommodation;All countries;Flevoland (PV);2012 June;58;172
2014;Total overnight accommodation;All countries;Flevoland (PV);2012 2nd quarter;171;541
2015;Total overnight accommodation;All countries;Flevoland (PV);2012 July;59;289
2016;Total overnight accommodation;All countries;Flevoland (PV);2012 August;68;328
2017;Total overnight accommodation;All countries;Flevoland (PV);2012 September;50;163
2018;Total overnight accommodation;All countries;Flevoland (PV);2012 3rd quarter;176;780
2019;Total overnight accommodation;All countries;Flevoland (PV);2012 October;51;170
2020;Total overnight accommodation;All countries;Flevoland (PV);2012 November;38;105
2021;Total overnight accommodation;All countries;Flevoland (PV);2012 December;31;92
2022;Total overnight accommodation;All countries;Flevoland (PV);2012 4th quarter;120;366
2023;Total overnight accommodation;All countries;Flevoland (PV);2012;562;1975
2024;Total overnight accommodation;All countries;Flevoland (PV);2013 January;33;101
2025;Total overnight accommodation;All countries;Flevoland (PV);2013 February;38;119
2026;Total overnight accommodation;All countries;Flevoland (PV);2013 March;42;129
2027;Total overnight accommodation;All countries;Flevoland (PV);2013 1st quarter;113;348
2028;Total overnight accommodation;All countries;Flevoland (PV);2013 April;57;203
2029;Total overnight accommodation;All countries;Flevoland (PV);2013 May;75;280
2030;Total overnight accommodation;All countries;Flevoland (PV);2013 June;62;226
2031;Total overnight accommodation;All countries;Flevoland (PV);2013 2nd quarter;195;710
2032;Total overnight accommodation;All countries;Flevoland (PV);2013 July;69;345
2033;Total overnight accommodation;All countries;Flevoland (PV);2013 August;75;375
2034;Total overnight accommodation;All countries;Flevoland (PV);2013 September;60;220
2035;Total overnight accommodation;All countries;Flevoland (PV);2013 3rd quarter;205;940
2036;Total overnight accommodation;All countries;Flevoland (PV);2013 October;56;186
2037;Total overnight accommodation;All countries;Flevoland (PV);2013 November;40;118
2038;Total overnight accommodation;All countries;Flevoland (PV);2013 December;37;115
2039;Total overnight accommodation;All countries;Flevoland (PV);2013 4th quarter;133;419
2040;Total overnight accommodation;All countries;Flevoland (PV);2013;645;2417
2041;Total overnight accommodation;All countries;Flevoland (PV);2014 January;33;94
2042;Total overnight accommodation;All countries;Flevoland (PV);2014 February;37;111
2043;Total overnight accommodation;All countries;Flevoland (PV);2014 March;42;122
2044;Total overnight accommodation;All countries;Flevoland (PV);2014 1st quarter;111;327
2045;Total overnight accommodation;All countries;Flevoland (PV);2014 April;62;216
2046;Total overnight accommodation;All countries;Flevoland (PV);2014 May;67;238
2047;Total overnight accommodation;All countries;Flevoland (PV);2014 June;67;238
2048;Total overnight accommodation;All countries;Flevoland (PV);2014 2nd quarter;197;691
2049;Total overnight accommodation;All countries;Flevoland (PV);2014 July;68;324
2050;Total overnight accommodation;All countries;Flevoland (PV);2014 August;75;370
2051;Total overnight accommodation;All countries;Flevoland (PV);2014 September;59;207
2052;Total overnight accommodation;All countries;Flevoland (PV);2014 3rd quarter;202;901
2053;Total overnight accommodation;All countries;Flevoland (PV);2014 October;64;204
2054;Total overnight accommodation;All countries;Flevoland (PV);2014 November;40;120
2055;Total overnight accommodation;All countries;Flevoland (PV);2014 December;38;120
2056;Total overnight accommodation;All countries;Flevoland (PV);2014 4th quarter;143;444
2057;Total overnight accommodation;All countries;Flevoland (PV);2014;653;2364
2058;Total overnight accommodation;All countries;Flevoland (PV);2015 January;31;92
2059;Total overnight accommodation;All countries;Flevoland (PV);2015 February;42;124
2060;Total overnight accommodation;All countries;Flevoland (PV);2015 March;42;120
2061;Total overnight accommodation;All countries;Flevoland (PV);2015 1st quarter;115;336
2062;Total overnight accommodation;All countries;Flevoland (PV);2015 April;62;195
2063;Total overnight accommodation;All countries;Flevoland (PV);2015 May;79;271
2064;Total overnight accommodation;All countries;Flevoland (PV);2015 June;64;208
2065;Total overnight accommodation;All countries;Flevoland (PV);2015 2nd quarter;205;674
2066;Total overnight accommodation;All countries;Flevoland (PV);2015 July;71;347
2067;Total overnight accommodation;All countries;Flevoland (PV);2015 August;79;354
2068;Total overnight accommodation;All countries;Flevoland (PV);2015 September;57;199
2069;Total overnight accommodation;All countries;Flevoland (PV);2015 3rd quarter;207;900
2070;Total overnight accommodation;All countries;Flevoland (PV);2015 October;72;230
2071;Total overnight accommodation;All countries;Flevoland (PV);2015 November;42;123
2072;Total overnight accommodation;All countries;Flevoland (PV);2015 December;37;110
2073;Total overnight accommodation;All countries;Flevoland (PV);2015 4th quarter;151;463
2074;Total overnight accommodation;All countries;Flevoland (PV);2015;678;2373
2075;Total overnight accommodation;All countries;Flevoland (PV);2016 January;30;88
2076;Total overnight accommodation;All countries;Flevoland (PV);2016 February;44;121
2077;Total overnight accommodation;All countries;Flevoland (PV);2016 March;42;131
2078;Total overnight accommodation;All countries;Flevoland (PV);2016 1st quarter;116;339
2079;Total overnight accommodation;All countries;Flevoland (PV);2016 April;53;170
2080;Total overnight accommodation;All countries;Flevoland (PV);2016 May;80;269
2081;Total overnight accommodation;All countries;Flevoland (PV);2016 June;54;175
2082;Total overnight accommodation;All countries;Flevoland (PV);2016 2nd quarter;188;615
2083;Total overnight accommodation;All countries;Flevoland (PV);2016 July;73;360
2084;Total overnight accommodation;All countries;Flevoland (PV);2016 August;77;349
2085;Total overnight accommodation;All countries;Flevoland (PV);2016 September;64;226
2086;Total overnight accommodation;All countries;Flevoland (PV);2016 3rd quarter;214;935
2087;Total overnight accommodation;All countries;Flevoland (PV);2016 October;66;215
2088;Total overnight accommodation;All countries;Flevoland (PV);2016 November;36;105
2089;Total overnight accommodation;All countries;Flevoland (PV);2016 December;31;93
2090;Total overnight accommodation;All countries;Flevoland (PV);2016 4th quarter;133;413
2091;Total overnight accommodation;All countries;Flevoland (PV);2016;651;2302
2092;Total overnight accommodation;All countries;Flevoland (PV);2017 January;41;123
2093;Total overnight accommodation;All countries;Flevoland (PV);2017 February;41;117
2094;Total overnight accommodation;All countries;Flevoland (PV);2017 March;51;143
2095;Total overnight accommodation;All countries;Flevoland (PV);2017 1st quarter;133;384
2096;Total overnight accommodation;All countries;Flevoland (PV);2017 April;71;229
2097;Total overnight accommodation;All countries;Flevoland (PV);2017 May;82;265
2098;Total overnight accommodation;All countries;Flevoland (PV);2017 June;71;247
2099;Total overnight accommodation;All countries;Flevoland (PV);2017 2nd quarter;224;741
2100;Total overnight accommodation;All countries;Flevoland (PV);2017 July;76;342
2101;Total overnight accommodation;All countries;Flevoland (PV);2017 August;77;329
2102;Total overnight accommodation;All countries;Flevoland (PV);2017 September;63;213
2103;Total overnight accommodation;All countries;Flevoland (PV);2017 3rd quarter;215;884
2104;Total overnight accommodation;All countries;Flevoland (PV);2017 October;80;247
2105;Total overnight accommodation;All countries;Flevoland (PV);2017 November;48;138
2106;Total overnight accommodation;All countries;Flevoland (PV);2017 December;39;120
2107;Total overnight accommodation;All countries;Flevoland (PV);2017 4th quarter;167;505
2108;Total overnight accommodation;All countries;Flevoland (PV);2017;740;2514
2109;Total overnight accommodation;All countries;Flevoland (PV);2018 January;33;96
2110;Total overnight accommodation;All countries;Flevoland (PV);2018 February;36;100
2111;Total overnight accommodation;All countries;Flevoland (PV);2018 March;49;153
2112;Total overnight accommodation;All countries;Flevoland (PV);2018 1st quarter;118;349
2113;Total overnight accommodation;All countries;Flevoland (PV);2018 April;69;212
2114;Total overnight accommodation;All countries;Flevoland (PV);2018 May;79;254
2115;Total overnight accommodation;All countries;Flevoland (PV);2018 June;68;212
2116;Total overnight accommodation;All countries;Flevoland (PV);2018 2nd quarter;216;679
2117;Total overnight accommodation;All countries;Flevoland (PV);2018 July;75;344
2118;Total overnight accommodation;All countries;Flevoland (PV);2018 August;79;349
2119;Total overnight accommodation;All countries;Flevoland (PV);2018 September;62;200
2120;Total overnight accommodation;All countries;Flevoland (PV);2018 3rd quarter;216;893
2121;Total overnight accommodation;All countries;Flevoland (PV);2018 October;69;217
2122;Total overnight accommodation;All countries;Flevoland (PV);2018 November;41;119
2123;Total overnight accommodation;All countries;Flevoland (PV);2018 December;37;111
2124;Total overnight accommodation;All countries;Flevoland (PV);2018 4th quarter;147;446
2125;Total overnight accommodation;All countries;Flevoland (PV);2018;697;2368
2126;Total overnight accommodation;All countries;Flevoland (PV);2019 January;32;93
2127;Total overnight accommodation;All countries;Flevoland (PV);2019 February;41;123
2128;Total overnight accommodation;All countries;Flevoland (PV);2019 March;46;138
2129;Total overnight accommodation;All countries;Flevoland (PV);2019 1st quarter;119;353
2130;Total overnight accommodation;All countries;Flevoland (PV);2019 April;64;205
2131;Total overnight accommodation;All countries;Flevoland (PV);2019 May;53;161
2132;Total overnight accommodation;All countries;Flevoland (PV);2019 June;76;243
2133;Total overnight accommodation;All countries;Flevoland (PV);2019 2nd quarter;193;609
2134;Total overnight accommodation;All countries;Flevoland (PV);2019 July;67;303
2135;Total overnight accommodation;All countries;Flevoland (PV);2019 August;75;347
2136;Total overnight accommodation;All countries;Flevoland (PV);2019 September;57;192
2137;Total overnight accommodation;All countries;Flevoland (PV);2019 3rd quarter;199;841
2138;Total overnight accommodation;All countries;Flevoland (PV);2019 October;62;200
2139;Total overnight accommodation;All countries;Flevoland (PV);2019 November;46;129
2140;Total overnight accommodation;All countries;Flevoland (PV);2019 December;43;121
2141;Total overnight accommodation;All countries;Flevoland (PV);2019 4th quarter;150;450
2142;Total overnight accommodation;All countries;Flevoland (PV);2019;661;2254
2143;Total overnight accommodation;All countries;Flevoland (PV);2020 January;36;108
2144;Total overnight accommodation;All countries;Flevoland (PV);2020 February;38;116
2145;Total overnight accommodation;All countries;Flevoland (PV);2020 March;23;68
2146;Total overnight accommodation;All countries;Flevoland (PV);2020 1st quarter;96;292
2147;Total overnight accommodation;All countries;Flevoland (PV);2020 April;7;25
2148;Total overnight accommodation;All countries;Flevoland (PV);2020 May;16;50
2149;Total overnight accommodation;All countries;Flevoland (PV);2020 June;42;168
2150;Total overnight accommodation;All countries;Flevoland (PV);2020 2nd quarter;65;242
2151;Total overnight accommodation;All countries;Flevoland (PV);2020 July;74;364
2152;Total overnight accommodation;All countries;Flevoland (PV);2020 August;89;403
2153;Total overnight accommodation;All countries;Flevoland (PV);2020 September;53;192
2154;Total overnight accommodation;All countries;Flevoland (PV);2020 3rd quarter;216;958
2155;Total overnight accommodation;All countries;Flevoland (PV);2020 October;38;139
