ID;CompanySize;SectorBranchesSIC2008;Periods;EmployedPersons_1;YearsOfWork_2;ExpenditureRDOnInHouseActivities_3;EnterprisesWithInHouseRDActivities_4
1981;50 to 249 employed persons;25 Manufacture of metal products;2014;1683.0;590.0;39.0;215.0
1982;50 to 249 employed persons;25 Manufacture of metal products;2015;1662.0;779.0;55.0;225.0
1983;50 to 249 employed persons;25 Manufacture of metal products;2016;2089.0;952.0;68.0;230.0
1984;50 to 249 employed persons;25 Manufacture of metal products;2017;1786.0;989.0;75.0;230.0
1985;50 to 249 employed persons;25 Manufacture of metal products;2018;1931.0;1246.0;89.0;250.0
1986;50 to 249 employed persons;25 Manufacture of metal products;2019;1598.0;807.0;71.0;190.0
1987;50 to 249 employed persons;25 Manufacture of metal products;2020;1440.0;809.0;69.0;220.0
1988;50 to 249 employed persons;25 Manufacture of metal products;2021;1487.0;827.0;62.0;195.0
1989;50 to 249 employed persons;25 Manufacture of metal products;2022;1829.0;774.0;64.0;
1990;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2013;6000.0;3836.0;322.0;340.0
1991;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2014;6014.0;3629.0;298.0;390.0
1992;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2015;6364.0;3864.0;336.0;355.0
1993;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2016;6544.0;4485.0;404.0;335.0
1994;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2017;6899.0;4934.0;458.0;365.0
1995;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2018;7261.0;5109.0;447.0;365.0
1996;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2019;7223.0;4694.0;436.0;365.0
1997;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2020;6316.0;4443.0;422.0;360.0
1998;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2021;7176.0;5035.0;469.0;385.0
1999;50 to 249 employed persons;26-28 Manufact of electronics, machinery;2022;5919.0;4360.0;436.0;
2000;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2013;1928.0;1379.0;119.0;100.0
2001;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2014;1390.0;986.0;91.0;100.0
2002;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2015;1532.0;1183.0;106.0;100.0
2003;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2016;2242.0;1712.0;176.0;105.0
2004;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2017;2452.0;1869.0;187.0;105.0
2005;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2018;;;;100.0
2006;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2019;;;;100.0
2007;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2020;;;;100.0
2008;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2021;;;;100.0
2009;50 to 249 employed persons;26-27 Elektrical and electron. Industry;2022;;;;
2010;50 to 249 employed persons;26 Manufacture of electronic products;2013;;;;60.0
2011;50 to 249 employed persons;26 Manufacture of electronic products;2014;1034.0;756.0;72.0;60.0
2012;50 to 249 employed persons;26 Manufacture of electronic products;2015;1122.0;906.0;79.0;55.0
2013;50 to 249 employed persons;26 Manufacture of electronic products;2016;1519.0;1213.0;131.0;60.0
2014;50 to 249 employed persons;26 Manufacture of electronic products;2017;;;;60.0
2015;50 to 249 employed persons;26 Manufacture of electronic products;2018;1752.0;1354.0;137.0;60.0
2016;50 to 249 employed persons;26 Manufacture of electronic products;2019;1631.0;1370.0;140.0;55.0
2017;50 to 249 employed persons;26 Manufacture of electronic products;2020;1457.0;1244.0;129.0;50.0
2018;50 to 249 employed persons;26 Manufacture of electronic products;2021;1866.0;1518.0;163.0;55.0
2019;50 to 249 employed persons;26 Manufacture of electronic products;2022;1489.0;1273.0;144.0;
2020;50 to 249 employed persons;27 Manufacture of electric equipment;2013;;;;45.0
2021;50 to 249 employed persons;27 Manufacture of electric equipment;2014;356.0;231.0;19.0;40.0
2022;50 to 249 employed persons;27 Manufacture of electric equipment;2015;410.0;277.0;27.0;45.0
2023;50 to 249 employed persons;27 Manufacture of electric equipment;2016;723.0;499.0;45.0;50.0
2024;50 to 249 employed persons;27 Manufacture of electric equipment;2017;;;;45.0
2025;50 to 249 employed persons;27 Manufacture of electric equipment;2018;;;;40.0
2026;50 to 249 employed persons;27 Manufacture of electric equipment;2019;;;;45.0
2027;50 to 249 employed persons;27 Manufacture of electric equipment;2020;;;;50.0
2028;50 to 249 employed persons;27 Manufacture of electric equipment;2021;;;;45.0
2029;50 to 249 employed persons;27 Manufacture of electric equipment;2022;;;;
2030;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2013;4072.0;2456.0;202.0;240.0
2031;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2014;4624.0;2643.0;207.0;290.0
2032;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2015;4832.0;2681.0;230.0;260.0
2033;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2016;4302.0;2773.0;228.0;230.0
2034;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2017;4447.0;3064.0;271.0;260.0
2035;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2018;;;;265.0
2036;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2019;;;;260.0
2037;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2020;;;;255.0
2038;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2021;;;;285.0
2039;50 to 249 employed persons;28 Manufacture of machinery n.e.c.;2022;;;;
2040;50 to 249 employed persons;29-30 Transport equipment;2013;1216.0;626.0;48.0;80.0
2041;50 to 249 employed persons;29-30 Transport equipment;2014;1023.0;630.0;45.0;70.0
2042;50 to 249 employed persons;29-30 Transport equipment;2015;896.0;530.0;42.0;60.0
2043;50 to 249 employed persons;29-30 Transport equipment;2016;829.0;493.0;37.0;60.0
2044;50 to 249 employed persons;29-30 Transport equipment;2017;1051.0;601.0;51.0;65.0
2045;50 to 249 employed persons;29-30 Transport equipment;2018;902.0;557.0;51.0;70.0
2046;50 to 249 employed persons;29-30 Transport equipment;2019;865.0;437.0;34.0;75.0
2047;50 to 249 employed persons;29-30 Transport equipment;2020;661.0;425.0;32.0;60.0
2048;50 to 249 employed persons;29-30 Transport equipment;2021;720.0;449.0;40.0;65.0
2049;50 to 249 employed persons;29-30 Transport equipment;2022;835.0;590.0;47.0;
2050;50 to 249 employed persons;29 Manufacture of cars and trailers;2013;363.0;212.0;12.0;35.0
2051;50 to 249 employed persons;29 Manufacture of cars and trailers;2014;305.0;231.0;12.0;30.0
2052;50 to 249 employed persons;29 Manufacture of cars and trailers;2015;364.0;222.0;16.0;35.0
2053;50 to 249 employed persons;29 Manufacture of cars and trailers;2016;413.0;259.0;18.0;35.0
2054;50 to 249 employed persons;29 Manufacture of cars and trailers;2017;470.0;259.0;18.0;35.0
2055;50 to 249 employed persons;29 Manufacture of cars and trailers;2018;345.0;183.0;13.0;30.0
2056;50 to 249 employed persons;29 Manufacture of cars and trailers;2019;322.0;139.0;10.0;35.0
2057;50 to 249 employed persons;29 Manufacture of cars and trailers;2020;;;;25.0
2058;50 to 249 employed persons;29 Manufacture of cars and trailers;2021;324.0;226.0;21.0;30.0
2059;50 to 249 employed persons;29 Manufacture of cars and trailers;2022;;;;
2060;50 to 249 employed persons;30 Manufacture of other transport;2013;853.0;415.0;36.0;50.0
2061;50 to 249 employed persons;30 Manufacture of other transport;2014;718.0;400.0;33.0;40.0
2062;50 to 249 employed persons;30 Manufacture of other transport;2015;532.0;308.0;26.0;25.0
2063;50 to 249 employed persons;30 Manufacture of other transport;2016;416.0;234.0;19.0;25.0
2064;50 to 249 employed persons;30 Manufacture of other transport;2017;581.0;341.0;33.0;35.0
2065;50 to 249 employed persons;30 Manufacture of other transport;2018;557.0;375.0;39.0;40.0
2066;50 to 249 employed persons;30 Manufacture of other transport;2019;543.0;298.0;24.0;40.0
2067;50 to 249 employed persons;30 Manufacture of other transport;2020;;;;35.0
2068;50 to 249 employed persons;30 Manufacture of other transport;2021;396.0;222.0;19.0;35.0
2069;50 to 249 employed persons;30 Manufacture of other transport;2022;;;;
2070;50 to 249 employed persons;31 Manufacture of furniture;2013;;;;15.0
2071;50 to 249 employed persons;31 Manufacture of furniture;2014;197.0;129.0;8.0;30.0
2072;50 to 249 employed persons;31 Manufacture of furniture;2015;124.0;91.0;7.0;25.0
2073;50 to 249 employed persons;31 Manufacture of furniture;2016;144.0;113.0;9.0;30.0
2074;50 to 249 employed persons;31 Manufacture of furniture;2017;153.0;112.0;7.0;30.0
2075;50 to 249 employed persons;31 Manufacture of furniture;2018;139.0;98.0;6.0;25.0
2076;50 to 249 employed persons;31 Manufacture of furniture;2019;104.0;73.0;5.0;25.0
2077;50 to 249 employed persons;31 Manufacture of furniture;2020;114.0;83.0;7.0;25.0
2078;50 to 249 employed persons;31 Manufacture of furniture;2021;104.0;79.0;5.0;20.0
2079;50 to 249 employed persons;31 Manufacture of furniture;2022;51.0;35.0;3.0;
2080;50 to 249 employed persons;32 Manufacture of other products;2013;;;;25.0
2081;50 to 249 employed persons;32 Manufacture of other products;2014;312.0;150.0;12.0;30.0
2082;50 to 249 employed persons;32 Manufacture of other products;2015;249.0;171.0;15.0;25.0
2083;50 to 249 employed persons;32 Manufacture of other products;2016;392.0;301.0;24.0;25.0
2084;50 to 249 employed persons;32 Manufacture of other products;2017;417.0;304.0;24.0;30.0
2085;50 to 249 employed persons;32 Manufacture of other products;2018;537.0;445.0;34.0;30.0
2086;50 to 249 employed persons;32 Manufacture of other products;2019;465.0;330.0;30.0;30.0
2087;50 to 249 employed persons;32 Manufacture of other products;2020;495.0;373.0;36.0;35.0
2088;50 to 249 employed persons;32 Manufacture of other products;2021;647.0;454.0;44.0;35.0
2089;50 to 249 employed persons;32 Manufacture of other products;2022;603.0;457.0;40.0;
2090;50 to 249 employed persons;33 Repair and installation of machinery;2013;369.0;270.0;16.0;45.0
2091;50 to 249 employed persons;33 Repair and installation of machinery;2014;;;;50.0
2092;50 to 249 employed persons;33 Repair and installation of machinery;2015;;;;40.0
2093;50 to 249 employed persons;33 Repair and installation of machinery;2016;;;;40.0
2094;50 to 249 employed persons;33 Repair and installation of machinery;2017;;;;30.0
2095;50 to 249 employed persons;33 Repair and installation of machinery;2018;;;;20.0
2096;50 to 249 employed persons;33 Repair and installation of machinery;2019;;;;20.0
2097;50 to 249 employed persons;33 Repair and installation of machinery;2020;;;;30.0
2098;50 to 249 employed persons;33 Repair and installation of machinery;2021;241.0;140.0;11.0;20.0
2099;50 to 249 employed persons;33 Repair and installation of machinery;2022;384.0;192.0;14.0;
2100;50 to 249 employed persons;D Energy supply;2013;;;;
2101;50 to 249 employed persons;D Energy supply;2014;;;;
2102;50 to 249 employed persons;D Energy supply;2015;;;;
2103;50 to 249 employed persons;D Energy supply;2016;;;;
2104;50 to 249 employed persons;D Energy supply;2017;;;;
2105;50 to 249 employed persons;D Energy supply;2018;215.0;138.0;11.0;5.0
2106;50 to 249 employed persons;D Energy supply;2019;;;;
2107;50 to 249 employed persons;D Energy supply;2020;151.0;122.0;8.0;10.0
2108;50 to 249 employed persons;D Energy supply;2021;229.0;123.0;8.0;15.0
2109;50 to 249 employed persons;D Energy supply;2022;;;;
2110;50 to 249 employed persons;35 Energy supply;2013;;;;
2111;50 to 249 employed persons;35 Energy supply;2014;;;;
2112;50 to 249 employed persons;35 Energy supply;2015;;;;
2113;50 to 249 employed persons;35 Energy supply;2016;;;;
2114;50 to 249 employed persons;35 Energy supply;2017;;;;
2115;50 to 249 employed persons;35 Energy supply;2018;215.0;138.0;11.0;5.0
2116;50 to 249 employed persons;35 Energy supply;2019;;;;
2117;50 to 249 employed persons;35 Energy supply;2020;151.0;122.0;8.0;10.0
2118;50 to 249 employed persons;35 Energy supply;2021;229.0;123.0;8.0;15.0
2119;50 to 249 employed persons;35 Energy supply;2022;;;;
2120;50 to 249 employed persons;E Water supply and waste management;2013;75.0;41.0;4.0;25.0
2121;50 to 249 employed persons;E Water supply and waste management;2014;;;;40.0
2122;50 to 249 employed persons;E Water supply and waste management;2015;;;;20.0
2123;50 to 249 employed persons;E Water supply and waste management;2016;;;;20.0
2124;50 to 249 employed persons;E Water supply and waste management;2017;76.0;37.0;3.0;20.0
2125;50 to 249 employed persons;E Water supply and waste management;2018;;;;10.0
2126;50 to 249 employed persons;E Water supply and waste management;2019;89.0;38.0;4.0;25.0
2127;50 to 249 employed persons;E Water supply and waste management;2020;132.0;40.0;4.0;25.0
2128;50 to 249 employed persons;E Water supply and waste management;2021;150.0;58.0;4.0;30.0
2129;50 to 249 employed persons;E Water supply and waste management;2022;;;;
2130;50 to 249 employed persons;F Construction;2013;398.0;190.0;17.0;70.0
2131;50 to 249 employed persons;F Construction;2014;513.0;168.0;14.0;95.0
2132;50 to 249 employed persons;F Construction;2015;522.0;218.0;18.0;95.0
2133;50 to 249 employed persons;F Construction;2016;466.0;172.0;18.0;95.0
2134;50 to 249 employed persons;F Construction;2017;480.0;212.0;26.0;125.0
2135;50 to 249 employed persons;F Construction;2018;647.0;280.0;21.0;110.0
2136;50 to 249 employed persons;F Construction;2019;466.0;235.0;23.0;115.0
2137;50 to 249 employed persons;F Construction;2020;572.0;303.0;18.0;115.0
2138;50 to 249 employed persons;F Construction;2021;;;;85.0
2139;50 to 249 employed persons;F Construction;2022;1044.0;558.0;34.0;
2140;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2013;3936.0;3019.0;258.0;395.0
2141;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2014;5544.0;4567.0;389.0;350.0
2142;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2015;4135.0;3213.0;280.0;395.0
2143;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2016;3638.0;2830.0;296.0;400.0
2144;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2017;4541.0;3093.0;278.0;450.0
2145;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2018;5127.0;3286.0;306.0;410.0
2146;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2019;5003.0;3372.0;321.0;495.0
2147;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2020;5192.0;3684.0;337.0;530.0
2148;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2021;5239.0;3818.0;331.0;440.0
2149;50 to 249 employed persons;G-I Trade, transport, hotels, catering;2022;4852.0;3551.0;301.0;
2150;50 to 249 employed persons;G Wholesale and retail trade;2013;;;;335.0
2151;50 to 249 employed persons;G Wholesale and retail trade;2014;5055.0;4246.0;363.0;290.0
2152;50 to 249 employed persons;G Wholesale and retail trade;2015;4018.0;3141.0;275.0;335.0
2153;50 to 249 employed persons;G Wholesale and retail trade;2016;3452.0;2749.0;290.0;345.0
2154;50 to 249 employed persons;G Wholesale and retail trade;2017;4391.0;2997.0;273.0;395.0
2155;50 to 249 employed persons;G Wholesale and retail trade;2018;4973.0;3228.0;299.0;370.0
2156;50 to 249 employed persons;G Wholesale and retail trade;2019;4729.0;3197.0;308.0;425.0
2157;50 to 249 employed persons;G Wholesale and retail trade;2020;4991.0;3591.0;331.0;465.0
2158;50 to 249 employed persons;G Wholesale and retail trade;2021;5103.0;3746.0;321.0;410.0
2159;50 to 249 employed persons;G Wholesale and retail trade;2022;4285.0;3197.0;276.0;
2160;50 to 249 employed persons;H Transportation and storage;2013;;;;60.0
2161;50 to 249 employed persons;H Transportation and storage;2014;489.0;321.0;26.0;60.0
2162;50 to 249 employed persons;H Transportation and storage;2015;;;;55.0
2163;50 to 249 employed persons;H Transportation and storage;2016;186.0;82.0;5.0;55.0
2164;50 to 249 employed persons;H Transportation and storage;2017;150.0;96.0;5.0;55.0
2165;50 to 249 employed persons;H Transportation and storage;2018;154.0;58.0;6.0;40.0
2166;50 to 249 employed persons;H Transportation and storage;2019;229.0;159.0;12.0;45.0
2167;50 to 249 employed persons;H Transportation and storage;2020;172.0;86.0;6.0;55.0
2168;50 to 249 employed persons;H Transportation and storage;2021;;;;20.0
2169;50 to 249 employed persons;H Transportation and storage;2022;482.0;348.0;24.0;
2170;50 to 249 employed persons;I Accommodation and food serving;2013;0.0;0.0;0.0;0.0
2171;50 to 249 employed persons;I Accommodation and food serving;2014;0.0;0.0;0.0;0.0
2172;50 to 249 employed persons;I Accommodation and food serving;2015;;;;
2173;50 to 249 employed persons;I Accommodation and food serving;2016;0.0;0.0;0.0;0.0
2174;50 to 249 employed persons;I Accommodation and food serving;2017;0.0;0.0;0.0;0.0
2175;50 to 249 employed persons;I Accommodation and food serving;2018;0.0;0.0;0.0;0.0
2176;50 to 249 employed persons;I Accommodation and food serving;2019;45.0;15.0;1.0;25.0
2177;50 to 249 employed persons;I Accommodation and food serving;2020;29.0;7.0;0.0;10.0
2178;50 to 249 employed persons;I Accommodation and food serving;2021;;;;10.0
