ID;RegistrationInDonorregister;Regions;Periods;DonorregisterFixedChoice_1;DonorregisterFixedChoice_2
2254;Total registered and non-registered;Sluis;2018;21.2;100.0
2255;Total registered and non-registered;Sluis;2019;21.1;100.0
2256;Total registered and non-registered;Smallingerland;2014;47.9;100.0
2257;Total registered and non-registered;Smallingerland;2015;48.2;100.0
2258;Total registered and non-registered;Smallingerland;2016;48.1;100.0
2259;Total registered and non-registered;Smallingerland;2017;48.5;100.0
2260;Total registered and non-registered;Smallingerland;2018;48.7;100.0
2261;Total registered and non-registered;Smallingerland;2019;48.8;100.0
2262;Total registered and non-registered;Soest;2014;39.4;100.0
2263;Total registered and non-registered;Soest;2015;39.5;100.0
2264;Total registered and non-registered;Soest;2016;39.7;100.0
2265;Total registered and non-registered;Soest;2017;40.0;100.0
2266;Total registered and non-registered;Soest;2018;40.3;100.0
2267;Total registered and non-registered;Soest;2019;40.4;100.0
2268;Total registered and non-registered;Someren;2014;16.5;100.0
2269;Total registered and non-registered;Someren;2015;16.6;100.0
2270;Total registered and non-registered;Someren;2016;16.8;100.0
2271;Total registered and non-registered;Someren;2017;16.9;100.0
2272;Total registered and non-registered;Someren;2018;17.0;100.0
2273;Total registered and non-registered;Someren;2019;17.1;100.0
2274;Total registered and non-registered;Son en Breugel;2014;14.0;100.0
2275;Total registered and non-registered;Son en Breugel;2015;14.1;100.0
2276;Total registered and non-registered;Son en Breugel;2016;14.2;100.0
2277;Total registered and non-registered;Son en Breugel;2017;14.4;100.0
2278;Total registered and non-registered;Son en Breugel;2018;14.5;100.0
2279;Total registered and non-registered;Son en Breugel;2019;14.7;100.0
2280;Total registered and non-registered;Spijkenisse;2014;;
2281;Total registered and non-registered;Spijkenisse;2015;;
2282;Total registered and non-registered;Spijkenisse;2016;;
2283;Total registered and non-registered;Spijkenisse;2017;;
2284;Total registered and non-registered;Spijkenisse;2018;;
2285;Total registered and non-registered;Spijkenisse;2019;;
2286;Total registered and non-registered;Stadskanaal;2014;28.9;100.0
2287;Total registered and non-registered;Stadskanaal;2015;28.8;100.0
2288;Total registered and non-registered;Stadskanaal;2016;28.9;100.0
2289;Total registered and non-registered;Stadskanaal;2017;28.6;100.0
2290;Total registered and non-registered;Stadskanaal;2018;28.6;100.0
2291;Total registered and non-registered;Stadskanaal;2019;28.3;100.0
2292;Total registered and non-registered;Staphorst;2014;13.3;100.0
2293;Total registered and non-registered;Staphorst;2015;13.4;100.0
2294;Total registered and non-registered;Staphorst;2016;13.5;100.0
2295;Total registered and non-registered;Staphorst;2017;13.7;100.0
2296;Total registered and non-registered;Staphorst;2018;13.8;100.0
2297;Total registered and non-registered;Staphorst;2019;13.9;100.0
2298;Total registered and non-registered;Stede Broec;2014;18.6;100.0
2299;Total registered and non-registered;Stede Broec;2015;18.6;100.0
2300;Total registered and non-registered;Stede Broec;2016;18.7;100.0
2301;Total registered and non-registered;Stede Broec;2017;18.8;100.0
2302;Total registered and non-registered;Stede Broec;2018;18.8;100.0
2303;Total registered and non-registered;Stede Broec;2019;18.9;100.0
2304;Total registered and non-registered;Steenbergen;2014;20.6;100.0
2305;Total registered and non-registered;Steenbergen;2015;20.9;100.0
2306;Total registered and non-registered;Steenbergen;2016;20.8;100.0
2307;Total registered and non-registered;Steenbergen;2017;21.3;100.0
2308;Total registered and non-registered;Steenbergen;2018;22.1;100.0
2309;Total registered and non-registered;Steenbergen;2019;22.4;100.0
2310;Total registered and non-registered;Steenwijkerland;2014;37.7;100.0
2311;Total registered and non-registered;Steenwijkerland;2015;37.7;100.0
2312;Total registered and non-registered;Steenwijkerland;2016;37.9;100.0
2313;Total registered and non-registered;Steenwijkerland;2017;38.1;100.0
2314;Total registered and non-registered;Steenwijkerland;2018;38.4;100.0
2315;Total registered and non-registered;Steenwijkerland;2019;38.5;100.0
2316;Total registered and non-registered;Stein (L.);2014;22.8;100.0
2317;Total registered and non-registered;Stein (L.);2015;22.6;100.0
2318;Total registered and non-registered;Stein (L.);2016;22.6;100.0
2319;Total registered and non-registered;Stein (L.);2017;22.7;100.0
2320;Total registered and non-registered;Stein (L.);2018;22.7;100.0
2321;Total registered and non-registered;Stein (L.);2019;22.7;100.0
2322;Total registered and non-registered;Stichtse Vecht;2014;54.9;100.0
2323;Total registered and non-registered;Stichtse Vecht;2015;55.0;100.0
2324;Total registered and non-registered;Stichtse Vecht;2016;55.2;100.0
2325;Total registered and non-registered;Stichtse Vecht;2017;55.6;100.0
2326;Total registered and non-registered;Stichtse Vecht;2018;55.7;100.0
2327;Total registered and non-registered;Stichtse Vecht;2019;55.6;100.0
2328;Total registered and non-registered;Strijen;2014;7.7;100.0
2329;Total registered and non-registered;Strijen;2015;7.8;100.0
2330;Total registered and non-registered;Strijen;2016;7.9;100.0
2331;Total registered and non-registered;Strijen;2017;7.9;100.0
2332;Total registered and non-registered;Strijen;2018;7.9;100.0
2333;Total registered and non-registered;Strijen;2019;7.9;100.0
2334;Total registered and non-registered;Súdwest-Fryslân;2014;77.2;100.0
2335;Total registered and non-registered;Súdwest-Fryslân;2015;77.4;100.0
2336;Total registered and non-registered;Súdwest-Fryslân;2016;77.6;100.0
2337;Total registered and non-registered;Súdwest-Fryslân;2017;77.9;100.0
2338;Total registered and non-registered;Súdwest-Fryslân;2018;78.1;100.0
2339;Total registered and non-registered;Súdwest-Fryslân;2019;78.4;100.0
2340;Total registered and non-registered;Terneuzen;2014;48.2;100.0
2341;Total registered and non-registered;Terneuzen;2015;48.3;100.0
2342;Total registered and non-registered;Terneuzen;2016;48.4;100.0
2343;Total registered and non-registered;Terneuzen;2017;48.4;100.0
2344;Total registered and non-registered;Terneuzen;2018;48.3;100.0
2345;Total registered and non-registered;Terneuzen;2019;48.6;100.0
2346;Total registered and non-registered;Terschelling;2014;4.3;100.0
2347;Total registered and non-registered;Terschelling;2015;4.3;100.0
2348;Total registered and non-registered;Terschelling;2016;4.4;100.0
2349;Total registered and non-registered;Terschelling;2017;4.4;100.0
2350;Total registered and non-registered;Terschelling;2018;4.4;100.0
2351;Total registered and non-registered;Terschelling;2019;4.4;100.0
2352;Total registered and non-registered;Texel;2014;12.0;100.0
2353;Total registered and non-registered;Texel;2015;12.1;100.0
2354;Total registered and non-registered;Texel;2016;12.1;100.0
2355;Total registered and non-registered;Texel;2017;12.1;100.0
2356;Total registered and non-registered;Texel;2018;12.2;100.0
2357;Total registered and non-registered;Texel;2019;12.2;100.0
2358;Total registered and non-registered;Teylingen;2014;30.7;100.0
2359;Total registered and non-registered;Teylingen;2015;30.8;100.0
2360;Total registered and non-registered;Teylingen;2016;31.3;100.0
2361;Total registered and non-registered;Teylingen;2017;31.5;100.0
2362;Total registered and non-registered;Teylingen;2018;32.0;100.0
2363;Total registered and non-registered;Teylingen;2019;32.4;100.0
2364;Total registered and non-registered;Tholen;2014;21.5;100.0
2365;Total registered and non-registered;Tholen;2015;21.6;100.0
2366;Total registered and non-registered;Tholen;2016;21.7;100.0
2367;Total registered and non-registered;Tholen;2017;21.8;100.0
2368;Total registered and non-registered;Tholen;2018;21.9;100.0
2369;Total registered and non-registered;Tholen;2019;22.0;100.0
2370;Total registered and non-registered;Tiel;2014;35.9;100.0
2371;Total registered and non-registered;Tiel;2015;35.9;100.0
2372;Total registered and non-registered;Tiel;2016;36.1;100.0
2373;Total registered and non-registered;Tiel;2017;36.1;100.0
2374;Total registered and non-registered;Tiel;2018;36.2;100.0
2375;Total registered and non-registered;Tiel;2019;36.8;100.0
2376;Total registered and non-registered;Tilburg;2014;183.8;100.0
2377;Total registered and non-registered;Tilburg;2015;185.3;100.0
2378;Total registered and non-registered;Tilburg;2016;186.8;100.0
2379;Total registered and non-registered;Tilburg;2017;187.8;100.0
2380;Total registered and non-registered;Tilburg;2018;189.7;100.0
2381;Total registered and non-registered;Tilburg;2019;191.6;100.0
2382;Total registered and non-registered;Tubbergen;2014;18.1;100.0
2383;Total registered and non-registered;Tubbergen;2015;18.2;100.0
2384;Total registered and non-registered;Tubbergen;2016;18.3;100.0
2385;Total registered and non-registered;Tubbergen;2017;18.4;100.0
2386;Total registered and non-registered;Tubbergen;2018;18.6;100.0
2387;Total registered and non-registered;Tubbergen;2019;18.6;100.0
2388;Total registered and non-registered;Twenterand;2014;28.6;100.0
2389;Total registered and non-registered;Twenterand;2015;28.6;100.0
2390;Total registered and non-registered;Twenterand;2016;28.7;100.0
2391;Total registered and non-registered;Twenterand;2017;28.8;100.0
2392;Total registered and non-registered;Twenterand;2018;29.0;100.0
2393;Total registered and non-registered;Twenterand;2019;29.0;100.0
2394;Total registered and non-registered;Tynaarlo;2014;28.2;100.0
2395;Total registered and non-registered;Tynaarlo;2015;28.3;100.0
2396;Total registered and non-registered;Tynaarlo;2016;28.4;100.0
2397;Total registered and non-registered;Tynaarlo;2017;28.9;100.0
2398;Total registered and non-registered;Tynaarlo;2018;29.0;100.0
2399;Total registered and non-registered;Tynaarlo;2019;29.2;100.0
2400;Total registered and non-registered;Tytsjerksteradiel;2014;27.5;100.0
2401;Total registered and non-registered;Tytsjerksteradiel;2015;27.6;100.0
2402;Total registered and non-registered;Tytsjerksteradiel;2016;27.7;100.0
2403;Total registered and non-registered;Tytsjerksteradiel;2017;27.8;100.0
2404;Total registered and non-registered;Tytsjerksteradiel;2018;27.8;100.0
2405;Total registered and non-registered;Tytsjerksteradiel;2019;27.8;100.0
2406;Total registered and non-registered;Ubbergen;2014;;
2407;Total registered and non-registered;Ubbergen;2015;;
2408;Total registered and non-registered;Ubbergen;2016;;
2409;Total registered and non-registered;Ubbergen;2017;;
2410;Total registered and non-registered;Ubbergen;2018;;
2411;Total registered and non-registered;Ubbergen;2019;;
2412;Total registered and non-registered;Uden;2014;35.5;100.0
2413;Total registered and non-registered;Uden;2015;35.8;100.0
2414;Total registered and non-registered;Uden;2016;36.0;100.0
2415;Total registered and non-registered;Uden;2017;36.2;100.0
2416;Total registered and non-registered;Uden;2018;36.5;100.0
2417;Total registered and non-registered;Uden;2019;36.7;100.0
2418;Total registered and non-registered;Uitgeest;2014;11.3;100.0
2419;Total registered and non-registered;Uitgeest;2015;11.4;100.0
2420;Total registered and non-registered;Uitgeest;2016;11.5;100.0
2421;Total registered and non-registered;Uitgeest;2017;11.6;100.0
2422;Total registered and non-registered;Uitgeest;2018;11.7;100.0
2423;Total registered and non-registered;Uitgeest;2019;11.8;100.0
2424;Total registered and non-registered;Uithoorn;2014;24.5;100.0
2425;Total registered and non-registered;Uithoorn;2015;24.9;100.0
2426;Total registered and non-registered;Uithoorn;2016;25.3;100.0
2427;Total registered and non-registered;Uithoorn;2017;25.4;100.0
2428;Total registered and non-registered;Uithoorn;2018;25.6;100.0
2429;Total registered and non-registered;Uithoorn;2019;25.6;100.0
2430;Total registered and non-registered;Urk;2014;14.8;100.0
2431;Total registered and non-registered;Urk;2015;15.0;100.0
2432;Total registered and non-registered;Urk;2016;15.3;100.0
2433;Total registered and non-registered;Urk;2017;15.5;100.0
2434;Total registered and non-registered;Urk;2018;15.7;100.0
2435;Total registered and non-registered;Urk;2019;16.0;100.0
2436;Total registered and non-registered;Utrecht (municipality);2014;280.0;100.0
2437;Total registered and non-registered;Utrecht (municipality);2015;285.3;100.0
2438;Total registered and non-registered;Utrecht (municipality);2016;289.9;100.0
2439;Total registered and non-registered;Utrecht (municipality);2017;293.6;100.0
2440;Total registered and non-registered;Utrecht (municipality);2018;297.9;100.0
2441;Total registered and non-registered;Utrecht (municipality);2019;303.3;100.0
2442;Total registered and non-registered;Utrechtse Heuvelrug;2014;42.0;100.0
2443;Total registered and non-registered;Utrechtse Heuvelrug;2015;42.3;100.0
2444;Total registered and non-registered;Utrechtse Heuvelrug;2016;42.6;100.0
2445;Total registered and non-registered;Utrechtse Heuvelrug;2017;43.1;100.0
2446;Total registered and non-registered;Utrechtse Heuvelrug;2018;43.2;100.0
2447;Total registered and non-registered;Utrechtse Heuvelrug;2019;43.4;100.0
2448;Total registered and non-registered;Vaals;2014;8.9;100.0
2449;Total registered and non-registered;Vaals;2015;8.9;100.0
2450;Total registered and non-registered;Vaals;2016;8.8;100.0
2451;Total registered and non-registered;Vaals;2017;8.9;100.0
2452;Total registered and non-registered;Vaals;2018;9.1;100.0
2453;Total registered and non-registered;Vaals;2019;9.3;100.0
2454;Total registered and non-registered;Valkenburg aan de Geul;2014;15.1;100.0
2455;Total registered and non-registered;Valkenburg aan de Geul;2015;15.1;100.0
2456;Total registered and non-registered;Valkenburg aan de Geul;2016;15.1;100.0
2457;Total registered and non-registered;Valkenburg aan de Geul;2017;15.0;100.0
2458;Total registered and non-registered;Valkenburg aan de Geul;2018;15.0;100.0
2459;Total registered and non-registered;Valkenburg aan de Geul;2019;15.1;100.0
2460;Total registered and non-registered;Valkenswaard;2014;27.0;100.0
2461;Total registered and non-registered;Valkenswaard;2015;27.0;100.0
2462;Total registered and non-registered;Valkenswaard;2016;27.1;100.0
2463;Total registered and non-registered;Valkenswaard;2017;27.3;100.0
2464;Total registered and non-registered;Valkenswaard;2018;27.5;100.0
2465;Total registered and non-registered;Valkenswaard;2019;27.7;100.0
2466;Total registered and non-registered;Veendam;2014;24.3;100.0
2467;Total registered and non-registered;Veendam;2015;24.2;100.0
2468;Total registered and non-registered;Veendam;2016;24.1;100.0
2469;Total registered and non-registered;Veendam;2017;24.2;100.0
2470;Total registered and non-registered;Veendam;2018;24.2;100.0
2471;Total registered and non-registered;Veendam;2019;24.3;100.0
2472;Total registered and non-registered;Veenendaal;2014;53.6;100.0
