ID;Sex;Age;Citizenship;Periods;TotalAsylumRequests_1;FirstAsylumRequests_2
7804;Total male and female, including unknown;Younger than 18 years;110;2013 March;0;0
7805;Total male and female, including unknown;Younger than 18 years;110;2013 1st Quarter;0;0
7806;Total male and female, including unknown;Younger than 18 years;110;2013 April;0;0
7807;Total male and female, including unknown;Younger than 18 years;110;2013 May;5;5
7808;Total male and female, including unknown;Younger than 18 years;110;2013 June;0;0
7809;Total male and female, including unknown;Younger than 18 years;110;2013 2nd Quarter;5;5
7810;Total male and female, including unknown;Younger than 18 years;110;2013 July;0;0
7811;Total male and female, including unknown;Younger than 18 years;110;2013 August;0;0
7812;Total male and female, including unknown;Younger than 18 years;110;2013 September;5;5
7813;Total male and female, including unknown;Younger than 18 years;110;2013 3rd Quarter;10;5
7814;Total male and female, including unknown;Younger than 18 years;110;2013 October;5;5
7815;Total male and female, including unknown;Younger than 18 years;110;2013 November;0;0
7816;Total male and female, including unknown;Younger than 18 years;110;2013 December;5;5
7817;Total male and female, including unknown;Younger than 18 years;110;2013 4th Quarter;10;10
7818;Total male and female, including unknown;Younger than 18 years;110;2013;20;20
7819;Total male and female, including unknown;Younger than 18 years;110;2014 January;5;5
7820;Total male and female, including unknown;Younger than 18 years;110;2014 February;0;0
7821;Total male and female, including unknown;Younger than 18 years;110;2014 March;0;0
7822;Total male and female, including unknown;Younger than 18 years;110;2014 1st Quarter;10;10
7823;Total male and female, including unknown;Younger than 18 years;110;2014 April;0;0
7824;Total male and female, including unknown;Younger than 18 years;110;2014 May;0;0
7825;Total male and female, including unknown;Younger than 18 years;110;2014 June;0;0
7826;Total male and female, including unknown;Younger than 18 years;110;2014 2nd Quarter;5;0
7827;Total male and female, including unknown;Younger than 18 years;110;2014 July;0;0
7828;Total male and female, including unknown;Younger than 18 years;110;2014 August;0;0
7829;Total male and female, including unknown;Younger than 18 years;110;2014 September;0;0
7830;Total male and female, including unknown;Younger than 18 years;110;2014 3rd Quarter;0;0
7831;Total male and female, including unknown;Younger than 18 years;110;2014 October;0;0
7832;Total male and female, including unknown;Younger than 18 years;110;2014 November;0;0
7833;Total male and female, including unknown;Younger than 18 years;110;2014 December;0;0
7834;Total male and female, including unknown;Younger than 18 years;110;2014 4th Quarter;0;0
7835;Total male and female, including unknown;Younger than 18 years;110;2014;15;15
7836;Total male and female, including unknown;Younger than 18 years;110;2015 January;0;0
7837;Total male and female, including unknown;Younger than 18 years;110;2015 February;0;0
7838;Total male and female, including unknown;Younger than 18 years;110;2015 March;0;0
7839;Total male and female, including unknown;Younger than 18 years;110;2015 1st Quarter;0;0
7840;Total male and female, including unknown;Younger than 18 years;110;2015 April;0;0
7841;Total male and female, including unknown;Younger than 18 years;110;2015 May;0;0
7842;Total male and female, including unknown;Younger than 18 years;110;2015 June;0;0
7843;Total male and female, including unknown;Younger than 18 years;110;2015 2nd Quarter;0;0
7844;Total male and female, including unknown;Younger than 18 years;110;2015 July;0;0
7845;Total male and female, including unknown;Younger than 18 years;110;2015 August;0;0
7846;Total male and female, including unknown;Younger than 18 years;110;2015 September;0;0
7847;Total male and female, including unknown;Younger than 18 years;110;2015 3rd Quarter;0;0
7848;Total male and female, including unknown;Younger than 18 years;110;2015 October;0;0
7849;Total male and female, including unknown;Younger than 18 years;110;2015 November;0;0
7850;Total male and female, including unknown;Younger than 18 years;110;2015 December;0;0
7851;Total male and female, including unknown;Younger than 18 years;110;2015 4th Quarter;0;0
7852;Total male and female, including unknown;Younger than 18 years;110;2015;5;5
7853;Total male and female, including unknown;Younger than 18 years;110;2016 January;0;0
7854;Total male and female, including unknown;Younger than 18 years;112;2007 January;0;0
7855;Total male and female, including unknown;Younger than 18 years;112;2007 February;0;0
7856;Total male and female, including unknown;Younger than 18 years;112;2007 March;0;0
7857;Total male and female, including unknown;Younger than 18 years;112;2007 1st Quarter;0;0
7858;Total male and female, including unknown;Younger than 18 years;112;2007 April;0;0
7859;Total male and female, including unknown;Younger than 18 years;112;2007 May;0;0
7860;Total male and female, including unknown;Younger than 18 years;112;2007 June;0;0
7861;Total male and female, including unknown;Younger than 18 years;112;2007 2nd Quarter;0;0
7862;Total male and female, including unknown;Younger than 18 years;112;2007 July;0;0
7863;Total male and female, including unknown;Younger than 18 years;112;2007 August;0;0
7864;Total male and female, including unknown;Younger than 18 years;112;2007 September;0;0
7865;Total male and female, including unknown;Younger than 18 years;112;2007 3rd Quarter;0;0
7866;Total male and female, including unknown;Younger than 18 years;112;2007 October;0;0
7867;Total male and female, including unknown;Younger than 18 years;112;2007 November;0;0
7868;Total male and female, including unknown;Younger than 18 years;112;2007 December;0;0
7869;Total male and female, including unknown;Younger than 18 years;112;2007 4th Quarter;0;0
7870;Total male and female, including unknown;Younger than 18 years;112;2007;0;0
7871;Total male and female, including unknown;Younger than 18 years;112;2008 January;0;0
7872;Total male and female, including unknown;Younger than 18 years;112;2008 February;0;0
7873;Total male and female, including unknown;Younger than 18 years;112;2008 March;0;0
7874;Total male and female, including unknown;Younger than 18 years;112;2008 1st Quarter;0;0
7875;Total male and female, including unknown;Younger than 18 years;112;2008 April;0;0
7876;Total male and female, including unknown;Younger than 18 years;112;2008 May;0;0
7877;Total male and female, including unknown;Younger than 18 years;112;2008 June;0;0
7878;Total male and female, including unknown;Younger than 18 years;112;2008 2nd Quarter;0;0
7879;Total male and female, including unknown;Younger than 18 years;112;2008 July;0;0
7880;Total male and female, including unknown;Younger than 18 years;112;2008 August;0;0
7881;Total male and female, including unknown;Younger than 18 years;112;2008 September;5;5
7882;Total male and female, including unknown;Younger than 18 years;112;2008 3rd Quarter;5;5
7883;Total male and female, including unknown;Younger than 18 years;112;2008 October;0;0
7884;Total male and female, including unknown;Younger than 18 years;112;2008 November;5;5
7885;Total male and female, including unknown;Younger than 18 years;112;2008 December;0;0
7886;Total male and female, including unknown;Younger than 18 years;112;2008 4th Quarter;5;5
7887;Total male and female, including unknown;Younger than 18 years;112;2008;10;10
7888;Total male and female, including unknown;Younger than 18 years;112;2009 January;0;0
7889;Total male and female, including unknown;Younger than 18 years;112;2009 February;0;0
7890;Total male and female, including unknown;Younger than 18 years;112;2009 March;0;0
7891;Total male and female, including unknown;Younger than 18 years;112;2009 1st Quarter;5;5
7892;Total male and female, including unknown;Younger than 18 years;112;2009 April;0;0
7893;Total male and female, including unknown;Younger than 18 years;112;2009 May;5;5
7894;Total male and female, including unknown;Younger than 18 years;112;2009 June;0;0
7895;Total male and female, including unknown;Younger than 18 years;112;2009 2nd Quarter;5;5
7896;Total male and female, including unknown;Younger than 18 years;112;2009 July;0;0
7897;Total male and female, including unknown;Younger than 18 years;112;2009 August;0;0
7898;Total male and female, including unknown;Younger than 18 years;112;2009 September;0;0
7899;Total male and female, including unknown;Younger than 18 years;112;2009 3rd Quarter;0;0
7900;Total male and female, including unknown;Younger than 18 years;112;2009 October;0;0
7901;Total male and female, including unknown;Younger than 18 years;112;2009 November;5;5
7902;Total male and female, including unknown;Younger than 18 years;112;2009 December;0;0
7903;Total male and female, including unknown;Younger than 18 years;112;2009 4th Quarter;5;5
7904;Total male and female, including unknown;Younger than 18 years;112;2009;10;10
7905;Total male and female, including unknown;Younger than 18 years;112;2010 January;0;0
7906;Total male and female, including unknown;Younger than 18 years;112;2010 February;0;0
7907;Total male and female, including unknown;Younger than 18 years;112;2010 March;0;0
7908;Total male and female, including unknown;Younger than 18 years;112;2010 1st Quarter;0;0
7909;Total male and female, including unknown;Younger than 18 years;112;2010 April;0;0
7910;Total male and female, including unknown;Younger than 18 years;112;2010 May;0;0
7911;Total male and female, including unknown;Younger than 18 years;112;2010 June;0;0
7912;Total male and female, including unknown;Younger than 18 years;112;2010 2nd Quarter;0;0
