ID;EconomicActivitySBI2008;Periods;EnterprisesTotal_1;SingleOwnerCompanies_2;OtherLegalPersons_3
8714;G Wholesale and retail trade;1994 August;153;75;78
8715;G Wholesale and retail trade;1994 September;136;63;73
8716;G Wholesale and retail trade;1994 3rd quarter;413;191;222
8717;G Wholesale and retail trade;1994 October;117;52;65
8718;G Wholesale and retail trade;1994 November;170;73;97
8719;G Wholesale and retail trade;1994 December;127;61;66
8720;G Wholesale and retail trade;1994 4th quarter;414;186;228
8721;G Wholesale and retail trade;1994;1613;726;887
8722;G Wholesale and retail trade;1995 January;127;61;66
8723;G Wholesale and retail trade;1995 February;130;69;61
8724;G Wholesale and retail trade;1995 March;125;61;64
8725;G Wholesale and retail trade;1995 1st quarter;382;191;191
8726;G Wholesale and retail trade;1995 April;124;55;69
8727;G Wholesale and retail trade;1995 May;121;54;67
8728;G Wholesale and retail trade;1995 June;118;51;67
8729;G Wholesale and retail trade;1995 2nd quarter;363;160;203
8730;G Wholesale and retail trade;1995 July;128;58;70
8731;G Wholesale and retail trade;1995 August;125;59;66
8732;G Wholesale and retail trade;1995 September;122;48;74
8733;G Wholesale and retail trade;1995 3rd quarter;375;165;210
8734;G Wholesale and retail trade;1995 October;135;60;75
8735;G Wholesale and retail trade;1995 November;145;61;84
8736;G Wholesale and retail trade;1995 December;111;51;60
8737;G Wholesale and retail trade;1995 4th quarter;391;172;219
8738;G Wholesale and retail trade;1995;1511;688;823
8739;G Wholesale and retail trade;1996 January;157;79;78
8740;G Wholesale and retail trade;1996 February;129;64;65
8741;G Wholesale and retail trade;1996 March;118;54;64
8742;G Wholesale and retail trade;1996 1st quarter;404;197;207
8743;G Wholesale and retail trade;1996 April;113;42;71
8744;G Wholesale and retail trade;1996 May;122;54;68
8745;G Wholesale and retail trade;1996 June;130;55;75
8746;G Wholesale and retail trade;1996 2nd quarter;365;151;214
8747;G Wholesale and retail trade;1996 July;127;50;77
8748;G Wholesale and retail trade;1996 August;101;37;64
8749;G Wholesale and retail trade;1996 September;116;39;77
8750;G Wholesale and retail trade;1996 3rd quarter;344;126;218
8751;G Wholesale and retail trade;1996 October;140;62;78
8752;G Wholesale and retail trade;1996 November;98;54;44
8753;G Wholesale and retail trade;1996 December;95;44;51
8754;G Wholesale and retail trade;1996 4th quarter;333;160;173
8755;G Wholesale and retail trade;1996;1446;634;812
8756;G Wholesale and retail trade;1997 January;131;65;66
8757;G Wholesale and retail trade;1997 February;117;57;60
8758;G Wholesale and retail trade;1997 March;81;28;53
8759;G Wholesale and retail trade;1997 1st quarter;329;150;179
8760;G Wholesale and retail trade;1997 April;123;58;65
8761;G Wholesale and retail trade;1997 May;104;49;55
8762;G Wholesale and retail trade;1997 June;99;37;62
8763;G Wholesale and retail trade;1997 2nd quarter;326;144;182
8764;G Wholesale and retail trade;1997 July;133;47;86
8765;G Wholesale and retail trade;1997 August;88;33;55
8766;G Wholesale and retail trade;1997 September;112;53;59
8767;G Wholesale and retail trade;1997 3rd quarter;333;133;200
8768;G Wholesale and retail trade;1997 October;137;52;85
8769;G Wholesale and retail trade;1997 November;103;39;64
8770;G Wholesale and retail trade;1997 December;116;47;69
8771;G Wholesale and retail trade;1997 4th quarter;356;138;218
8772;G Wholesale and retail trade;1997;1344;565;779
8773;G Wholesale and retail trade;1998 January;103;50;53
8774;G Wholesale and retail trade;1998 February;113;45;68
8775;G Wholesale and retail trade;1998 March;134;70;64
8776;G Wholesale and retail trade;1998 1st quarter;350;165;185
8777;G Wholesale and retail trade;1998 April;110;41;69
8778;G Wholesale and retail trade;1998 May;84;37;47
8779;G Wholesale and retail trade;1998 June;110;55;55
8780;G Wholesale and retail trade;1998 2nd quarter;304;133;171
8781;G Wholesale and retail trade;1998 July;100;44;56
8782;G Wholesale and retail trade;1998 August;76;32;44
8783;G Wholesale and retail trade;1998 September;123;49;74
8784;G Wholesale and retail trade;1998 3rd quarter;299;125;174
8785;G Wholesale and retail trade;1998 October;88;33;55
8786;G Wholesale and retail trade;1998 November;77;32;45
8787;G Wholesale and retail trade;1998 December;76;13;63
8788;G Wholesale and retail trade;1998 4th quarter;241;78;163
8789;G Wholesale and retail trade;1998;1194;501;693
8790;G Wholesale and retail trade;1999 January;65;19;46
8791;G Wholesale and retail trade;1999 February;76;19;57
8792;G Wholesale and retail trade;1999 March;103;30;73
8793;G Wholesale and retail trade;1999 1st quarter;244;68;176
8794;G Wholesale and retail trade;1999 April;91;22;69
8795;G Wholesale and retail trade;1999 May;83;19;64
8796;G Wholesale and retail trade;1999 June;98;26;72
8797;G Wholesale and retail trade;1999 2nd quarter;272;67;205
8798;G Wholesale and retail trade;1999 July;65;22;43
8799;G Wholesale and retail trade;1999 August;68;17;51
8800;G Wholesale and retail trade;1999 September;74;20;54
8801;G Wholesale and retail trade;1999 3rd quarter;207;59;148
8802;G Wholesale and retail trade;1999 October;64;20;44
8803;G Wholesale and retail trade;1999 November;90;24;66
8804;G Wholesale and retail trade;1999 December;77;29;48
8805;G Wholesale and retail trade;1999 4th quarter;231;73;158
8806;G Wholesale and retail trade;1999;954;267;687
8807;G Wholesale and retail trade;2000 January;59;22;37
8808;G Wholesale and retail trade;2000 February;83;25;58
8809;G Wholesale and retail trade;2000 March;79;25;54
8810;G Wholesale and retail trade;2000 1st quarter;221;72;149
8811;G Wholesale and retail trade;2000 April;60;22;38
8812;G Wholesale and retail trade;2000 May;84;17;67
8813;G Wholesale and retail trade;2000 June;78;17;61
8814;G Wholesale and retail trade;2000 2nd quarter;222;56;166
8815;G Wholesale and retail trade;2000 July;77;12;65
8816;G Wholesale and retail trade;2000 August;100;31;69
8817;G Wholesale and retail trade;2000 September;79;25;54
8818;G Wholesale and retail trade;2000 3rd quarter;256;68;188
8819;G Wholesale and retail trade;2000 October;103;20;83
8820;G Wholesale and retail trade;2000 November;85;26;59
8821;G Wholesale and retail trade;2000 December;74;14;60
8822;G Wholesale and retail trade;2000 4th quarter;262;60;202
8823;G Wholesale and retail trade;2000;961;256;705
8824;G Wholesale and retail trade;2001 January;90;25;65
8825;G Wholesale and retail trade;2001 February;97;18;79
8826;G Wholesale and retail trade;2001 March;68;18;50
8827;G Wholesale and retail trade;2001 1st quarter;255;61;194
8828;G Wholesale and retail trade;2001 April;85;21;64
8829;G Wholesale and retail trade;2001 May;103;28;75
8830;G Wholesale and retail trade;2001 June;80;22;58
8831;G Wholesale and retail trade;2001 2nd quarter;268;71;197
8832;G Wholesale and retail trade;2001 July;92;25;67
8833;G Wholesale and retail trade;2001 August;100;32;68
8834;G Wholesale and retail trade;2001 September;84;16;68
8835;G Wholesale and retail trade;2001 3rd quarter;276;73;203
8836;G Wholesale and retail trade;2001 October;94;25;69
8837;G Wholesale and retail trade;2001 November;80;17;63
8838;G Wholesale and retail trade;2001 December;89;15;74
8839;G Wholesale and retail trade;2001 4th quarter;263;57;206
8840;G Wholesale and retail trade;2001;1062;262;800
8841;G Wholesale and retail trade;2002 January;124;29;95
8842;G Wholesale and retail trade;2002 February;99;25;74
8843;G Wholesale and retail trade;2002 March;100;27;73
8844;G Wholesale and retail trade;2002 1st quarter;323;81;242
8845;G Wholesale and retail trade;2002 April;79;17;62
8846;G Wholesale and retail trade;2002 May;96;18;78
8847;G Wholesale and retail trade;2002 June;100;29;71
8848;G Wholesale and retail trade;2002 2nd quarter;275;64;211
8849;G Wholesale and retail trade;2002 July;115;17;98
8850;G Wholesale and retail trade;2002 August;74;18;56
8851;G Wholesale and retail trade;2002 September;77;17;60
8852;G Wholesale and retail trade;2002 3rd quarter;266;52;214
8853;G Wholesale and retail trade;2002 October;108;20;88
8854;G Wholesale and retail trade;2002 November;64;6;58
8855;G Wholesale and retail trade;2002 December;83;15;68
8856;G Wholesale and retail trade;2002 4th quarter;255;41;214
8857;G Wholesale and retail trade;2002;1119;238;881
8858;G Wholesale and retail trade;2003 January;103;24;79
8859;G Wholesale and retail trade;2003 February;96;19;77
8860;G Wholesale and retail trade;2003 March;106;24;82
8861;G Wholesale and retail trade;2003 1st quarter;305;67;238
8862;G Wholesale and retail trade;2003 April;122;29;93
8863;G Wholesale and retail trade;2003 May;105;17;88
8864;G Wholesale and retail trade;2003 June;112;20;92
8865;G Wholesale and retail trade;2003 2nd quarter;339;66;273
8866;G Wholesale and retail trade;2003 July;105;24;81
8867;G Wholesale and retail trade;2003 August;96;20;76
8868;G Wholesale and retail trade;2003 September;144;21;123
8869;G Wholesale and retail trade;2003 3rd quarter;345;65;280
8870;G Wholesale and retail trade;2003 October;113;21;92
8871;G Wholesale and retail trade;2003 November;112;18;94
8872;G Wholesale and retail trade;2003 December;113;22;91
8873;G Wholesale and retail trade;2003 4th quarter;338;61;277
8874;G Wholesale and retail trade;2003;1327;259;1068
8875;G Wholesale and retail trade;2004 January;126;39;87
8876;G Wholesale and retail trade;2004 February;116;27;89
8877;G Wholesale and retail trade;2004 March;156;37;119
8878;G Wholesale and retail trade;2004 1st quarter;398;103;295
8879;G Wholesale and retail trade;2004 April;91;23;68
8880;G Wholesale and retail trade;2004 May;108;28;80
8881;G Wholesale and retail trade;2004 June;151;30;121
8882;G Wholesale and retail trade;2004 2nd quarter;350;81;269
8883;G Wholesale and retail trade;2004 July;132;28;104
8884;G Wholesale and retail trade;2004 August;120;34;86
8885;G Wholesale and retail trade;2004 September;160;41;119
8886;G Wholesale and retail trade;2004 3rd quarter;412;103;309
8887;G Wholesale and retail trade;2004 October;118;24;94
8888;G Wholesale and retail trade;2004 November;155;30;125
8889;G Wholesale and retail trade;2004 December;122;24;98
8890;G Wholesale and retail trade;2004 4th quarter;395;78;317
8891;G Wholesale and retail trade;2004;1555;365;1190
8892;G Wholesale and retail trade;2005 January;123;36;87
8893;G Wholesale and retail trade;2005 February;146;33;113
8894;G Wholesale and retail trade;2005 March;156;39;117
8895;G Wholesale and retail trade;2005 1st quarter;425;108;317
8896;G Wholesale and retail trade;2005 April;127;29;98
8897;G Wholesale and retail trade;2005 May;128;34;94
8898;G Wholesale and retail trade;2005 June;147;40;107
8899;G Wholesale and retail trade;2005 2nd quarter;402;103;299
8900;G Wholesale and retail trade;2005 July;128;34;94
8901;G Wholesale and retail trade;2005 August;139;45;94
8902;G Wholesale and retail trade;2005 September;130;38;92
8903;G Wholesale and retail trade;2005 3rd quarter;397;117;280
8904;G Wholesale and retail trade;2005 October;118;35;83
8905;G Wholesale and retail trade;2005 November;147;40;107
8906;G Wholesale and retail trade;2005 December;98;28;70
8907;G Wholesale and retail trade;2005 4th quarter;363;103;260
8908;G Wholesale and retail trade;2005;1587;431;1156
8909;G Wholesale and retail trade;2006 January;141;41;100
8910;G Wholesale and retail trade;2006 February;138;43;95
8911;G Wholesale and retail trade;2006 March;130;40;90
8912;G Wholesale and retail trade;2006 1st quarter;409;124;285
8913;G Wholesale and retail trade;2006 April;145;49;96
8914;G Wholesale and retail trade;2006 May;123;31;92
8915;G Wholesale and retail trade;2006 June;116;34;82
8916;G Wholesale and retail trade;2006 2nd quarter;384;114;270
8917;G Wholesale and retail trade;2006 July;90;29;61
8918;G Wholesale and retail trade;2006 August;110;38;72
8919;G Wholesale and retail trade;2006 September;102;32;70
8920;G Wholesale and retail trade;2006 3rd quarter;302;99;203
8921;G Wholesale and retail trade;2006 October;109;32;77
8922;G Wholesale and retail trade;2006 November;111;33;78
8923;G Wholesale and retail trade;2006 December;93;37;56
8924;G Wholesale and retail trade;2006 4th quarter;313;102;211
8925;G Wholesale and retail trade;2006;1408;439;969
8926;G Wholesale and retail trade;2007 January;120;21;99
8927;G Wholesale and retail trade;2007 February;81;15;66
8928;G Wholesale and retail trade;2007 March;84;17;67
