ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
8018;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2021;0;0;0
8019;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2022;0;0;0
8020;Total male and female;10 to 14 years;St Kitts and Nevis;Caribbean Netherlands;2023;1;0;1
8021;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2011;0;0;0
8022;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2012;0;0;0
8023;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2013;0;0;0
8024;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2014;0;0;0
8025;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2015;0;0;0
8026;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2016;0;0;0
8027;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2017;0;0;0
8028;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2018;0;0;0
8029;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2019;0;0;0
8030;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2020;0;0;0
8031;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2021;0;0;0
8032;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2022;0;0;0
8033;Total male and female;10 to 14 years;St Kitts and Nevis;Bonaire;2023;0;0;0
8034;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2011;0;0;0
8035;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2012;0;0;0
8036;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2013;0;1;-1
8037;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2014;0;0;0
8038;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2015;0;1;-1
8039;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2016;0;0;0
8040;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2017;0;1;-1
8041;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2018;0;0;0
8042;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2019;0;0;0
8043;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2020;0;0;0
8044;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2021;0;0;0
8045;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2022;0;0;0
8046;Total male and female;10 to 14 years;St Kitts and Nevis;St Eustatius;2023;1;0;1
8047;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2011;0;0;0
8048;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2012;0;0;0
8049;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2013;0;0;0
8050;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2014;0;0;0
8051;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2015;0;0;0
8052;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2016;0;0;0
8053;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2017;0;0;0
8054;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2018;0;0;0
8055;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2019;0;0;0
8056;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2020;0;0;0
8057;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2021;0;0;0
8058;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2022;0;0;0
8059;Total male and female;10 to 14 years;St Kitts and Nevis;Saba;2023;0;0;0
8060;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2011;0;1;-1
8061;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2012;0;0;0
8062;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2013;0;0;0
8063;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2014;0;0;0
8064;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2015;0;0;0
8065;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2016;0;1;-1
8066;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2017;0;0;0
8067;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2018;0;1;-1
8068;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2019;0;0;0
8069;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2020;1;0;1
8070;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2021;0;1;-1
8071;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2022;0;0;0
8072;Total male and female;10 to 14 years;Saba;Caribbean Netherlands;2023;0;0;0
8073;Total male and female;10 to 14 years;Saba;Bonaire;2011;0;0;0
8074;Total male and female;10 to 14 years;Saba;Bonaire;2012;0;0;0
8075;Total male and female;10 to 14 years;Saba;Bonaire;2013;0;0;0
8076;Total male and female;10 to 14 years;Saba;Bonaire;2014;0;0;0
8077;Total male and female;10 to 14 years;Saba;Bonaire;2015;0;0;0
8078;Total male and female;10 to 14 years;Saba;Bonaire;2016;0;0;0
8079;Total male and female;10 to 14 years;Saba;Bonaire;2017;0;0;0
8080;Total male and female;10 to 14 years;Saba;Bonaire;2018;0;0;0
8081;Total male and female;10 to 14 years;Saba;Bonaire;2019;0;0;0
8082;Total male and female;10 to 14 years;Saba;Bonaire;2020;0;0;0
8083;Total male and female;10 to 14 years;Saba;Bonaire;2021;0;0;0
8084;Total male and female;10 to 14 years;Saba;Bonaire;2022;0;0;0
8085;Total male and female;10 to 14 years;Saba;Bonaire;2023;0;0;0
8086;Total male and female;10 to 14 years;Saba;St Eustatius;2011;0;0;0
8087;Total male and female;10 to 14 years;Saba;St Eustatius;2012;0;0;0
8088;Total male and female;10 to 14 years;Saba;St Eustatius;2013;0;0;0
8089;Total male and female;10 to 14 years;Saba;St Eustatius;2014;0;0;0
8090;Total male and female;10 to 14 years;Saba;St Eustatius;2015;0;0;0
8091;Total male and female;10 to 14 years;Saba;St Eustatius;2016;0;0;0
8092;Total male and female;10 to 14 years;Saba;St Eustatius;2017;0;0;0
8093;Total male and female;10 to 14 years;Saba;St Eustatius;2018;0;0;0
8094;Total male and female;10 to 14 years;Saba;St Eustatius;2019;0;0;0
8095;Total male and female;10 to 14 years;Saba;St Eustatius;2020;0;0;0
8096;Total male and female;10 to 14 years;Saba;St Eustatius;2021;0;0;0
8097;Total male and female;10 to 14 years;Saba;St Eustatius;2022;0;0;0
8098;Total male and female;10 to 14 years;Saba;St Eustatius;2023;0;0;0
8099;Total male and female;10 to 14 years;Saba;Saba;2011;0;1;-1
8100;Total male and female;10 to 14 years;Saba;Saba;2012;0;0;0
8101;Total male and female;10 to 14 years;Saba;Saba;2013;0;0;0
8102;Total male and female;10 to 14 years;Saba;Saba;2014;0;0;0
8103;Total male and female;10 to 14 years;Saba;Saba;2015;0;0;0
8104;Total male and female;10 to 14 years;Saba;Saba;2016;0;1;-1
8105;Total male and female;10 to 14 years;Saba;Saba;2017;0;0;0
8106;Total male and female;10 to 14 years;Saba;Saba;2018;0;1;-1
8107;Total male and female;10 to 14 years;Saba;Saba;2019;0;0;0
8108;Total male and female;10 to 14 years;Saba;Saba;2020;1;0;1
8109;Total male and female;10 to 14 years;Saba;Saba;2021;0;1;-1
8110;Total male and female;10 to 14 years;Saba;Saba;2022;0;0;0
8111;Total male and female;10 to 14 years;Saba;Saba;2023;0;0;0
8112;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2011;3;0;3
8113;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2012;2;0;2
8114;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2013;0;3;-3
8115;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2014;0;5;-5
8116;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2015;1;2;-1
8117;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2016;4;4;0
8118;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2017;6;4;2
8119;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2018;7;12;-5
8120;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2019;2;4;-2
8121;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2020;2;5;-3
8122;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2021;6;3;3
8123;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2022;4;6;-2
8124;Total male and female;10 to 14 years;St Maarten (Dutch part);Caribbean Netherlands;2023;4;8;-4
8125;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2011;1;0;1
8126;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2012;0;0;0
8127;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2013;0;0;0
8128;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2014;0;0;0
8129;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2015;0;0;0
8130;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2016;0;0;0
8131;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2017;0;0;0
8132;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2018;0;1;-1
8133;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2019;1;0;1
8134;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2020;0;0;0
8135;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2021;0;0;0
8136;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2022;1;0;1
8137;Total male and female;10 to 14 years;St Maarten (Dutch part);Bonaire;2023;1;1;0
8138;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2011;1;0;1
8139;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2012;1;0;1
8140;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2013;0;3;-3
8141;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2014;0;4;-4
8142;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2015;1;2;-1
8143;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2016;4;2;2
8144;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2017;4;2;2
8145;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2018;3;6;-3
8146;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2019;1;1;0
8147;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2020;2;1;1
8148;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2021;3;2;1
8149;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2022;2;6;-4
8150;Total male and female;10 to 14 years;St Maarten (Dutch part);St Eustatius;2023;3;6;-3
8151;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2011;1;0;1
8152;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2012;1;0;1
8153;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2013;0;0;0
8154;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2014;0;1;-1
8155;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2015;0;0;0
8156;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2016;0;2;-2
8157;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2017;2;2;0
8158;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2018;4;5;-1
8159;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2019;0;3;-3
8160;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2020;0;4;-4
8161;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2021;3;1;2
8162;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2022;1;0;1
8163;Total male and female;10 to 14 years;St Maarten (Dutch part);Saba;2023;0;1;-1
8164;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2011;7;3;4
8165;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2012;1;1;0
8166;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2013;0;1;-1
8167;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2014;1;0;1
8168;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2015;2;0;2
8169;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2016;1;1;0
8170;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2017;0;0;0
8171;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2018;1;1;0
8172;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2019;3;0;3
8173;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2020;3;0;3
8174;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2021;4;0;4
8175;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2022;7;0;7
8176;Total male and female;10 to 14 years;Surinam;Caribbean Netherlands;2023;3;3;0
8177;Total male and female;10 to 14 years;Surinam;Bonaire;2011;6;0;6
8178;Total male and female;10 to 14 years;Surinam;Bonaire;2012;1;1;0
8179;Total male and female;10 to 14 years;Surinam;Bonaire;2013;0;0;0
8180;Total male and female;10 to 14 years;Surinam;Bonaire;2014;0;0;0
8181;Total male and female;10 to 14 years;Surinam;Bonaire;2015;1;0;1
8182;Total male and female;10 to 14 years;Surinam;Bonaire;2016;1;1;0
8183;Total male and female;10 to 14 years;Surinam;Bonaire;2017;0;0;0
8184;Total male and female;10 to 14 years;Surinam;Bonaire;2018;1;1;0
8185;Total male and female;10 to 14 years;Surinam;Bonaire;2019;3;0;3
8186;Total male and female;10 to 14 years;Surinam;Bonaire;2020;1;0;1
8187;Total male and female;10 to 14 years;Surinam;Bonaire;2021;3;0;3
8188;Total male and female;10 to 14 years;Surinam;Bonaire;2022;7;0;7
8189;Total male and female;10 to 14 years;Surinam;Bonaire;2023;1;2;-1
8190;Total male and female;10 to 14 years;Surinam;St Eustatius;2011;1;0;1
8191;Total male and female;10 to 14 years;Surinam;St Eustatius;2012;0;0;0
8192;Total male and female;10 to 14 years;Surinam;St Eustatius;2013;0;1;-1
8193;Total male and female;10 to 14 years;Surinam;St Eustatius;2014;1;0;1
8194;Total male and female;10 to 14 years;Surinam;St Eustatius;2015;1;0;1
8195;Total male and female;10 to 14 years;Surinam;St Eustatius;2016;0;0;0
8196;Total male and female;10 to 14 years;Surinam;St Eustatius;2017;0;0;0
8197;Total male and female;10 to 14 years;Surinam;St Eustatius;2018;0;0;0
8198;Total male and female;10 to 14 years;Surinam;St Eustatius;2019;0;0;0
8199;Total male and female;10 to 14 years;Surinam;St Eustatius;2020;0;0;0
8200;Total male and female;10 to 14 years;Surinam;St Eustatius;2021;1;0;1
8201;Total male and female;10 to 14 years;Surinam;St Eustatius;2022;0;0;0
8202;Total male and female;10 to 14 years;Surinam;St Eustatius;2023;0;1;-1
8203;Total male and female;10 to 14 years;Surinam;Saba;2011;0;3;-3
8204;Total male and female;10 to 14 years;Surinam;Saba;2012;0;0;0
8205;Total male and female;10 to 14 years;Surinam;Saba;2013;0;0;0
8206;Total male and female;10 to 14 years;Surinam;Saba;2014;0;0;0
8207;Total male and female;10 to 14 years;Surinam;Saba;2015;0;0;0
8208;Total male and female;10 to 14 years;Surinam;Saba;2016;0;0;0
8209;Total male and female;10 to 14 years;Surinam;Saba;2017;0;0;0
8210;Total male and female;10 to 14 years;Surinam;Saba;2018;0;0;0
8211;Total male and female;10 to 14 years;Surinam;Saba;2019;0;0;0
8212;Total male and female;10 to 14 years;Surinam;Saba;2020;2;0;2
8213;Total male and female;10 to 14 years;Surinam;Saba;2021;0;0;0
8214;Total male and female;10 to 14 years;Surinam;Saba;2022;0;0;0
8215;Total male and female;10 to 14 years;Surinam;Saba;2023;2;0;2
8216;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2011;0;0;0
8217;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2012;0;0;0
8218;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2013;0;0;0
8219;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2014;0;0;0
8220;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2015;0;0;0
8221;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2016;0;0;0
8222;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2017;0;0;0
8223;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2018;0;0;0
8224;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2019;0;0;0
8225;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2020;0;0;0
8226;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2021;0;0;0
8227;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2022;0;0;0
8228;Total male and female;10 to 14 years;Trinidad and Tobago;Caribbean Netherlands;2023;0;0;0
8229;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2011;0;0;0
8230;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2012;0;0;0
8231;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2013;0;0;0
8232;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2014;0;0;0
8233;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2015;0;0;0
8234;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2016;0;0;0
8235;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2017;0;0;0
8236;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2018;0;0;0
8237;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2019;0;0;0
8238;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2020;0;0;0
8239;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2021;0;0;0
8240;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2022;0;0;0
8241;Total male and female;10 to 14 years;Trinidad and Tobago;Bonaire;2023;0;0;0
8242;Total male and female;10 to 14 years;Trinidad and Tobago;St Eustatius;2011;0;0;0
8243;Total male and female;10 to 14 years;Trinidad and Tobago;St Eustatius;2012;0;0;0
8244;Total male and female;10 to 14 years;Trinidad and Tobago;St Eustatius;2013;0;0;0
8245;Total male and female;10 to 14 years;Trinidad and Tobago;St Eustatius;2014;0;0;0
8246;Total male and female;10 to 14 years;Trinidad and Tobago;St Eustatius;2015;0;0;0
8247;Total male and female;10 to 14 years;Trinidad and Tobago;St Eustatius;2016;0;0;0
8248;Total male and female;10 to 14 years;Trinidad and Tobago;St Eustatius;2017;0;0;0
