ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
8852;Total sales;10515 Other dairy products;2004;94.8;;4.1
8853;Total sales;10515 Other dairy products;2005 January;96.9;-0.4;4.1
8854;Total sales;10515 Other dairy products;2005 February;96.3;-0.6;3.2
8855;Total sales;10515 Other dairy products;2005 March;96.0;-0.4;2.7
8856;Total sales;10515 Other dairy products;2005 April;97.7;1.8;5.8
8857;Total sales;10515 Other dairy products;2005 May;99.1;1.4;7.1
8858;Total sales;10515 Other dairy products;2005 June;99.4;0.3;6.0
8859;Total sales;10515 Other dairy products;2005 July;101.3;2.0;7.1
8860;Total sales;10515 Other dairy products;2005 August;100.8;-0.5;6.4
8861;Total sales;10515 Other dairy products;2005 September;102.0;1.2;4.6
8862;Total sales;10515 Other dairy products;2005 October;102.2;0.2;5.1
8863;Total sales;10515 Other dairy products;2005 November;104.0;1.8;6.3
8864;Total sales;10515 Other dairy products;2005 December;104.5;0.5;7.4
8865;Total sales;10515 Other dairy products;2005;100.0;;5.5
8866;Total sales;10515 Other dairy products;2006 January;103.9;-0.5;7.3
8867;Total sales;10515 Other dairy products;2006 February;103.6;-0.3;7.6
8868;Total sales;10515 Other dairy products;2006 March;104.5;0.8;8.9
8869;Total sales;10515 Other dairy products;2006 April;105.2;0.7;7.7
8870;Total sales;10515 Other dairy products;2006 May;103.3;-1.8;4.3
8871;Total sales;10515 Other dairy products;2006 June;101.7;-1.5;2.4
8872;Total sales;10515 Other dairy products;2006 July;101.4;-0.3;0.1
8873;Total sales;10515 Other dairy products;2006 August;103.3;1.9;2.5
8874;Total sales;10515 Other dairy products;2006 September;104.8;1.4;2.7
8875;Total sales;10515 Other dairy products;2006 October;107.6;2.7;5.3
8876;Total sales;10515 Other dairy products;2006 November;109.8;2.1;5.6
8877;Total sales;10515 Other dairy products;2006 December;111.9;1.9;7.1
8878;Total sales;10515 Other dairy products;2006;105.1;;5.1
8879;Total sales;10515 Other dairy products;2007 January;115.5;3.2;11.1
8880;Total sales;10515 Other dairy products;2007 February;116.1;0.5;12.0
8881;Total sales;10515 Other dairy products;2007 March;116.9;0.7;11.9
8882;Total sales;10515 Other dairy products;2007 April;130.9;11.9;24.4
8883;Total sales;10515 Other dairy products;2007 May;130.9;0.0;26.7
8884;Total sales;10515 Other dairy products;2007 June;130.8;-0.1;28.6
8885;Total sales;10515 Other dairy products;2007 July;154.9;18.5;52.8
8886;Total sales;10515 Other dairy products;2007 August;155.2;0.2;50.2
8887;Total sales;10515 Other dairy products;2007 September;156.9;1.1;49.7
8888;Total sales;10515 Other dairy products;2007 October;154.6;-1.4;43.7
8889;Total sales;10515 Other dairy products;2007 November;154.1;-0.4;40.3
8890;Total sales;10515 Other dairy products;2007 December;154.1;0.0;37.7
8891;Total sales;10515 Other dairy products;2007;139.2;;32.5
8892;Total sales;10515 Other dairy products;2008 January;128.3;-16.7;11.1
8893;Total sales;10515 Other dairy products;2008 February;122.7;-4.3;5.7
8894;Total sales;10515 Other dairy products;2008 March;121.4;-1.1;3.9
8895;Total sales;10515 Other dairy products;2008 April;117.6;-3.2;-10.2
8896;Total sales;10515 Other dairy products;2008 May;118.2;0.5;-9.7
8897;Total sales;10515 Other dairy products;2008 June;119.1;0.7;-9.0
8898;Total sales;10515 Other dairy products;2008 July;112.2;-5.8;-27.6
8899;Total sales;10515 Other dairy products;2008 August;111.8;-0.4;-28.0
8900;Total sales;10515 Other dairy products;2008 September;112.0;0.2;-28.6
8901;Total sales;10515 Other dairy products;2008 October;107.3;-4.2;-30.6
8902;Total sales;10515 Other dairy products;2008 November;107.2;-0.1;-30.4
8903;Total sales;10515 Other dairy products;2008 December;106.2;-0.9;-31.1
8904;Total sales;10515 Other dairy products;2008;115.3;;-17.2
8905;Total sales;10515 Other dairy products;2009 January;100.2;-5.6;-21.9
8906;Total sales;10515 Other dairy products;2009 February;99.5;-0.7;-18.9
8907;Total sales;10515 Other dairy products;2009 March;99.0;-0.5;-18.5
8908;Total sales;10515 Other dairy products;2009 April;95.0;-4.0;-19.2
8909;Total sales;10515 Other dairy products;2009 May;95.5;0.5;-19.2
8910;Total sales;10515 Other dairy products;2009 June;94.3;-1.3;-20.8
8911;Total sales;10515 Other dairy products;2009 July;93.8;-0.5;-16.4
8912;Total sales;10515 Other dairy products;2009 August;94.0;0.2;-15.9
8913;Total sales;10515 Other dairy products;2009 September;94.3;0.3;-15.9
8914;Total sales;10515 Other dairy products;2009 October;95.4;1.2;-11.1
8915;Total sales;10515 Other dairy products;2009 November;95.9;0.6;-10.5
8916;Total sales;10515 Other dairy products;2009 December;96.8;0.9;-8.8
8917;Total sales;10515 Other dairy products;2009;96.1;;-16.6
8918;Total sales;10515 Other dairy products;2010 January;108.4;12.0;8.2
8919;Total sales;10515 Other dairy products;2010 February;108.4;0.0;8.9
8920;Total sales;10515 Other dairy products;2010 March;110.0;1.5;11.1
8921;Total sales;10515 Other dairy products;2010 April;110.5;0.5;16.3
8922;Total sales;10515 Other dairy products;2010 May;113.7;2.9;19.1
8923;Total sales;10515 Other dairy products;2010 June;116.6;2.5;23.7
8924;Total sales;10515 Other dairy products;2010 July;120.9;3.7;28.9
8925;Total sales;10515 Other dairy products;2010 August;121.9;0.8;29.7
8926;Total sales;10515 Other dairy products;2010 September;121.1;-0.7;28.5
8927;Total sales;10515 Other dairy products;2010 October;119.3;-1.5;25.1
8928;Total sales;10515 Other dairy products;2010 November;117.9;-1.2;22.9
8929;Total sales;10515 Other dairy products;2010 December;116.8;-1.0;20.7
8930;Total sales;10515 Other dairy products;2010;115.5;;20.1
8931;Total sales;10515 Other dairy products;2011 January;118.9;1.8;9.7
8932;Total sales;10515 Other dairy products;2011 February;121.3;2.0;11.9
8933;Total sales;10515 Other dairy products;2011 March;122.7;1.2;11.6
8934;Total sales;10515 Other dairy products;2011 April;123.7;0.8;11.9
8935;Total sales;10515 Other dairy products;2011 May;126.7;2.5;11.4
8936;Total sales;10515 Other dairy products;2011 June;132.8;4.8;13.9
8937;Total sales;10515 Other dairy products;2011 July;136.2;2.6;12.6
8938;Total sales;10515 Other dairy products;2011 August;134.0;-1.6;9.9
8939;Total sales;10515 Other dairy products;2011 September;135.5;1.1;11.9
8940;Total sales;10515 Other dairy products;2011 October;132.4;-2.3;11.0
8941;Total sales;10515 Other dairy products;2011 November;132.4;0.0;12.3
8942;Total sales;10515 Other dairy products;2011 December;132.6;0.1;13.5
8943;Total sales;10515 Other dairy products;2011;129.1;;11.8
8944;Total sales;10515 Other dairy products;2012 January;136.8;3.2;15.0
8945;Total sales;10515 Other dairy products;2012 February;137.0;0.1;12.9
8946;Total sales;10515 Other dairy products;2012 March;138.6;1.2;12.9
8947;Total sales;10515 Other dairy products;2012 April;136.6;-1.4;10.4
8948;Total sales;10515 Other dairy products;2012 May;136.7;0.1;7.9
8949;Total sales;10515 Other dairy products;2012 June;138.6;1.4;4.4
8950;Total sales;10515 Other dairy products;2012 July;142.1;2.5;4.3
8951;Total sales;10515 Other dairy products;2012 August;142.0;-0.1;6.0
8952;Total sales;10515 Other dairy products;2012 September;141.8;-0.1;4.7
8953;Total sales;10515 Other dairy products;2012 October;143.0;0.9;8.0
8954;Total sales;10515 Other dairy products;2012 November;144.2;0.8;8.9
8955;Total sales;10515 Other dairy products;2012 December;142.6;-1.1;7.5
8956;Total sales;10515 Other dairy products;2012;140.0;;8.4
8957;Total sales;105151 Milk and cream, concentrated...;2000 January;91.7;;
8958;Total sales;105151 Milk and cream, concentrated...;2000 February;91.8;0.2;
8959;Total sales;105151 Milk and cream, concentrated...;2000 March;91.8;0.0;
8960;Total sales;105151 Milk and cream, concentrated...;2000 April;92.8;1.0;
8961;Total sales;105151 Milk and cream, concentrated...;2000 May;92.7;-0.1;
8962;Total sales;105151 Milk and cream, concentrated...;2000 June;92.9;0.1;
8963;Total sales;105151 Milk and cream, concentrated...;2000 July;94.5;1.7;
8964;Total sales;105151 Milk and cream, concentrated...;2000 August;94.5;0.0;
8965;Total sales;105151 Milk and cream, concentrated...;2000 September;94.5;0.0;
8966;Total sales;105151 Milk and cream, concentrated...;2000 October;100.0;5.9;
8967;Total sales;105151 Milk and cream, concentrated...;2000 November;100.4;0.4;
8968;Total sales;105151 Milk and cream, concentrated...;2000 December;100.6;0.2;
8969;Total sales;105151 Milk and cream, concentrated...;2000;94.8;;
8970;Total sales;105151 Milk and cream, concentrated...;2001 January;100.8;0.2;10.0
8971;Total sales;105151 Milk and cream, concentrated...;2001 February;102.8;1.9;11.9
8972;Total sales;105151 Milk and cream, concentrated...;2001 March;102.2;-0.5;11.3
8973;Total sales;105151 Milk and cream, concentrated...;2001 April;102.3;0.0;10.2
8974;Total sales;105151 Milk and cream, concentrated...;2001 May;101.2;-1.0;9.1
8975;Total sales;105151 Milk and cream, concentrated...;2001 June;101.0;-0.2;8.8
8976;Total sales;105151 Milk and cream, concentrated...;2001 July;103.1;2.0;9.1
8977;Total sales;105151 Milk and cream, concentrated...;2001 August;103.1;0.0;9.2
8978;Total sales;105151 Milk and cream, concentrated...;2001 September;102.8;-0.3;8.8
8979;Total sales;105151 Milk and cream, concentrated...;2001 October;103.5;0.8;3.6
8980;Total sales;105151 Milk and cream, concentrated...;2001 November;103.5;0.0;3.1
8981;Total sales;105151 Milk and cream, concentrated...;2001 December;103.5;-0.1;2.8
8982;Total sales;105151 Milk and cream, concentrated...;2001;102.5;;8.1
8983;Total sales;105151 Milk and cream, concentrated...;2002 January;108.3;4.7;7.4
8984;Total sales;105151 Milk and cream, concentrated...;2002 February;108.6;0.2;5.6
8985;Total sales;105151 Milk and cream, concentrated...;2002 March;108.5;-0.1;6.1
8986;Total sales;105151 Milk and cream, concentrated...;2002 April;108.6;0.1;6.2
8987;Total sales;105151 Milk and cream, concentrated...;2002 May;108.0;-0.6;6.7
8988;Total sales;105151 Milk and cream, concentrated...;2002 June;107.6;-0.4;6.5
8989;Total sales;105151 Milk and cream, concentrated...;2002 July;106.1;-1.4;2.9
8990;Total sales;105151 Milk and cream, concentrated...;2002 August;106.4;0.3;3.2
8991;Total sales;105151 Milk and cream, concentrated...;2002 September;107.3;0.9;4.4
8992;Total sales;105151 Milk and cream, concentrated...;2002 October;107.3;0.0;3.6
8993;Total sales;105151 Milk and cream, concentrated...;2002 November;107.3;0.0;3.6
8994;Total sales;105151 Milk and cream, concentrated...;2002 December;104.9;-2.3;1.4
8995;Total sales;105151 Milk and cream, concentrated...;2002;107.4;;4.8
8996;Total sales;105151 Milk and cream, concentrated...;2003 January;104.0;-0.8;-4.0
8997;Total sales;105151 Milk and cream, concentrated...;2003 February;104.0;0.0;-4.2
8998;Total sales;105151 Milk and cream, concentrated...;2003 March;104.0;0.0;-4.2
8999;Total sales;105151 Milk and cream, concentrated...;2003 April;104.4;0.4;-3.9
9000;Total sales;105151 Milk and cream, concentrated...;2003 May;104.4;0.0;-3.3
9001;Total sales;105151 Milk and cream, concentrated...;2003 June;103.8;-0.6;-3.6
9002;Total sales;105151 Milk and cream, concentrated...;2003 July;103.2;-0.5;-2.7
9003;Total sales;105151 Milk and cream, concentrated...;2003 August;103.3;0.0;-2.9
9004;Total sales;105151 Milk and cream, concentrated...;2003 September;103.5;0.2;-3.6
9005;Total sales;105151 Milk and cream, concentrated...;2003 October;103.6;0.1;-3.5
9006;Total sales;105151 Milk and cream, concentrated...;2003 November;103.6;0.0;-3.5
9007;Total sales;105151 Milk and cream, concentrated...;2003 December;103.0;-0.6;-1.8
9008;Total sales;105151 Milk and cream, concentrated...;2003;103.7;;-3.4
9009;Total sales;105151 Milk and cream, concentrated...;2004 January;100.5;-2.4;-3.4
9010;Total sales;105151 Milk and cream, concentrated...;2004 February;100.7;0.2;-3.1
9011;Total sales;105151 Milk and cream, concentrated...;2004 March;101.2;0.5;-2.6
9012;Total sales;105151 Milk and cream, concentrated...;2004 April;100.9;-0.4;-3.4
9013;Total sales;105151 Milk and cream, concentrated...;2004 May;100.6;-0.2;-3.6
9014;Total sales;105151 Milk and cream, concentrated...;2004 June;100.6;0.0;-3.0
9015;Total sales;105151 Milk and cream, concentrated...;2004 July;100.0;-0.6;-3.1
9016;Total sales;105151 Milk and cream, concentrated...;2004 August;100.1;0.1;-3.0
9017;Total sales;105151 Milk and cream, concentrated...;2004 September;100.4;0.2;-3.0
9018;Total sales;105151 Milk and cream, concentrated...;2004 October;100.6;0.3;-2.9
9019;Total sales;105151 Milk and cream, concentrated...;2004 November;99.7;-0.9;-3.7
9020;Total sales;105151 Milk and cream, concentrated...;2004 December;99.0;-0.7;-3.9
9021;Total sales;105151 Milk and cream, concentrated...;2004;100.4;;-3.2
9022;Total sales;105151 Milk and cream, concentrated...;2005 January;101.1;2.1;0.6
9023;Total sales;105151 Milk and cream, concentrated...;2005 February;101.1;0.0;0.4
9024;Total sales;105151 Milk and cream, concentrated...;2005 March;100.2;-0.9;-1.1
9025;Total sales;105151 Milk and cream, concentrated...;2005 April;99.9;-0.2;-0.9
9026;Total sales;105151 Milk and cream, concentrated...;2005 May;100.8;0.9;0.2
9027;Total sales;105151 Milk and cream, concentrated...;2005 June;100.0;-0.9;-0.6
9028;Total sales;105151 Milk and cream, concentrated...;2005 July;100.0;0.0;0.0
9029;Total sales;105151 Milk and cream, concentrated...;2005 August;98.5;-1.5;-1.7
9030;Total sales;105151 Milk and cream, concentrated...;2005 September;100.0;1.5;-0.4
9031;Total sales;105151 Milk and cream, concentrated...;2005 October;100.0;0.0;-0.6
9032;Total sales;105151 Milk and cream, concentrated...;2005 November;98.5;-1.5;-1.3
9033;Total sales;105151 Milk and cream, concentrated...;2005 December;100.0;1.6;1.0
9034;Total sales;105151 Milk and cream, concentrated...;2005;100.0;;-0.4
9035;Total sales;105151 Milk and cream, concentrated...;2006 January;101.1;1.1;0.0
9036;Total sales;105151 Milk and cream, concentrated...;2006 February;98.1;-3.0;-3.0
9037;Total sales;105151 Milk and cream, concentrated...;2006 March;96.6;-1.5;-3.6
9038;Total sales;105151 Milk and cream, concentrated...;2006 April;;;
9039;Total sales;105151 Milk and cream, concentrated...;2006 May;;;
9040;Total sales;105151 Milk and cream, concentrated...;2006 June;;;
9041;Total sales;105151 Milk and cream, concentrated...;2006 July;;;
9042;Total sales;105151 Milk and cream, concentrated...;2006 August;;;
9043;Total sales;105151 Milk and cream, concentrated...;2006 September;96.6;;-3.4
9044;Total sales;105151 Milk and cream, concentrated...;2006 October;96.3;-0.3;-3.7
9045;Total sales;105151 Milk and cream, concentrated...;2006 November;96.2;-0.1;-2.3
9046;Total sales;105151 Milk and cream, concentrated...;2006 December;95.7;-0.5;-4.3
9047;Total sales;105151 Milk and cream, concentrated...;2006;;;
9048;Total sales;105151 Milk and cream, concentrated...;2007 January;;;
9049;Total sales;105151 Milk and cream, concentrated...;2007 February;95.4;;-2.7
9050;Total sales;105151 Milk and cream, concentrated...;2007 March;95.7;0.3;-0.9
9051;Total sales;105151 Milk and cream, concentrated...;2007 April;95.0;-0.7;
9052;Total sales;105151 Milk and cream, concentrated...;2007 May;94.6;-0.4;
9053;Total sales;105151 Milk and cream, concentrated...;2007 June;96.0;1.5;
9054;Total sales;105151 Milk and cream, concentrated...;2007 July;101.9;6.1;
9055;Total sales;105151 Milk and cream, concentrated...;2007 August;105.0;3.1;
9056;Total sales;105151 Milk and cream, concentrated...;2007 September;114.5;9.0;18.6
9057;Total sales;105151 Milk and cream, concentrated...;2007 October;119.1;4.0;23.7
9058;Total sales;105151 Milk and cream, concentrated...;2007 November;119.5;0.3;24.2
9059;Total sales;105151 Milk and cream, concentrated...;2007 December;121.2;1.4;26.6
9060;Total sales;105151 Milk and cream, concentrated...;2007;;;
9061;Total sales;105151 Milk and cream, concentrated...;2008 January;121.9;0.6;
9062;Total sales;105151 Milk and cream, concentrated...;2008 February;100.7;-17.4;5.5
9063;Total sales;105151 Milk and cream, concentrated...;2008 March;97.8;-2.9;2.2
9064;Total sales;105151 Milk and cream, concentrated...;2008 April;101.3;3.6;6.6
9065;Total sales;105151 Milk and cream, concentrated...;2008 May;100.3;-1.0;6.0
9066;Total sales;105151 Milk and cream, concentrated...;2008 June;102.4;2.1;6.7
9067;Total sales;105151 Milk and cream, concentrated...;2008 July;104.5;2.1;2.6
9068;Total sales;105151 Milk and cream, concentrated...;2008 August;104.0;-0.5;-1.0
9069;Total sales;105151 Milk and cream, concentrated...;2008 September;105.9;1.9;-7.5
9070;Total sales;105151 Milk and cream, concentrated...;2008 October;103.0;-2.8;-13.5
9071;Total sales;105151 Milk and cream, concentrated...;2008 November;103.1;0.1;-13.7
9072;Total sales;105151 Milk and cream, concentrated...;2008 December;98.5;-4.4;-18.7
9073;Total sales;105151 Milk and cream, concentrated...;2008;103.6;;
9074;Total sales;105151 Milk and cream, concentrated...;2009 January;97.7;-0.8;-19.8
9075;Total sales;105151 Milk and cream, concentrated...;2009 February;95.3;-2.5;-5.3
9076;Total sales;105151 Milk and cream, concentrated...;2009 March;93.6;-1.8;-4.3
9077;Total sales;105151 Milk and cream, concentrated...;2009 April;93.3;-0.2;-7.8
9078;Total sales;105151 Milk and cream, concentrated...;2009 May;94.9;1.7;-5.4
9079;Total sales;105151 Milk and cream, concentrated...;2009 June;89.7;-5.5;-12.4
9080;Total sales;105151 Milk and cream, concentrated...;2009 July;92.2;2.8;-11.8
9081;Total sales;105151 Milk and cream, concentrated...;2009 August;92.2;0.0;-11.3
9082;Total sales;105151 Milk and cream, concentrated...;2009 September;91.8;-0.5;-13.4
9083;Total sales;105151 Milk and cream, concentrated...;2009 October;90.7;-1.1;-11.9
9084;Total sales;105151 Milk and cream, concentrated...;2009 November;91.0;0.3;-11.7
9085;Total sales;105151 Milk and cream, concentrated...;2009 December;94.9;4.2;-3.7
9086;Total sales;105151 Milk and cream, concentrated...;2009;93.1;;-10.1
9087;Total sales;105151 Milk and cream, concentrated...;2010 January;100.2;5.6;2.6
9088;Total sales;105151 Milk and cream, concentrated...;2010 February;102.2;2.0;7.2
9089;Total sales;105151 Milk and cream, concentrated...;2010 March;103.7;1.5;10.9
